section,Student Life,Student Life
order,119,120
field,active_student_organizations,more_information_student_organizations
type,text,string
filter_by,,
filter_display_order,,
content,,
Dental School,Active student organizations:,"For more information, visit:"
University of Alabama at Birmingham School of Dentistry,"American Association for Dental Research National Student Research Group
• American Academy of Pediatric Dentistry
• American Association of Women Dentists
• American Dental Education Association
• American Student Dental Association
• Hispanic Dental Association
• International Club
• Student Government Association
• Student National Dental Association
• Student Professionalism and Ethics Association in Dentistry",
"A.T. Still University, Arizona School of Dentistry & Oral Health","American Association for Dental Research National Student Research Group
• American Association of Women Dentists
• American Dental Education Association
• American Student Dental Association
• Hispanic Dental Association
• Society of American Indian Dentistry, Student Chapter
• Student National Dental Association",
Midwestern University  College of Dental Medicine-Arizona,American Dental Education Association,
Herman Ostrow School of Dentistry of USC,"American Association for Dental Research National Student Research Group
• American Association of Women Dentists
• American Dental Education Association
• American Student Dental Association
• Hispanic Dental Association
• Student National Dental Association
• Student Professionalism and Ethics Association",
Loma Linda University School of Dentistry,"American Dental Education Association
• American Student Dental Association
• California Dental Association",
"University of California, Los Angeles, School of Dentistry","American Academy of Pediatric Dentistry
• American Association for Dental Research National Student Research Group
• American Association of Women Dentists
• American Dental Education Association
• American Student Dental Association
• California Dental Association
• Hispanic Dental Association",
"University of California, San Francisco,  School of Dentistry ","American Association for Dental Research National Student Research Group
• American Dental Education Association
• American Student Dental Association
• Hispanic Student Dental Association
• Student National Dental Association",http://dentistry.ucsf.edu/node/731
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","American Association for Dental Research National Student Research Group
• American Association of Women Dentists
• American Dental Education Association
• American Student Dental Association
• Hispanic Dental Association
• Pacific Dental Mission
• Student Community Outreach for Public Education
• Student National Dental Association",http://dental.pacific.edu/information-for/current-students
Western University of Health Sciences College of Dental Medicine ,"American Student Dental Association
• More than 75 diverse clubs and interest groups",
University of Colorado School of Dental Medicine ,"American Association for Dental Research
• American Association of Public Health Dentistry
• American Association of Women Dentists
• American Dental Education Association
• American Student Dental Association
• Dental fraternities, including Alpha Omega International Dental Fraternity and Delta Sigma Delta International Fraternity
• Global Oral Health Student Association
• Hispanic Student Dental Association
• Student National Dental Association
• Student chapters of the Academy of LDS Dentists, the American Academy of Pediatric Dentistry and the Christian Dental Association",
University of Connecticut School of Dental Medicine ,"American Dental Education Association
• American Student Dental Association
• Hispanic Dental Association
• Student National Dental Association",http://dentalmedicine.uconn.edu/
Howard University College of Dentistry ,"American Association for Dental Research National Student Research Group
• American Association of Women Dentists
• American Dental Education Association
• American Student Dental Association
• Hispanic Dental Association
• Student National Dental Association",
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Academy of LDS Dentists
• Alpha Omega International Dental Fraternity
• American Academy of General Dentistry
• American Association of Women Dentists
• American Student Dental Association
• Asian American Student Dental Group
• Delta Alpha Phi Dental Association for Philanthropy
• Forensic Odontology Group
• Hispanic Student Dental Association
• Specialty clubs including endodontics, oral and maxillofacial surgery, orthopedics, pediatrics, periodontics",http://bradentondentistry.lecomsga.com/student-clubs/
