section,Application and Selection,Application and Selection,Application and Selection
order,78,79,80
field,in_state_applicants_preference,reciprocity_admissions_agreement_availability_state,in_state_first_year_enrollment_percentage
type,string,string,string
filter_by,,,
filter_display_order,,,
content,,,
Dental School,"In addition to in-state applicants, preference given to applicants from these states:",Reciprocity Admissions Agreement available to legal residents of these state(s) or region(s):,"Generally and over time, percentage of first-year enrollment that is in-state: "
University of Alabama at Birmingham School of Dentistry,None,Arkansas,80%
A.T. Still University Arizona School of Dentistry & Oral Health,NA,NA,25%
Midwestern University College of Dental Medicine-Arizona,NA,NA,25%
Herman Ostrow School of Dentistry of USC,NA,NA,60%
Loma Linda University School of Dentistry,NA,NA,50%
"University of California, Los Angeles, School of Dentistry","AK, AR, HI, MT, NM, ND, WY",None,85%
"University of California, San Francisco,  School of Dentistry ",NA,NA,80%
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",NA,NA,75%
Western University of Health Sciences College of Dental Medicine ,NA,NA,63%
University of Colorado School of Dental Medicine ,Participating Western Interstate Commission or Higher Education states.,None,60%
University of Connecticut School of Dental Medicine ,None,New England,50%
Howard University College of Dentistry ,NA,None,1%
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,None,None,50%
Nova Southeastern University College of Dental Medicine ,None,None,60%
University of Florida College of Dentistry,NA,None,90%
Dental College of Georgia at Augusta University,None,None,90%
Midwestern University College of Dental Medicine-Illinois ,None,None,40%
Southern Illinois University School of Dental Medicine ,None,None,98%
University of Illinois at Chicago College of Dentistry ,None,None,96%
Indiana University School of Dentistry ,None,None,70%
The University of Iowa College of Dentistry & Dental Clinics ,None,None,70%
University of Kentucky College of Dentistry ,None,None,50–60%
University of Louisville School of Dentistry ,None,None,37%
Louisiana State University Health New Orleans School of Dentistry ,None,Arkansas,86%
University of New England College of Dental Medicine ,"NH, VT",None,20–25%
University of Maryland School of Dentistry,None,None,NR
Boston University Henry M. Goldman School of Dental Medicine,None,None,25%
Harvard School of Dental Medicine,NA,None,11–14%
Tufts University School of Dental Medicine,NA,NA,NA
University of Detroit Mercy School of Dentistry,NA,NA,50%
University of Michigan School of Dentistry,None,None,50–60%
University of Minnesota School of Dentistry,NA,NA,60%
University of Mississippi Medical Center School of dentistry,None,None,100%
A.T. Still University Missouri School of Dentistry & Oral Health,None,None,25%
"University of Missouri - Kansas City, School of Dentistry","AR, HI, KS, NM. Highly qualified students outside these states are welcome to apply.","AR, NM, KS",70%
Creighton University School of Dentistry,None,NR,12%
University of Nebraska Medical Center College of Dentistry,None,None,70%
"University of Nevada, Las Vegas, School of Dental Medicine",None,None,50%
"Rutgers, The State University of New Jersey, School of Dental Medicine",None,NA,70%
Columbia University College of Dental Medicine,NA,None,25%
New York University College of Dentistry,NA,NA,33%
Stony Brook University School of Dental Medicine,NA,None,90%
Touro College of Dental Medicine at New York Medical College,NA,None,NR
University at Buffalo School of Dental Medicine,Dental Health Care Professional Shortage Areas (HPSAs),NA,76%
East Carolina University School of Dental Medicine,None,None,100%
University of North Carolina at Chapel Hill School of Dentistry,NA,None,82%
Case Western Reserve University School of Dental Medicine,None,None,25–30%
The Ohio State University College of Dentistry,None,None,85–87%
University of Oklahoma College of Dentistry,None,None,79%
Oregon Health & Science University School of Dentistry,NR,"AK, AZ, HI, MT, NM ND, WY",64%
"The Maurice H. Kornberg School of Dentistry, Temple University",DE,None,50%
University of Pennsylvania School of Dental Medicine,None,None,14%
University of Pittsburgh School of Dental Medicine,None,NR,NR
University of Puerto Rico School of Dental Medicine,NR,NR,65%
Medical University of South Carolina James B. Edwards College of Dental Medicine,NR,None,75%
Meharry Medical College School of Dentistry,None,None,15%
University of Tennessee Health Science Center College of Dentistry,None,Arkansas,52%
Texas A&M University College of Dentistry,"AR, LA, NM, OK, UT","AK, NM",90%
University of Texas Health Science Center at San Antonio School of Dentistry,None,None,92%
University of Texas School of Dentistry at Houston,None,None,99%
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",None,NA,35%
University of Utah School of Dentistry,"AK, HI, ID, MT, NM, WY",NA,60%
Virginia Commonwealth University School of Dentistry,None,None,65%
University of Washington School of Dentistry,Western Interstate Commission ofr Higher Education (WICHE) state applicants.,None,90%
West Virginia University School of Dentistry,None,None,70%
Marquette University School of Dentistry,None,None,50%
University of Alberta School of Dentistry ,NA,None,90%
University of British Columbia Faculty of Dentistry ,None,None,90%
University of Manitoba College of Dentistry ,None,None,90%
Dalhousie University Faculty of Dentistry ,Atlantic Provinces of Canada,None,75%
University of Toronto Faculty of Dentistry ,None,None,90%
Western University Schulich School of Medicine & Dentistry ,NA,NA,92%
McGill University Faculty of Dentistry ,None,"Australia, Canada, United States, New Zealand, Ireland",NR
Université Laval Faculté de Médecine Dentaire ,"NB, ON",NA,98%
Université de Montréal Faculté de Médecine Dentaire,NR,None,94%
University of Saskatchewan College of Dentistry,NA,NA,79%
