section,Application and Selection,Application and Selection,Application and Selection
order,81,82,83
field,in_province_applicants_preference,reciprocity_admissions_agreement_availability_province,in_province_first_year_enrollment_percentage
type,string,string,string
filter_by,,,
filter_display_order,,,
content,,,
Dental School,"In addition to in-province applicants, preference given to applicants from these provinces:",Reciprocity Admissions Agreement available to legal residents of these provinces(s) or countries(s):,"Generally and over time, percentage of first-year enrollment that is in-province: "
University of Alberta School of Dentistry ,NA,None,90%
The University of British Columbia Faculty of Dentistry ,None,None,90%
University of Manitoba College of Dentistry ,None,None,90%
Dalhousie University Faculty of Dentistry ,Atlantic Provinces of Canada,None,75%
University of Toronto Faculty of Dentistry,None,None,90%
Western University Schulich School of Medicine & Dentistry ,NA,NA,92%
McGill University Faculty of Dentistry ,None,"Australia, Canada, United States, New Zealand, Ireland",NR
Université Laval Faculté de Médecine Dentaire ,"NB, ON",NA,98%
Université de Montréal Faculté de Médecine Dentaire,NR,None,94%
University of Saskatchewan College of Dentistry,NA,NA,79%
