section,2016 Applicant and Entering-Class Data,2017 Applicant and Entering-Class Data
order,96,97
field,filter_only_mean_age_of_first_time_first_year_enrollees,filter_only_grade_point_average_first_year_first_time_enrollees
type,string,string
filter_by,yes,yes
filter_display_order,3,4
content,,
Dental School,DAT Total Science score (mean):,Science GPA (mean):
A.T. Still University Arizona School of Dentistry & Oral Health,18.5–22.4,3.00–3.49
A.T. Still University Missouri School of Dentistry & Oral Health,18.5–22.4,3.00–3.49
Boston UniversityHenry M. Goldman School of Dental Medicine,18.5–22.4,3.00–3.49
Case Western Reserve University School of Dental Medicine,18.5–22.4,3.50–4.00
Columbia University College of Dental Medicine,22.5+,3.50–4.00
Creighton University School of Dentistry,18.5–22.4,3.00–3.49
Dalhousie University Faculty of Dentistry,18.5–22.4,3.50–4.00
Dental College of Georgia at Augusta University,18.5–22.4,3.00–3.49
East Carolina University School of Dental Medicine,18.5–22.4,3.00–3.49
Harvard School of Dental Medicine,22.5+,3.50–4.00
Herman Ostrow School of Dentistry of USC,18.5–22.4,3.00–3.49
Howard University College of Dentistry,15.0–18.4,2.50–2.99
Indiana University School of Dentistry,18.5–22.4,3.00–3.49
Lake Erie College of Osteopathic Medicine School of Dental Medicine,18.5–22.4,3.00–3.49
Loma Linda University School of Dentistry,18.5–22.4,3.00–3.49
Louisiana State University Health New Orleans School of Dentistry,18.5–22.4,3.50–4.00
Marquette University School of Dentistry,18.5–22.4,3.50–4.00
McGill University Faculty of Dentistry,,
Medical University of South Carolina James B. Edwards College of Dental Medicine,18.5–22.4,3.50–4.00
Meharry Medical College School of Dentistry,15.0–18.4,3.00–3.49
Midwestern University College of Dental Medicine-Arizona,18.5–22.4,3.00–3.49
Midwestern University College of Dental Medicine-Illinois,18.5–22.4,3.00–3.49
New York University College of Dentistry,18.5–22.4,3.00–3.49
Nova Southeastern University College of Dental Medicine,18.5–22.4,3.00–3.49
Oregon Health & Science University School of Dentistry,18.5–22.4,3.50–4.00
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",18.5–22.4,3.00–3.49
"Rutgers, The State University of New Jersey School of Dental Medicine",18.5–22.4,3.00–3.49
Southern Illinois University School of Dental Medicine,18.5–22.4,3.00–3.49
Stony Brook University School of Dental Medicine,18.5–22.4,3.50–4.00
Texas A&M University College of Dentistry,18.5–22.4,3.50–4.00
The Maurice H. Kornberg School of Dentistry Temple University,18.5–22.4,3.00–3.49
The Ohio State University College of Dentistry,18.5–22.4,3.50–4.00
The University of Iowa College of Dentistry & Dental Clinics,18.5–22.4,3.50–4.00
Touro College of Dental Medicine at New York Medical College,18.5–22.4,3.00–3.49
Tufts University School of Dental Medicine,18.5–22.4,3.00–3.49
Université de Montréal Faculté de Médecine Dentaire,,
Université Laval Faculté de Médecine Dentaire,,
University at Buffalo School of Dental Medicine,18.5–22.4,3.50–4.00
University of Alabama at Birmingham School of Dentistry,18.5–22.4,3.50–4.00
University of Alberta School of Dentistry,,
University of British Columbia Faculty of Dentistry,,
"University of California, Los Angeles, School of Dentistry",22.5+,3.50–4.00
"University of California, San Francisco, School of Dentistry",18.5–22.4,3.00–3.49
University of Colorado School of Dental Medicine,18.5–22.4,3.50–4.00
University of Connecticut School of Dental Medicine,18.5–22.4,3.50–4.00
University of Detroit Mercy School of Dentistry,18.5–22.4,3.50–4.00
University of Florida College of Dentistry,18.5–22.4,3.50–4.00
University of Illinois at Chicago College of Dentistry,18.5–22.4,3.50–4.00
University of Kentucky College of Dentistry,18.5–22.4,3.00–3.49
University of Louisville School of Dentistry,18.5–22.4,3.00–3.49
University of Manitoba College of Dentistry,,3.50–4.00
University of Maryland School of Dentistry,18.5–22.4,3.00–3.49
University of Michigan School of dentistry,18.5–22.4,3.50–4.00
University of Minnesota School of Dentistry,18.5–22.4,3.50–4.00
University of Mississippi Medical Center School of dentistry,18.5–22.4,3.00–3.49
"University of Missouri - Kansas City, School of Dentistry",18.5–22.4,3.50–4.00
University of Nebraska Medical Center College of Dentistry,18.5–22.4,3.50–4.00
"University of Nevada, Las Vegas, School of Dental Medicine",18.5–22.4,3.00–3.49
University of New England College of Dental Medicine,15.0–18.4,3.00–3.49
University of North Carolina at Chapel Hill School of Dentistry,18.5–22.4,3.00–3.49
University of Oklahoma College of Dentistry,18.5–22.4,3.50–4.00
University of Pennsylvania School of Dental Medicine,18.5–22.4,3.50–4.00
University of Pittsburgh School of Dental Medicine,18.5–22.4,3.50–4.00
University of Puerto Rico School of Dental Medicine,15.0–18.4,3.00–3.49
University of Saskatchewan College of Dentistry,,
University of Tennessee Health Science Center College of Dentistry,18.5–22.4,3.50–4.00
University of Texas Health Science Center at San Antonio School of Dentistry,18.5–22.4,3.50–4.00
University of Texas School of Dentistry at Houston,18.5–22.4,3.50–4.00
"University of the Pacific, Arthur A. Dugoni School of Dentistry",18.5–22.4,3.00–3.49
University of Toronto Faculty of Dentistry,,
University of Utah School of Dentistry,18.5–22.4,3.50–4.00
University of Washington School of Dentistry,18.5–22.4,3.50–4.00
Virginia Commonwealth University School of Dentistry,18.5–22.4,3.00–3.49
West Virginia University School of Dentistry,15.0–18.4,3.00–3.49
Western University of Health Sciences College of Dental Medicine,18.5–22.4,3.00–3.49
Western University Schulich School of Medicine & Dentistry,,
