section,Application and Selection
order,72
field,requests_for_deferred_entrance_considered
type,string
filter_by,
filter_display_order,
content,
Dental School,Requests for deferred entrance considered?
University of Alabama at Birmingham School of Dentistry,No
A.T. Still University Arizona School of Dentistry & Oral Health,In exceptional circumstances only.
Midwestern University College of Dental Medicine-Arizona,In exceptional circumstances only.
Herman Ostrow School of Dentistry of USC,No
Loma Linda University School of Dentistry,No
"University of California, Los Angeles, School of Dentistry",No
"University of California, San Francisco,  School of Dentistry ",No
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Yes
Western University of Health Sciences College of Dental Medicine ,In exceptional circumstances only.
University of Colorado School of Dental Medicine ,In exceptional circumstances only.
University of Connecticut School of Dental Medicine ,In exceptional circumstances only.
Howard University College of Dentistry ,In exceptional circumstances only.
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,In exceptional circumstances only.
Nova Southeastern University College of Dental Medicine ,No
University of Florida College of Dentistry,In exceptional circumstances only.
Dental College of Georgia at Augusta University,In exceptional circumstances only.
Midwestern University College of Dental Medicine-Illinois ,In exceptional circumstances only.
Southern Illinois University School of Dental Medicine ,No
University of Illinois at Chicago College of Dentistry ,In exceptional circumstances only.
Indiana University School of Dentistry ,In exceptional circumstances only.
The University of Iowa College of Dentistry & Dental Clinics ,Yes
University of Kentucky College of Dentistry ,In exceptional circumstances only.
University of Louisville School of Dentistry ,In exceptional circumstances only.
Louisiana State University Health New Orleans School of Dentistry ,No
University of New England College of Dental Medicine ,No
University of Maryland School of Dentistry,In exceptional circumstances only.
Boston University Henry M. Goldman School of Dental Medicine,Yes
Harvard School of Dental Medicine,No
Tufts University School of Dental Medicine,In exceptional circumstances only.
University of Detroit Mercy School of Dentistry,In exceptional circumstances only.
University of Michigan School of Dentistry,No
University of Minnesota School of Dentistry,For special circumstances.
University of Mississippi Medical Center School of dentistry,In exceptional circumstances only.
A.T. Still University Missouri School of Dentistry & Oral Health,In exceptional circumstances only.
"University of Missouri - Kansas City, School of Dentistry",In exceptional circumstances only.
Creighton University School of Dentistry,In exceptional circumstances only.
University of Nebraska Medical Center College of Dentistry,Yes
"University of Nevada, Las Vegas, School of Dental Medicine",In exceptional circumstances only.
"Rutgers, The State University of New Jersey, School of Dental Medicine","Only at the discretion
of the Admissions Committee."
Columbia University College of Dental Medicine,No
New York University College of Dental Medicine,In exceptional circumstances only.
Stony Brook University School of Dental Medicine,Yes
Touro College of Dental Medicine at New York Medical College,Yes
University at Buffalo School of Dental Medicine,In exceptional circumstances only.
East Carolina University School of Dental Medicine,In exceptional circumstances only.
University of North Carolina at Chapel Hill School of Dentistry,No
Case Western Reserve University School of Dental Medicine,In exceptional circumstances only.
The Ohio State University College of Dentistry,In exceptional circumstances only.
University of Oklahoma College of Dentistry,In exceptional circumstances only.
Oregon Health & Science University School of Dentistry,No
"The Maurice H. Kornberg School of Dentistry, Temple University",No
University of Pennsylvania School of Dental Medicine,No
University of Pittsburgh School of Dental Medicine,No
University of Puerto Rico School of Dental Medicine,In exceptional circumstances only.
Medical University of South Carolina James B. Edwards College of Dental Medicine,No
Meharry Medical College School of Dentistry,No
University of Tennessee Health Science Center College of Dentistry,No
Texas A&M University College of Dentistry,Yes
University of Texas Health Science Center at San Antonio School of Dentistry,In exceptional circumstances only.
University of Texas School of Dentistry at Houston,In exceptional circumstances only.
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Yes
University of Utah School of Dentistry,No
Virginia Commonwealth University School of Dentistry,In exceptional circumstances only.
University of Washington School of Dentistry,No
West Virginia University School of Dentistry,No
Marquette University School of Dentistry,In exceptional circumstances only.
University of Alberta School of Dentistry ,No
University of British Columbia Faculty of Dentistry ,In exceptional circumstances only.
University of Manitoba College of Dentistry ,In exceptional circumstances only.
Dalhousie University Faculty of Dentistry ,In exceptional circumstances only.
University of Toronto Faculty of Dentistry ,In exceptional circumstances only.
Western University Schulich School of Medicine & Dentistry ,In exceptional circumstances only.
McGill University Faculty of Dentistry ,In exceptional circumstances only.
Université Laval Faculté de Médecine Dentaire ,No
Université de Montréal Faculté de Médecine Dentaire,No
University of Saskatchewan College of Dentistry,Yes
