section,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts
order,30,31,32,33,34,35,36,37,38,39
field,type_of_institution,year_opened,term_type,time_to_degree_in_months,start_month,doctoral_dental_degree_offered,targeted_predoctoral_enrollment,targeted_entering_class_size,campus_setting_urban,campus_housing_available
type,string,integer,string,integer,string,string,integer,integer,string,string
filter_by,yes,,,,,yes,,,,
filter_display_order,1,,,,,5,,,,
content,,,,,,,,,,
Dental School,Type of institution,Year opened:,Term type:,Time to degree (in months):,Start month:,Doctoral dental degree offered,Targeted predoctoral enrollment:,Targeted entering class size:,Campus setting:,Campus housing available:
University of Alabama at Birmingham School of Dentistry,Public,1948,Semester,48,July,D.M.D.,240,60,Urban,Yes
"A.T. Still University, Arizona School of Dentistry & Oral Health",Private,2003,Semester,48,July,D.M.D.,300,76,Suburban,No
Midwestern University College of Dental Medicine-Arizona,Private,2008,Quarter,46,August,D.M.D.,560,140,Suburban,Yes
Herman Ostrow School of Dentistry of USC,Private,1897,Trimester,40,August,D.D.S.,580,144,Urban,Yes
Loma Linda University School of Dentistry,Private,1953,Quarter,45,August,D.D.S.,400,100,Suburban,Yes
"University of California, Los Angeles, School of Dentistry",Public,1964,Quarter,45,September,D.D.S.,392,88,Urban,Yes
"University of California, San Francisco,  School of Dentistry ",Public,1881,Quarter,42,September,D.D.S.,352,88,Urban,Yes
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Private,1896,Quarter,36,July,D.D.S.,423,141,Urban,No
Western University of Health Sciences College of Dental Medicine,Private,2009,Semester,45,August,D.M.D.,279,70,Suburban,No
University of Colorado School of Dental Medicine ,Public,1973,Semester,46,August,D.D.S.,320,80,Suburban,No
University of Connecticut School of Dental Medicine ,Public,1968,Semester,45,August,D.M.D.,192,48,Suburban,No
Howard University College of Dentistry ,Private,1881,Semester,42,August,D.D.S.,335,80,Urban,Yes
Lake Erie College of Osteopathic Medicine School of Dental Medicine,Private,2012,Semester,48,July,D.M.D.,400,100,Suburban,No
Nova Southeastern University College of Dental Medicine ,Private,1997,Semester,46,August,D.M.D.,520,125,Suburban,Yes
University of Florida College of Dentistry,Public,1971,Semester,45,August,D.M.D.,372,93,Suburban,Yes
Dental College of Georgia at Augusta University,Public,1969,Semester,45,August,D.M.D.,346,94,Urban,Yes
Midwestern University College of Dental Medicine-Illinois ,Private,2011,Quarter,46,August,D.M.D.,520,130,Suburban,Yes
Southern Illinois University School of Dental Medicine ,Public,1972,Semester,44,August,D.M.D.,198,50,Suburban,No
University of Illinois at Chicago College of Dentistry ,Public,1891,Semester,44,August,D.M.D.,280,70,Urban,Yes
Indiana University School of Dentistry ,Public,1879,Semester,48,"July (D1), August (D2, D3, D4)",D.D.S.,424,106,Urban,Yes
The University of Iowa College of Dentistry & Dental Clinics ,Public,1882,Semester,48,August,D.D.S.,320,80,Urban,Yes
University of Kentucky College of Dentistry ,Public,1962,Semester,43,August,D.M.D.,~260,60-65,Urban,Yes
University of Louisville School of Dentistry ,Public,1887,Semester,46,July,D.M.D.,480,120,Urban,Yes
Louisiana State University Health New Orleans School of Dentistry,Public,1968,Academic,48,July,D.D.S.,260,65,Urban,Yes
University of New England College of Dental Medicine ,Private,2013,Trimester,46,August,D.M.D.,256,64,Suburban,No
University of Maryland School of Dentistry,Public,1840,Semester,46,August,D.D.S.,520,130,Urban,Yes
Boston University Henry M. Goldman School of Dental Medicine,Private,1963,Semester,48,July,D.M.D.,460,115,Urban,No
Harvard School of Dental Medicine,Private,1867,Semester,43,August,D.M.D.,145,35,Urban,Yes
Tufts University School of Dental Medicine,Private,1868,Semester,46,July,D.M.D.,812,203,Urban,No
University of Detroit Mercy School of Dentistry,State-supported private,1932,Semester,44,August,D.D.S.,576,144,Urban,No
University of Michigan School of Dentistry,Public,1875,Semester,46,June,D.D.S.,460,109,Suburban,Yes
University of Minnesota School of Dentistry,Public,1888,Semester,45,August,D.D.S.,460,110,Urban,Yes
University of Mississippi Medical Center School of Dentistry,Public,1975,Semester,48,August,D.M.D.,140,40,Urban,No
A.T. Still University Missouri School of Dentistry & Oral Health,Private,2013,Semester,48,July,D.M.D.,168,42,Rural,Yes
University of Missouri - Kansas City School of Dentistry,Public,1881,Semester,40,August,D.D.S.,436,40,Urban,Yes (on the Volker campus)
Creighton University School of Dentistry,Private,1905,Trimester,44,August,D.D.S.,340,85,Urban,Yes
University of Nebraska Medical Center College of Dentistry,Public,1899,Semester,45,August,D.D.S.,194,50,Suburban,Yes
"University of Nevada, Las Vegas, School of Dental Medicine",Public,2002,Trimester,45,September,D.M.D.,318,82,Urban,No
"Rutgers, The State University of New Jersey, School of Dental Medicine",Public,1956,Trimester,48,August,D.M.D.,420,90,Urban,Yes
Columbia University College of Dental Medicine,Public,1852,Semester,45,August,D.D.S.,320,80,Urban ,Yes
