section,Costs and Financial Aid,Costs and Financial Aid,
order,101,102,
field,financial_aid_summary,financial_aid_link,
type,text,string,
filter_by,,,
filter_display_order,,,
content,,,
Dental School,Financial aid summary:,"For more information, visit our financial aid website at:",
University of Alabama at Birmingham School of Dentistry,,https://www.uab.edu/students/paying-for-college/,
"A.T. Still University, Arizona School of Dentistry & Oral Health","The student’s expected contribution is listed on the Student Aid Report, which the student receives after completing the Free Application for Federal Student Aid, and is based on the student’s financial strength. Students may choose to receive financial assistance up to their unmet financial need. The student may receive financial aid through scholarships, loans, etc. to arrive at this figure. (Note: Students may use the Unsubsidized Federal Stafford Loan or anyprivate loan to replace their expected contribution.) Every effort will be made to meet the student’s need, but in some instances, the student may have to rely on parents or other outside resources. It is of critical importance to be creditworthy, as the Grad PLUS and private loans require a credit check.",https://www.atsu.edu/financial-aid,
Midwestern University College of Dental Medicine-Arizona,,https://www.midwestern.edu/programs_and_admission/student_financial_services.html,
Herman Ostrow School of Dentistry of USC,A dental education is a significant financial investment. The Herman Ostrow School of Dentistry of USC is committed to ensuring that all eligible students have access to the financial aid programs they need to achieve their educational goals. The Ostrow School of Dentistry also annually awards approximately $1.1 million in scholarships.,http://financialaid.usc.edu/.,
Loma Linda University School of Dentistry,,http://www.llu.edu/students/financial-aid/types-of-aid.php,
"University of California, Los Angeles, School of Dentistry","The UCLA School of Dentistry’s Financial Aid Office is dedicated to assist students in achieving their educational goals by providing professional assistance and valuable financial aid resources. The UCLA School of Dentistry provides both need-based and merit-based funds. The dental financial aid staff is available to ensure comprehensive, personal and confidential counseling and servicing. Financial aid is awarded on the basis of demonstrated need, merit or for recognition of extra-curricular activities and accomplishments, in accordance with Federal, State, university and donor-prescribed criteria.",https://www.dentistry.ucla.edu/learning/financial-aid,
"University of California, San Francisco,  School of Dentistry ","Approximately 92% of our students receive financial aid to cover the cost of the predoctoral program. The majority of this aid is in the form of federal student loans. Admitted students should submit the Free Application for Federal Student Aid (FAFSA), College Board Profile and the UCSF Financial Aid Application. Some need-based grant aid and scholarship funding is available. Admitted students do not have to apply for this funding separately; they will automatically be considered when they submit the above-mentioned items.",http://finaid.ucsf.edu,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",It is important to know that all applicants are considered for admissions regardless of their financial circumstances. The Financial Aid Office at University of the Pacific Arthur A. Dugoni School of Dentistry encourages all students who believe they will need financial assistance to apply for student loans. More than 95% of Dugoni School students take out some type of loan to help with their educational expenses. The Financial Aid Department is committed to assist students find the best financing options for them. Federal Student loans to help pay for dental school are readily available if you are a U.S. citizen or permanent resident. Private/Alternative loans may be available to international students who have a credit worthy co-borrower who is either a U.S. citizen or permanent resident.,http://dental.pacific.edu/,
