section,Curriculum,Curriculum
order,45,46
field,curriculum_summary,student_research_opportunities
type,text,string
filter_by,,
filter_display_order,,
content,,
Dental School,Summary:,Student research opportunities?
University of Alabama at Birmingham School of Dentistry,"The objective of the program at the University of Alabama at Birmingham is to produce competent and caring oral health care providers. Our goal is to foster an academic environment that encourages the process of inquiry and the scientific method of problem solving. While much of the first two years of school is focused on basic science education, students interact with patients very early inthe curriculum. The program is organized so that dental students function as assistants in their first year and hygienists in their second year; the third and fourth years are devoted to comprehensive care of patients. Specialty electives are available in the fourth year for students who progress briskly through the curriculum. The school emphasizes progressive education techniques, which include traditional lectures, small-group interactions, problem-based learning and a systems-based basic science education. ",Yes
"A.T. Still University, Arizona School of Dentistry & Oral Health","The curriculum at the Arizona School of Dentistry & Oral Health is designed to produce graduates who are technologically adept, professionally competent, patient-centered and compassionate. The curriculum emphasizes patientcare experiences through simulation, integration of biomedical and clinical sciences and problem-solving scenarios to achieve clinical excellence. The curriculum includes a strong component of public health, leadership and practice through weekly learning modules. Students have the opportunity to interact with faculty, practicing dentists and national leaders to discuss cases in a regularly scheduled “grand rounds” format.",Yes
Midwestern University College of Dental Medicine-Arizona,"The curriculum emphasizes integrated disciplines that both enhance learning and fully prepare students to practice general dentistry providing total patient care.
The basic science curriculum is organized by body systems, rather than by biomedical discipline, and spans five academic quarters. This systems-based approach, combined with clinical case studies, improves the learning experience for entry to patient care and prepares students for Part I of the National Dental Board Examination.
The preclinical curriculum is organized by tooth segments, rather than by dental disciplines. This highly integrated coursework spans six academic quarters of instruction in the simulation laboratory, emphasizing competency in a wide variety of clinical procedures. The coursework stresses patient simulation, technical quality, high efficiency and self-assessment. Students begin clinical care on a limited basis in the second year.
The foundation of the clinical curriculum in the third and fourth academic years rests in the practice of general dentistry organized in practice groups led by general dentist faculty members. This eight-quarter curriculum emphasizes comprehensive patient-centered care, competency of all students in a full range of patient care services, and practice management and efficiency.
The curriculum also prepares students for Part II of the National Board Dental Examination and clinical licensure examinations.",Yes
