section,2017 Applicant and Entering-Class Data,,
order,90,,
field,mean_age_of_first_time_first_year_enrollees,,
type,string,,
filter_by,,,
filter_display_order,,,
content,,,
Dental School,"Mean Age of First-Time, First-Year Enrollees",,
A.T. Still University Arizona School of Dentistry & Oral Health,25,,
A.T. Still University Missouri School of Dentistry & Oral Health,25,,
Boston University Henry M. Goldman School of Dental Medicine,24,,
Case Western Reserve University School of Dental Medicine,23,,
Columbia University College of Dental Medicine,23,,
Creighton University School of Dentistry,23,,
Dental College of Georgia at Augusta University,24,,
East Carolina University School of Dental Medicine,24,,
Harvard School of Dental Medicine,22,,
Herman Ostrow School of Dentistry of USC,24,,
Howard University College of Dentistry,26,,
Indiana University School of Dentistry,24,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine,23,,
Loma Linda University School of Dentistry,24,,
Louisiana State University Health New Orleans School of Dentistry,23,,
Marquette University School of Dentistry,22,,
Medical University of South Carolina James B. Edwards College of Dental Medicine,23,,
Meharry Medical College School of Dentistry,24,,
Midwestern University College of Dental Medicine-Arizona,26,,
Midwestern University College of Dental Medicine-Illinois,24,,
New York University College of Dentistry,23,,
Nova Southeastern University College of Dental Medicine,24,,
Oregon Health & Science University School of Dentistry,24,,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",26,,
"Rutgers, The State University of New Jersey School of Dental Medicine",23,,
Southern Illinois University School of Dental Medicine,23,,
Stony Brook University School of Dental Medicine,23,,
Texas A&M University College of Dentistry,23,,
"The Maurice H. Kornberg School of Dentistry, Temple University",23,,
The Ohio State University College of Dentistry,23,,
The University of Iowa College of Dentistry & Dental Clinics,23,,
Touro College of Dental Medicine at New York Medical College,24,,
Tufts University School of Dental Medicine,24,,
University at Buffalo School of Dental Medicine,23,,
University of Alabama at Birmingham School of Dentistry,22,,
"University of California, Los Angeles, School of Dentistry",23,,
"University of California, San Francisco, School of Dentistry",24,,
University of Colorado School of Dental Medicine,24,,
University of Connecticut School of Dental Medicine,22,,
University of Detroit Mercy School of Dentistry,23,,
University of Florida College of Dentistry,22,,
University of Illinois at Chicago College of Dentistry,23,,
University of Kentucky College of Dentistry,24,,
University of Louisville School of Dentistry,23,,
University of Maryland School of Dentistry,24,,
University of Michigan School of Dentistry,23,,
University of Minnesota School of Dentistry,23,,
University of Mississippi Medical Center School of Dentistry,24,,
University of Missouri - Kansas City School of Dentistry,23,,
University of Nebraska Medical Center College of Dentistry,22,,
"University of Nevada, Las Vegas, School of Dental Medicine",25,,
University of New England College of Dental Medicine,25,,
University of North Carolina at Chapel Hill School of Dentistry,23,,
University of Oklahoma College of Dentistry,23,,
University of Pennsylvania School of Dental Medicine,23,,
University of Pittsburgh School of Dental Medicine,23,,
University of Puerto Rico School of Dental Medicine,23,,
University of Tennessee Health Science Center College of Dentistry,23,,
University of Texas Health Science Center at San Antonio Dental School,23,,
University of Texas School of Dentistry at Houston,23,,
University of Utah School of Dentistry,25,,
University of Washington School of Dentistry,23,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry",23,,
Virginia Commonwealth University School of Dentistry,24,,
West Virginia University School of Dentistry,23,,
Western University of Health Sciences College of Dental Medicine,25,,
University of Alberta School of Dentistry,,,
The University of British Columbia Faculty of Dentistry,,,
University of Manitoba College of Dentistry,,,
Dalhousie University Faculty of Dentistry,,,
University of Toronto Faculty of Dentistry,,,
Western University Schulich School of Medicine & Dentistry,,,
McGill University Faculty of Dentistry,,,
Université Laval Faculté de Médecine Dentaire,,,
Université de Montréal Faculté de Médecine Dentaire,,,
University of Saskatchewan College of Dentistry,,,
