section,Predental Programs,Predental Programs,Predental Programs
order,130,131,132
field,predental_programs,predental_programs_detail,predental_programs_more_information
type,string,text,string
filter_by,,,
filter_display_order,,,
content,,,
Dental School,Predental programs available:,List of predental programs:,"For more information, visit:"
University of Alabama at Birmingham School of Dentistry,Yes,"Summer enrichment programs
• Summer Health Professions Education Program",
"A.T. Still University, Arizona School of Dentistry & Oral Health",Yes,Summer enrichment programs,
Midwestern University College of Dental Medicine-Arizona,Yes,"Pastbaccalaureate program in the College of Health Sciences
• Predental simulation courses",
Herman Ostrow School of Dentistry of USC,Yes,"Dental Explorers Program (two-week experience for predental and high school students)
• Summer enrichment programs",http://dentistry.usc.edu/community-programs/initiatives/
Loma Linda University School of Dentistry,Yes,"Summer enrichment programs
• Careers in Dentistry
• Minorities in Dentistry",
"University of California, Los Angeles, School of Dentistry",Yes,"Summer Health Professions Education Program
• Postbaccalaureate programs",
"University of California, San Francisco,  School of Dentistry ",Yes,"Postbaccalaureate programs (see school website)
• Special affiliation with colleges and universities (UCSF/UC Berkeley Extension – postbaccalaureate program)",http://dentistry.ucsf.edu/admissions/interprofessional-health-post-baccalaureate-certificate-program
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Yes,"Advantage Dental Program for High School Students
• Postbaccalaureate programs
• Special affiliations with college and universities (University of the Pacific – Accelerated Dental Program)",http://dental.pacific.edu/academicprograms/doctor-of-dental-surgery
Western University of Health Sciences College of Dental Medicine ,Yes,Summer Health Professions Education Program,
University of Colorado School of Dental Medicine ,Yes,"Post baccalaureate program (one-year curriculum concentrates on the sciences; helps increase the number of underrepresented individuals in CUSDM classes; by application only). 
• Summer enrichment programs: The Undergraduate Pre-Health Program (UPP) has shadowing and research opportunities for underrepresented minority students.
",
University of Connecticut School of Dental Medicine ,Yes,"DAT workshops
• Passport to Dentistry Program
• Postbaccalaureate programs
• Summer enrichment programs",http://dentalmedicine.uconn.edu/programs-and-admissions/special-programs/
Howard University College of Dentistry ,Yes,"Summer Health Professions Education Program
• Special affiliations with colleges and universities: Howard University – Feeder School
• Other summer enrichment programs",
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Yes,"American Student Dental Association Predental Group
• Health Sciences Post Baccalaureate Program",
Nova Southeastern University College of Dental Medicine ,Yes,"Postbaccalaureate programs
• Special affiliations with colleges and universities (Shaw University – Fast track 3-4 program; St. Leo College – Fast track 3–4 program; Nova Southeastern University – Fast track 3-4 and 4-4 programs; Talladega University – 3-4 program; University of Pennsylvania (LPS) Postbaccalaureate Pre-Health Program)
",
University of Florida College of Dentistry,Yes,Summer Health Professions Education Program,http://dental.ufl.edu/education/dmd-program/student-multicultural-affairs/outreach-programs/summer-learning-program/
Dental College of Georgia at Augusta University,Yes,Summer educational enrichment program,http://www.augusta.edu/mcg/students/seep.php
Midwestern University College of Dental Medicine-Illinois ,No,"
",
Southern Illinois University School of Dental Medicine ,No,,
University of Illinois at Chicago College of Dentistry ,Yes,"DAT workshops
• Illinois Predental Consortium
• Postbaccalaureate programs
• Summer enrichment programs",
Indiana University School of Dentistry ,No,,http://hls.iupui.edu/
The University of Iowa College of Dentistry & Dental Clinics ,Yes,"Summer enrichment programs
• Summer Health Professions Education Program
• Iowa American Student Dental Association Summer Academy",https://intradent.dentistry.uiowa.edu/education-application
University of Kentucky College of Dentistry ,Yes,"Open house
• Sim Lab Experience",https://dentistry.uky.edu/prospective-students
University of Louisville School of Dentistry ,Yes,"DAT workshop
• GEAR UP Health Sciences Summer Academy
• LASDA Introduction to Dentistry Workshop
• Professional Education Preparation Program
• Summer Health Professions Education Program
• Various other summer enrichment programs",http://louisville.edu/hsc/diversity/pre-health-programs
Louisiana State University Health New Orleans School of Dentistry ,Yes,"Mini Admissions Workshops
• Predental 101 College Workshop
• Summer enrichment programs
• Summer Health Professions Education Program",
University of New England College of Dental Medicine ,Yes,Pre-Dental Club,https://getinvolved.une.edu/organization/pre-dentalclub
University of Maryland School of Dentistry,Yes,Summer enrichment programs,
Boston University Henry M. Goldman School of Dental Medicine,Yes,Boston University Metropolitan College Post-Baccalaureate Certificate in Pre-Medical Studies (prepares students for admission to medical school and other health career programs).,http://www.bu.edu/met/programs/undergraduate/pre-medical-studies-post-baccalaureate-certificate/
Harvard School of Dental Medicine,No,,
Tufts University School of Dental Medicine,Yes,"Postbaccalaureate programs
• Special affiliations with colleges and universities (Tufts University School of Arts and Sciences 8-Year Early Assurance Program and Postbaccalaureate Joint Degree program; Marist College –Early Assurance Program; Tougaloo College – Early Assurance Program; Fisk University – Early Assurance Program)",http://dental.tufts.edu/
University of Detroit Mercy School of Dentistry,Yes,"American Student Dental Association Predental Workshop
• DAT workshops
• Postbaccalaureate programs
• Special affiliations with colleges and universities (academic program enabling students to earn a combined baccalaureate/D.D.S. degree in seven calendar years)",
University of Michigan School of dentistry,Yes,Summer enrichment for 3rd and 4th year undergraduates,http://dent.umich.edu/student-life/extracurricular/diversity-and-inclusion
University of Minnesota School of Dentistry,Yes,American Student Dental Association Drill and Fill Experience,https://www.dentistry.umn.edu/degrees-programs/dental-school-preparation-programs
University of Mississippi Medical Center School of dentistry,Yes,"DAT workshops
• Impressions Program (Student National Dental Association)
• Postbaccalaureate programs
• Summer enrichment programs",
A.T. Still University Missouri School of Dentistry & Oral Health,No,,
"University of Missouri - Kansas City, School of Dentistry",Yes,"Online DAT Preparatory course (available at cewebinar.com)
• Admissions Enhancement Program
• Dental Explorer’s Post",
Creighton University School of Dentistry,Yes,Postbaccalaureate programs,https://www.creighton.edu/program/postbaccalaureate-pre-dental-certificate
University of Nebraska Medical Center College of Dentistry,Yes,"Summer Health Professions Education Program
• American Student Dental Association Simulation Clinic",
"University of Nevada, Las Vegas, School of Dental Medicine",Yes,"Special affiliations with colleges and universities
• Summer enrichment programs (two-day UNLV Dental Simulation Course that involves a hands-on experience for predental students)",http://unlvadea.org/programs/simulation-course/
"Rutgers, The State University of New Jersey, School of Dental Medicine",Yes,"College Level Pipeline Programs (Gateway to Dentistry and Summer Health Professions Education Program) • Other enrichment programs (Decision for Dentistry [high-school level]; Dental Express and Dental Exploration [elementary-school level]) • B.S./D.M.D. Articulation Programs (Caldwell University; Fairleigh Dickinson University; Montclair State University; New Jersey City University; New Jersey Institute of Technology; North Carolina Central University; Ramapo College; Rowan University; Rutgers, The State University of New Jersey; Saint Peter’s University; Stockton University)",
Columbia University College of Dental Medicine,Yes,Summer Health Professions Education Program,http://ps.columbia.edu/education/student-life/office-diversity/programs/college-and-post-baccalaureate-students/SHPEP
