section,Student Life,Student Life,Student Life,Student Life,Student Life,Student Life,Student Life,Student Life,Student Life
order,110,111,112,113,114,115,116,117,118
field,academic_counseling,student_life_community_service,internships_externships_extramural,mentoring,personal_counseling,professional_and_career_development,training_for_academic_careers,student_life_other_comments,student_life_more_information
type,string,string,string,string,string,string,string,string,string
filter_by,,,,,,,,,
filter_display_order,,,,,,,,,
content,,,,,,,,,
Dental School,Academic counseling and tutoring:,Community service opportunities:,"Internships, externships or extramural programs:",Mentoring:,Personal counseling:,Professional- and career-development programming:,Training for those interested in academic careers:,Additional information:,"For more information, visit: "
University of Alabama at Birmingham School of Dentistry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Yes,Yes,Yes,Yes,Yes,NR,NR,Transfer applicants considered if space available.,
Midwestern University College of Dental Medicine-Arizona,Yes,Yes,Yes,Yes,Yes,NR,NR,Community service rotations available in DM-2; extramural rotations in DM-3 and DM-4.,
Herman Ostrow School of Dentistry of USC,Yes,Yes,Yes,NR,Yes,Yes,NR,,https://studentaffairs.usc.edu
Loma Linda University School of Dentistry,NR,Yes,NR,NR,NR,NR,NR,International service opportunities,
"University of California, Los Angeles, School of Dentistry",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
"University of California, San Francisco,  School of Dentistry ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Specific affiliations with colleges and universities (University of San Francisco – M.B.A. program),
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,http://www.dental.pacific.edu\Current_Students\Student_Life.html
Western University of Health Sciences College of Dental Medicine ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
University of Colorado School of Dental Medicine ,Yes,Yes,NR,Yes,Yes,Yes,NR,Opportunity to serve in Guatemala; transfer applicants considered if space available.,
University of Connecticut School of Dental Medicine ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Services (in the U.S. and abroad),http://sdm.uchc.edu/studentlife/index.html
Howard University College of Dentistry ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Yes,NR,NR,NR,NR,NR,NR,Student Ambassadors; student tutors.,
Nova Southeastern University College of Dental Medicine ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Transfer applicants considered if space available.,
University of Florida College of Dentistry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Access to all University of Florida student services. ,http://www.ufsa.ufl.edu/education/dmd-program
Dental College of Georgia at Augusta University,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,http://www.augusta.edu/dentalmedicine/admit/studentorganizations.php
Midwestern University College of Dental Medicine-Illinois ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Southern Illinois University School of Dental Medicine ,Yes,Yes,NR,NR,Yes,NR,NR,,http://www.siue.edu/dental/index.shtml
University of Illinois at Chicago College of Dentistry ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Indiana University School of Dentistry ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Career services job board.,
