section,Application and Selection,,,
order,75,,,
table_name,application_process,,,
display_table_name,Application Process,,,
table_has_categories,yes,,,
filter_by,,,,
filter_display_order,,,,
content,,,,
Dental School,Dental School …,Yes,No,Additional Information
University of Alabama at Birmingham School of Dentistry,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of Alabama at Birmingham School of Dentistry,Accepts direct applicants?,,x,
University of Alabama at Birmingham School of Dentistry,Requires a secondary or supplemental application?,x,,
University of Alabama at Birmingham School of Dentistry,Has a secondary or supplemental application website?,,x,
A.T. Still University Arizona School of Dentistry & Oral Health,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
A.T. Still University Arizona School of Dentistry & Oral Health,Accepts direct applicants?,,x,
A.T. Still University Arizona School of Dentistry & Oral Health,Requires a secondary or supplemental application?,x,,
A.T. Still University Arizona School of Dentistry & Oral Health,Has a secondary or supplemental application website?,,x,Invitation will be sent by email.
Midwestern University College of Dental Medicine-Arizona,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Midwestern University College of Dental Medicine-Arizona,Accepts direct applicants?,,x,
Midwestern University College of Dental Medicine-Arizona,Requires a secondary or supplemental application?,x,,
Midwestern University College of Dental Medicine-Arizona,Has a secondary or supplemental application website?,x,,Sent from admissions office if qualified.
Herman Ostrow School of Dentistry of USC,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Herman Ostrow School of Dentistry of USC,Accepts direct applicants?,,x,
Herman Ostrow School of Dentistry of USC,Requires a secondary or supplemental application?,,x,
Herman Ostrow School of Dentistry of USC,Has a secondary or supplemental application website?,,x,
Loma Linda University School of Dentistry,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Loma Linda University School of Dentistry,Accepts direct applicants?,,x,
Loma Linda University School of Dentistry,Requires a secondary or supplemental application?,x,,
Loma Linda University School of Dentistry,Has a secondary or supplemental application website?,,x,Information is emailed to applicant.
"University of California, Los Angeles, School of Dentistry",Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
"University of California, Los Angeles, School of Dentistry",Accepts direct applicants?,,x,
"University of California, Los Angeles, School of Dentistry",Requires a secondary or supplemental application?,x,,
"University of California, Los Angeles, School of Dentistry",Has a secondary or supplemental application website?,x,,https://www.dentistry.ucla.edu/
"University of California, San Francisco,  School of Dentistry ",Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
"University of California, San Francisco,  School of Dentistry ",Accepts direct applicants?,,x,
"University of California, San Francisco,  School of Dentistry ",Requires a secondary or supplemental application?,x,,Accepted upon invitation only.
"University of California, San Francisco,  School of Dentistry ",Has a secondary or supplemental application website?,x,,Provided upon invitation only.
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Accepts direct applicants?,,x,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Requires a secondary or supplemental application?,,x,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Has a secondary or supplemental application website?,,x,
Western University of Health Sciences College of Dental Medicine ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Western University of Health Sciences College of Dental Medicine ,Accepts direct applicants?,,x,
Western University of Health Sciences College of Dental Medicine ,Requires a secondary or supplemental application?,x,,To be submitted online with $60 fee via the WesternU website.
Western University of Health Sciences College of Dental Medicine ,Has a secondary or supplemental application website?,x,,http://prospective.westernu.edu/dentistry/apply-2/
University of Colorado School of Dental Medicine ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of Colorado School of Dental Medicine ,Accepts direct applicants?,,x,
University of Colorado School of Dental Medicine ,Requires a secondary or supplemental application?,x,,Only upon request.
University of Colorado School of Dental Medicine ,Has a secondary or supplemental application website?,,x,
University of Connecticut School of Dental Medicine ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of Connecticut School of Dental Medicine ,Accepts direct applicants?,x,,
University of Connecticut School of Dental Medicine ,Requires a secondary or supplemental application?,,x,
University of Connecticut School of Dental Medicine ,Has a secondary or supplemental application website?,,x,
Howard University College of Dentistry ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Howard University College of Dentistry ,Accepts direct applicants?,,x,
Howard University College of Dentistry ,Requires a secondary or supplemental application?,,x,
Howard University College of Dentistry ,Has a secondary or supplemental application website?,,x,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Accepts direct applicants?,,x,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Requires a secondary or supplemental application?,x,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Has a secondary or supplemental application website?,x,,https://lecom.edu/
Nova Southeastern University College of Dental Medicine ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Nova Southeastern University College of Dental Medicine ,Accepts direct applicants?,,x,
Nova Southeastern University College of Dental Medicine ,Requires a secondary or supplemental application?,x,,
Nova Southeastern University College of Dental Medicine ,Has a secondary or supplemental application website?,x,,http://www.nova.edu/
University of Florida College of Dentistry,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of Florida College of Dentistry,Accepts direct applicants?,,x,
University of Florida College of Dentistry,Requires a secondary or supplemental application?,x,,By invitation only.
University of Florida College of Dentistry,Has a secondary or supplemental application website?,x,,Website provided when appicant invited to complete a supplemental application.
Dental College of Georgia at Augusta University,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Dental College of Georgia at Augusta University,Accepts direct applicants?,,x,
Dental College of Georgia at Augusta University,Requires a secondary or supplemental application?,x,,
Dental College of Georgia at Augusta University,Has a secondary or supplemental application website?,,x,Emailed to selected candidates.
Midwestern University College of Dental Medicine-Illinois ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Midwestern University College of Dental Medicine-Illinois ,Accepts direct applicants?,,x,
Midwestern University College of Dental Medicine-Illinois ,Requires a secondary or supplemental application?,x,,
Midwestern University College of Dental Medicine-Illinois ,Has a secondary or supplemental application website?,,x,Sent from admissions office if qualified.
Southern Illinois University School of Dental Medicine ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Southern Illinois University School of Dental Medicine ,Accepts direct applicants?,,x,
Southern Illinois University School of Dental Medicine ,Requires a secondary or supplemental application?,x,,
Southern Illinois University School of Dental Medicine ,Has a secondary or supplemental application website?,x,,http://www.siue.edu/dental/programs/dmd/application-process.shtml
University of Illinois at Chicago College of Dentistry ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,Letters of recommendation are accepted electronically via ADEA AADSAS® only.
University of Illinois at Chicago College of Dentistry ,Accepts direct applicants?,,x,
University of Illinois at Chicago College of Dentistry ,Requires a secondary or supplemental application?,x,,
University of Illinois at Chicago College of Dentistry ,Has a secondary or supplemental application website?,x,,https://admissions.uic.edu/graduate-professional/application-process/dmd-supplemental-application
Indiana University School of Dentistry ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Indiana University School of Dentistry ,Accepts direct applicants?,,x,
Indiana University School of Dentistry ,Requires a secondary or supplemental application?,x,,
Indiana University School of Dentistry ,Has a secondary or supplemental application website?,x,,
The University of Iowa College of Dentistry & Dental Clinics ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
The University of Iowa College of Dentistry & Dental Clinics ,Accepts direct applicants?,,x,
The University of Iowa College of Dentistry & Dental Clinics ,Requires a secondary or supplemental application?,x,,
The University of Iowa College of Dentistry & Dental Clinics ,Has a secondary or supplemental application website?,,x,
University of Kentucky College of Dentistry ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of Kentucky College of Dentistry ,Accepts direct applicants?,,x,
University of Kentucky College of Dentistry ,Requires a secondary or supplemental application?,x,,Only when contacted.
University of Kentucky College of Dentistry ,Has a secondary or supplemental application website?,,x,
University of Louisville School of Dentistry ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of Louisville School of Dentistry ,Accepts direct applicants?,x,,Only students who complete the ULEAD program.
University of Louisville School of Dentistry ,Requires a secondary or supplemental application?,,x,
University of Louisville School of Dentistry ,Has a secondary or supplemental application website?,,x,
Louisiana State University Health New Orleans School of Dentistry ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Louisiana State University Health New Orleans School of Dentistry ,Accepts direct applicants?,,x,
Louisiana State University Health New Orleans School of Dentistry ,Requires a secondary or supplemental application?,x,,By invitation only.
Louisiana State University Health New Orleans School of Dentistry ,Has a secondary or supplemental application website?,x,,Sent by admissions office.
University of New England College of Dental Medicine ,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of New England College of Dental Medicine ,Accepts direct applicants?,,x,
University of New England College of Dental Medicine ,Requires a secondary or supplemental application?,x,,
University of New England College of Dental Medicine ,Has a secondary or supplemental application website?,,x,Supplemental application sent electronically on an invitational basis via the Office of Graduate and Professional Admissions.
University of Maryland School of Dentistry,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of Maryland School of Dentistry,Accepts direct applicants?,,x,
University of Maryland School of Dentistry,Requires a secondary or supplemental application?,x,,By invitation only.
University of Maryland School of Dentistry,Has a secondary or supplemental application website?,,x,
Boston University Henry M. Goldman School of Dental Medicine,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Boston University Henry M. Goldman School of Dental Medicine,Accepts direct applicants?,,x,
Boston University Henry M. Goldman School of Dental Medicine,Requires a secondary or supplemental application?,x,,
Boston University Henry M. Goldman School of Dental Medicine,Has a secondary or supplemental application website?,x,,Supplemental questions in ADEA AADSAS Program materials section for BU GSDM.
Harvard School of Dental Medicine,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Harvard School of Dental Medicine,Accepts direct applicants?,,x,
Harvard School of Dental Medicine,Requires a secondary or supplemental application?,x,,Only when selected for interview.
Harvard School of Dental Medicine,Has a secondary or supplemental application website?,,,NR
Tufts University School of Dental Medicine,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Tufts University School of Dental Medicine,Accepts direct applicants?,,x,
Tufts University School of Dental Medicine,Requires a secondary or supplemental application?,x,,Sent to interviewed candidates only.
Tufts University School of Dental Medicine,Has a secondary or supplemental application website?,,x,
University of Detroit Mercy School of Dentistry,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of Detroit Mercy School of Dentistry,Accepts direct applicants?,,x,
University of Detroit Mercy School of Dentistry,Requires a secondary or supplemental application?,x,,Application considered only after submission of supplemental application fee of $125.
University of Detroit Mercy School of Dentistry,Has a secondary or supplemental application website?,x,,Link provided only to candidates offered an interview.
University of Michigan School of Dentistry,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of Michigan School of Dentistry,Accepts direct applicants?,,x,
University of Michigan School of Dentistry,Requires a secondary or supplemental application?,,x,
University of Michigan School of Dentistry,Has a secondary or supplemental application website?,,NA,
University of Minnesota School of Dentistry,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of Minnesota School of Dentistry,Accepts direct applicants?,,x,
