section,Preparation,,,
order,50,,,
table_name,baccalaureate,,,
display_table_name,,,,
table_has_categories,yes,,,
filter_by,,,,
filter_display_order,,,,
content,,,,
Dental School,,Preferred,Strongly Preferred,Required
University of Alabama at Birmingham School of Dentistry,Baccalaureate is:,x,,
A.T. Still University Arizona School of Dentistry & Oral Health,Baccalaureate is:,x,,
Midwestern University College of Dental Medicine-Arizona,Baccalaureate is:,x,,
Herman Ostrow School of Dentistry of USC,Baccalaureate is:,x,,
Loma Linda University School of Dentistry,Baccalaureate is:,x,,
"University of California, Los Angeles, School of Dentistry",Baccalaureate is:,x,,
"University of California, San Francisco,  School of Dentistry ",Baccalaureate is:,x,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Baccalaureate is:,x,,
Western University of Health Sciences College of Dental Medicine ,Baccalaureate is:,x,,
University of Colorado School of Dental Medicine ,Baccalaureate is:,x,,
University of Connecticut School of Dental Medicine ,Baccalaureate is:,x,,
Howard University College of Dentistry ,Baccalaureate is:,,,x
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Baccalaureate is:,x,,
Nova Southeastern University College of Dental Medicine ,Baccalaureate is:,x,,
University of Florida College of Dentistry,Baccalaureate is:,,,x
Dental College of Georgia at Augusta University,Baccalaureate is:,x,,
Midwestern University College of Dental Medicine-Illinois ,Baccalaureate is:,,,x
Southern Illinois University School of Dental Medicine ,Baccalaureate is:,x,,
University of Illinois at Chicago College of Dentistry ,Baccalaureate is:,,,x
Indiana University School of Dentistry ,Baccalaureate is:,x,,
The University of Iowa College of Dentistry & Dental Clinics ,Baccalaureate is:,x,,
University of Kentucky College of Dentistry ,Baccalaureate is:,x,,
University of Louisville School of Dentistry ,Baccalaureate is:,x,,
Louisiana State University Health New Orleans School of Dentistry ,Baccalaureate is:,x,,
University of New England College of Dental Medicine ,Baccalaureate is:,x,,
University of Maryland School of Dentistry,Baccalaureate is:,,x,
Boston University Henry M. Goldman School of Dental Medicine,Baccalaureate is:,,,x
Harvard School of Dental Medicine,Baccalaureate is:,x,,
Tufts University School of Dental Medicine,Baccalaureate is:,,,x
University of Detroit Mercy School of Dentistry,Baccalaureate is:,x,,
University of Michigan School of dentistry,Baccalaureate is:,x,,
University of Minnesota School of Dentistry,Baccalaureate is:,x,,
University of Mississippi Medical Center School of dentistry,Baccalaureate is:,x,,
A.T. Still University Missouri School of Dentistry & Oral Health,Baccalaureate is:,x,,
"University of Missouri - Kansas City, School of Dentistry",Baccalaureate is:,x,,
Creighton University School of Dentistry,Baccalaureate is:,x,,
University of Nebraska Medical Center College of Dentistry,Baccalaureate is:,x,,
"University of Nevada, Las Vegas, School of Dental Medicine",Baccalaureate is:,,x,
"Rutgers, The State University of New Jersey, School of Dental Medicine",Baccalaureate is:,x,,
Columbia University College of Dental Medicine,Baccalaureate is:,x,,
New York University College of Dentistry,Baccalaureate is:,x,,
Stony Brook University School of Dental Medicine,Baccalaureate is:,x,,
Touro College of Dental Medicine at New York Medical College,Baccalaureate is:,x,,
University at Buffalo School of Dental Medicine,Baccalaureate is:,x,,
East Carolina University School of Dental Medicine,Baccalaureate is:,,,x
University of North Carolina at Chapel Hill School of Dentistry,Baccalaureate is:,x,,
Case Western Reserve University School of Dental Medicine,Baccalaureate is:,,x,
The Ohio State University College of Dentistry,Baccalaureate is:,x,,
University of Oklahoma College of Dentistry,Baccalaureate is:,x,,
Oregon Health & Science University School of Dentistry,Baccalaureate is:,x,,
"The Maurice H. Kornberg School of Dentistry, Temple University",Baccalaureate is:,x,,
University of Pennsylvania School of Dental Medicine,Baccalaureate is:,x,,
University of Pittsburgh School of Dental Medicine,Baccalaureate is:,x,,
University of Puerto Rico School of Dental Medicine,Baccalaureate is:,x,,
Medical University of South Carolina James B. Edwards College of Dental Medicine,Baccalaureate is:,,x,
Meharry Medical College School of Dentistry,Baccalaureate is:,x,,
University of Tennessee Health Science Center College of Dentistry,Baccalaureate is:,x,,
Texas A&M University College of Dentistry,Baccalaureate is:,x,,
University of Texas Health Science Center at San Antonio School of Dentistry,Baccalaureate is:,x,,
University of Texas School of Dentistry at Houston,Baccalaureate is:,x,,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Baccalaureate is:,x,,
University of Utah School of Dentistry,Baccalaureate is:,,,x
Virginia Commonwealth University School of Dentistry,Baccalaureate is:,x,,
University of Washington School of Dentistry,Baccalaureate is:,x,,
West Virginia University School of Dentistry,Baccalaureate is:,x,,
Marquette University School of Dentistry,Baccalaureate is:,x,,
University of Alberta School of Dentistry ,Baccalaureate is:,–,–,–
University of British Columbia Faculty of Dentistry ,Baccalaureate is:,–,–,–
University of Manitoba College of Dentistry ,Baccalaureate is:,–,–,–
Dalhousie University Faculty of Dentistry ,Baccalaureate is:,x,,
University of Toronto Faculty of Dentistry ,Baccalaureate is:,–,–,–
Western University Schulich School of Medicine & Dentistry ,Baccalaureate is:,,,x
McGill University Faculty of Dentistry ,Baccalaureate is:,–,–,–
Université Laval Faculté de Médecine Dentaire ,Baccalaureate is:,–,–,–
Université de Montréal Faculté de Médecine Dentaire,Baccalaureate is:,–,–,–
University of Saskatchewan College of Dentistry,Baccalaureate is:,–,–,–
