section,Curriculum,,,,,
order,47,,,,,
table_name,combined_degree_programs_offered,,,,,
display_table_name,Combined Degree Programs Offered,,,,,
table_has_categories,No,,,,,
filter_by,,,,,,
filter_display_order,,,,,,
content,,,,,,
Dental School,Ph.D.,M.B.A,M.P.H.,M.S.,B.A./B.S.,Other Degree(s)
University of Alabama at Birmingham School of Dentistry,x,x,x,–,–,–
"A.T. Still University, Arizona School of Dentistry & Oral Health",–,–,x,–,–,–
Midwestern University College of Dental Medicine-Arizona,–,–,–,–,–,–
Herman Ostrow School of Dentistry of USC,x,–,–,x,x,Six-year B.S. in dental hygiene/D.D.S.
Loma Linda University School of Dentistry,x,–,x,x,x,–
"University of California, Los Angeles, School of Dentistry",x,x,x,–,–,–
"University of California, San Francisco, School of Dentistry",x,Available on a limited basis.,–,–,Available on a limited basis.,"M.B.A., B.S. available only on a limited basis."
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",–,–,–,–,–,–
Western University of Health Sciences College of Dental Medicine ,–,–,–,–,–,–
University of Colorado School of Dental Medicine ,–,–,–,–,x,–
University of Connecticut School of Dental Medicine ,x,x,x,x,x,–
Howard University College of Dentistry ,–,–,–,–,x,B.S./D.D.S. offered to Howard undergraduates.
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,–,–,–,–,–,Master's in Health Services Administration; Master of Medical Sciences
Nova Southeastern University College of Dental Medicine ,–,–,x,x,–,D.O./D.M.D.
University of Florida College of Dentistry,x,–,x,–,x,–
Dental College of Georgia at Augusta University,x,x,–,x,x,–
Midwestern University College of Dental Medicine-Illinois ,–,–,–,x,–,D.M.D./Master’s in Biomedical Science
Southern Illinois University School of Dental Medicine ,–,–,–,–,–,–
University of Illinois at Chicago College of Dentistry ,x,–,–,x,–,–
Indiana University School of Dentistry ,x,–,x,–,–,–
The University of Iowa College of Dentistry & Dental Clinics ,–,–,x,x,–,The opportunity exists for students to complete a defined set of requirements for the M.S. in Public Health Program while in dental school and have advanced standing in the M.S. program at the completion of the D.D.S.
University of Kentucky College of Dentistry ,–,–,–,–,–,–
University of Louisville School of Dentistry ,x,x,–,x,–,Ph.D. in Interdisciplinary Studies (Oral Biology); M.S. in Oral Biology.
Louisiana State University Health New Orleans School of Dentistry ,x,–,–,–,–,–
University of New England College of Dental Medicine ,–,–,–,–,–,–
University of Maryland School of Dentistry,x,x,x,–,–,–
Boston University Henry M. Goldman School of Dental Medicine,–,–,–,–,x,–
Harvard School of Dental Medicine,x,x,x,–,–,–
Tufts University School of Dental Medicine,–,–,x,x,x,–
University of Detroit Mercy School of Dentistry,–,–,–,–,–,B.S./D.D.S. for highly qualified high school applicants enrolled in UDM 7-year combined undergraduate/dental program.
University of Michigan School of Dentistry,x,–,x,x,–,–
University of Minnesota School of Dentistry,x,–,x,x,x,–
University of Mississippi Medical Center School of dentistry,–,–,–,–,–,–
A.T. Still University Missouri School of Dentistry & Oral Health,–,–,x,–,–,–
"University of Missouri - Kansas City, School of Dentistry",x,–,–,–,–,–
Creighton University School of Dentistry,x,x,x,x,x,–
University of Nebraska Medical Center College of Dentistry,x,–,–,–,–,–
"University of Nevada, Las Vegas, School of Dental Medicine",–,x,x,–,–,–
"Rutgers, The State University of New Jersey, School of Dental Medicine",x,x,x,x,x,–
Columbia University College of Dental Medicine,–,x,x,–,–,–
New York University College of Dental Medicine,–,–,x,x,x,–
Stony Brook University School of Dental Medicine,x,x,x,x,–,–
Touro College of Dental Medicine at New York Medical College,–,–,–,–,–,–
University at Buffalo School of Dental Medicine,x,x,–,x,x,–
East Carolina University School of Dental Medicine,–,–,–,–,–,–
University of North Carolina at Chapel Hill School of Dentistry,x,–,x,x,–,–
Case Western Reserve University School of Dental Medicine,–,–,x,x,x,M.C.R.T. (master’s degree in clinical research training)
The Ohio State University College of Dentistry,x,–,–,–,–,–
University of Oklahoma College of Dentistry,x,x,x,x,x,–
Oregon Health & Science University School of Dentistry,x,x,x,x,x,–
"The Maurice H. Kornberg School of Dentistry, Temple University",–,x,x,x,x,–
University of Pennsylvania School of Dental Medicine,x,x,x,x,x,–
University of Pittsburgh School of Dental Medicine,x,–,x,x,x,–
University of Puerto Rico School of Dental Medicine,x,–,–,–,–,–
Medical University of South Carolina James B. Edwards College of Dental Medicine,x,–,–,–,–,–
Meharry Medical College School of Dentistry,–,–,–,–,–,–
University of Tennessee Health Science Center College of Dentistry,x,–,–,–,–,–
Texas A&M University College of Dentistry,x,–,–,–,–,–
University of Texas Health Science Center at San Antonio School of Dentistry,x,–,–,x,–,–
University of Texas School of Dentistry at Houston,x,x,x,x,x,–
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",x,x,x,x,x,–
University of Utah School of Dentistry,x,x,x,x,x,–
Virginia Commonwealth University School of Dentistry,x,–,x,x,–,–
University of Washington School of Dentistry,x,–,x,x,–,–
West Virginia University School of Dentistry,–,x,x,–,–,–
Marquette University School of Dentistry,–,–,–,–,x,–
University of Alberta School of Dentistry ,x,–,–,x,–,–
University of British Columbia Faculty of Dentistry ,x,x,x,x,x,–
University of Manitoba College of Dentistry ,–,–,–,–,x,–
Dalhousie University Faculty of Dentistry ,–,–,–,x,–,–
University of Toronto Faculty of Dentistry ,x,–,–,–,–,M.Sc.
Western University Schulich School of Medicine & Dentistry ,x,–,–,–,–,Ph.D./D.D.S. is awarded as part of the Schulich Dental Clinician Scientist program.
McGill University Faculty of Dentistry ,x,x,x,x,x,–
Université Laval Faculté de Médecine Dentaire ,–,–,–,x,–,–
Université de Montréal Faculté de Médecine Dentaire,x,x,x,x,x,–
University of Saskatchewan College of Dentistry,x,x,x,x,x,–
