section,Preparation,,,
order,55,,,
table_name,community_college_coursework_and_advanced_placement_credit,,,
display_table_name,Community College Coursework and Advanced Placement (AP) Credit,,,
table_has_categories,no,,,
filter_by,,,,
filter_display_order,,,,
content,,,,
,Prerequisites,Prerequisites,Electives,Electives
Dental School,AP Credit Accepted,Community College Coursework Accepted,AP Credit Accepted,Community College Coursework Accepted
University of Alabama at Birmingham School of Dentistry,x,x,x,x
A.T. Still University Arizona School of Dentistry & Oral Health,,x,x,x
Midwestern University College of Dental Medicine-Arizona,x,x,x,x
Herman Ostrow School of Dentistry of USC,x,"x
(very limited number)",x,x
Loma Linda University School of Dentistry,"x
(English only)","x
(discouraged)",x,"x
(discouraged)"
"University of California, Los Angeles, School of Dentistry",x,x,,x
"University of California, San Francisco, School of Dentistry ",x,x,"x
(See Comments.)",x
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",x,x,x,x
Western University of Health Sciences College of Dental Medicine ,x,x,x,x
University of Colorado School of Dental Medicine ,x,x,x,x
University of Connecticut School of Dental Medicine ,x,x,x,x
Howard University College of Dentistry ,,x,x,x
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,x,x,x,x
Nova Southeastern University College of Dental Medicine ,x,x,x,x
University of Florida College of Dentistry,x,x,x,x
Dental College of Georgia at Augusta University,x,x,x,x
Midwestern University College of Dental Medicine-Illinois ,x,x,x,x
Southern Illinois University School of Dental Medicine ,,x,x,x
University of Illinois at Chicago College of Dentistry ,,x,,x
Indiana University School of Dentistry ,,,x                (See Comments.),x (See comments.)
The University of Iowa College of Dentistry & Dental Clinics ,x,x,x,x
University of Kentucky College of Dentistry ,x,x,x,x
University of Louisville School of Dentistry ,x,x,x,x
Louisiana State University Health New Orleans School of Dentistry ,x,x,x,x
University of New England College of Dental Medicine ,,x,,x
University of Maryland School of Dentistry,x,x,x,x
Boston University Henry M. Goldman School of Dental Medicine,,,x,x
Harvard School of Dental Medicine,,x,x,x
Tufts University School of Dental Medicine,,,x,x
University of Detroit Mercy School of Dentistry,x,x (See Comments.),x,x (See Comments.)
University of Michigan School of Dentistry,x,x,x,x
University of Minnesota School of Dentistry,x,x,x,x
University of Mississippi Medical Center School of dentistry,,x,x,x
A.T. Still University Missouri School of Dentistry & Oral Health,x,x,x,x
"University of Missouri - Kansas City, School of Dentistry",,x (See Comments.),(See Comments.),x
Creighton University School of Dentistry,,,,x
University of Nebraska Medical Center College of Dentistry,x,x,x,x
"University of Nevada, Las Vegas, School of Dental Medicine",,x,x,x
"Rutgers, The State University of New Jersey, School of Dental Medicine",,x,x (See Comments.),x
Columbia University College of Dental Medicine,x,x,x,x
New York University College of Dentistry,x (See Comments.),x (See Comments.),x,x
Stony Brook University School of Dental Medicine,x (See Comments.),x (See Comments.),x (See Comments.),"x
"
Touro College of Dental Medicine at New York Medical College,,x,,x
University at Buffalo School of Dental Medicine,x,x (See Comments.),x,x (See Comments.)
East Carolina University School of Dental Medicine,(In some instances.),(In some instances.),x,x
University of North Carolina at Chapel Hill School of Dentistry,x,x (See Comments.),x,x
Case Western Reserve University School of Dental Medicine,,x (See Comments.),,x (See Comments.)
The Ohio State University College of Dentistry,x,x (See Comments.),x,x
University of Oklahoma College of Dentistry,x,x,x,x
Oregon Health & Science University School of Dentistry,x,x,x,x
"The Maurice H. Kornberg School of Dentistry, Temple University",,,x,x
University of Pennsylvania School of Dental Medicine,x,x,x,x
University of Pittsburgh School of Dental Medicine,,x (See Comments.),x,x (See Comments.)
University of Puerto Rico School of Dental Medicine,x,x,x,x
"Medical University of South Carolina James B. Edwards
College of Dental Medicine",x,x,x,x
Meharry Medical College School of Dentistry,,x (See Comments.),,x
University of Tennessee Health Science Center College of Dentistry,,x,,x
Texas A&M University College of Dentistry,x,x,x,x
University of Texas Health Science Center at San Antonio School of Dentistry,,x,,x
University of Texas School of Dentistry at Houston,x,x,x,x
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",x,x,x,x
University of Utah School of Dentistry,x,x,x,x
Virginia Commonwealth University School of Dentistry,x,x,x,x
University of Washington School of Dentistry,x,x,x,x
West Virginia University School of Dentistry,,x,x,x
Marquette University School of Dentistry,x,x,x,x
University of Alberta School of Dentistry ,x,x,x,x
University of British Columbia Faculty of Dentistry ,x,x,x,x
University of Manitoba College of Dentistry ,x,x,x,x
Dalhousie University Faculty of Dentistry ,x,,x,
University of Toronto Faculty of Dentistry ,,,,
Western University Schulich School of Medicine & Dentistry ,x,,,
McGill University Faculty of Dentistry ,x,,,x
Université Laval Faculté de Médecine Dentaire ,NA,x,NA,x (dental hygiene)
Université de Montréal Faculté de Médecine Dentaire,,x,,
University of Saskatchewan College of Dentistry,x,x,,x
