section,Costs and Financial Aid,,,,
order,101,,,,
table_name,costs_based_on_2017_18_school_year,,,,
display_table_name,Costs Based on 2017–18 School Year,,,,
table_has_categories,yes,,,,
filter_by,,,,,
filter_display_order,,,,,
content,,,,,
Dental School,Type of Cost,First Year,Second Year,Third Year,Fourth Year
University of Alabama at Birmingham School of Dentistry,"Tuition, resident",,,,
University of Alabama at Birmingham School of Dentistry,"Tuition, nonresident",,,,
University of Alabama at Birmingham School of Dentistry,Fees,,,,
University of Alabama at Birmingham School of Dentistry,"Instruments, books and supplies",,,,
University of Alabama at Birmingham School of Dentistry,Estimated living expenses,,,,
University of Alabama at Birmingham School of Dentistry,"Total, resident",,,,
University of Alabama at Birmingham School of Dentistry,"Total, nonresident",,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health","Tuition, resident",,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health","Tuition, nonresident",,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Fees,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health","Instruments, books and supplies",,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Estimated living expenses,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health","Total, resident",,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health","Total, nonresident",,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health","Total, regional or international",,,,
Midwestern University College of Dental Medicine-Arizona,"Tuition, resident",,,,
Midwestern University College of Dental Medicine-Arizona,"Tuition, nonresident",,,,
Midwestern University College of Dental Medicine-Arizona,"Tuition, regional or international",,,,
Midwestern University College of Dental Medicine-Arizona,Fees,,,,
Midwestern University College of Dental Medicine-Arizona,"Instruments, books and supplies",,,,
Midwestern University College of Dental Medicine-Arizona,Estimated living expenses,,,,
Midwestern University College of Dental Medicine-Arizona,"Total, resident",,,,
Midwestern University College of Dental Medicine-Arizona,"Total, nonresident",,,,
Midwestern University College of Dental Medicine-Arizona,"Total, regional or international",,,,
Midwestern University College of Dental Medicine-Arizona,Notes:,,,,
Herman Ostrow School of Dentistry of USC,"Tuition, resident",,,,
Herman Ostrow School of Dentistry of USC,"Tuition, nonresident",,,,
Herman Ostrow School of Dentistry of USC,"Tuition, regional or international",,,,
Herman Ostrow School of Dentistry of USC,Fees,,,,
Herman Ostrow School of Dentistry of USC,"Instruments, books and supplies",,,,
Herman Ostrow School of Dentistry of USC,Estimated living expenses,,,,
Herman Ostrow School of Dentistry of USC,"Total, resident",,,,
