section,2017 Applicant and Entering-Class Data,,
order,94,,
table_name,dat_scores_first_time_first_year_enrollees,,
display_table_name,"DAT Scores: First-Year, First-Time Enrollees",,
table_has_categories,yes,,
filter_by,,,
filter_display_order,,,
content,,,
Dental School,Score Type,Mean,5th and 95th Percentiles
A.T. Still University Arizona School of Dentistry & Oral Health,Academic Average,19.3,17–22
A.T. Still University Arizona School of Dentistry & Oral Health,Perceptual Ability,19.7,16–25
A.T. Still University Arizona School of Dentistry & Oral Health,Total Science,19.4,17–23
A.T. Still University Missouri School of Dentistry & Oral Health,Academic Average,19.0,17–21
A.T. Still University Missouri School of Dentistry & Oral Health,Perceptual Ability,19.0,17–23
A.T. Still University Missouri School of Dentistry & Oral Health,Total Science,18.7,17–21
Boston University Henry M. Goldman School of Dental Medicine,Academic Average,20.3,18–23
Boston University Henry M. Goldman School of Dental Medicine,Perceptual Ability,19.8,16–23
Boston University Henry M. Goldman School of Dental Medicine,Total Science,19.9,17–23
Case Western Reserve University School of Dental Medicine,Academic Average,20.2,16–24
Case Western Reserve University School of Dental Medicine,Perceptual Ability,20.4,17–24
Case Western Reserve University School of Dental Medicine,Total Science,20.1,16–25
Columbia University College of Dental Medicine,Academic Average,23.3,21–26
Columbia University College of Dental Medicine,Perceptual Ability,21.5,17–24
Columbia University College of Dental Medicine,Total Science,23.3,20–27
Creighton University School of Dentistry,Academic Average,18.8,17–22
Creighton University School of Dentistry,Perceptual Ability,19.5,17–23
Creighton University School of Dentistry,Total Science,18.7,17–22
Dental College of Georgia at Augusta University,Academic Average,19.8,17–24
Dental College of Georgia at Augusta University,Perceptual Ability,20.3,17–23
Dental College of Georgia at Augusta University,Total Science,19.6,17–24
East Carolina University School of Dental Medicine,Academic Average,19.6,17–22
East Carolina University School of Dental Medicine,Perceptual Ability,19.0,15–23
East Carolina University School of Dental Medicine,Total Science,19.2,17–22
Harvard School of Dental Medicine,Academic Average,24.0,22–27
Harvard School of Dental Medicine,Perceptual Ability,22.4,20–26
Harvard School of Dental Medicine,Total Science,24.0,22–26
Herman Ostrow School of Dentistry of USC,Academic Average,20.6,17–24
Herman Ostrow School of Dentistry of USC,Perceptual Ability,20.4,17–24
Herman Ostrow School of Dentistry of USC,Total Science,20.6,17–25
Howard University College of Dentistry,Academic Average,17.9,16–21
Howard University College of Dentistry,Perceptual Ability,17.8,15–21
Howard University College of Dentistry,Total Science,18.2,15–21
Indiana University School of Dentistry,Academic Average,19.7,18–22
Indiana University School of Dentistry,Perceptual Ability,19.8,16–24
Indiana University School of Dentistry,Total Science,19.4,18–22
Lake Erie College of Osteopathic Medicine School of Dental Medicine,Academic Average,19.6,18–22
Lake Erie College of Osteopathic Medicine School of Dental Medicine,Perceptual Ability,19.4,16–23
Lake Erie College of Osteopathic Medicine School of Dental Medicine,Total Science,19.4,17–22
Loma Linda University School of Dentistry,Academic Average,20.3,18–22
Loma Linda University School of Dentistry,Perceptual Ability,20.2,18–24
Loma Linda University School of Dentistry,Total Science,20.3,18–23
Louisiana State University Health New Orleans School of Dentistry,Academic Average,20.4,19–23
Louisiana State University Health New Orleans School of Dentistry,Perceptual Ability,20.2,18–23
Louisiana State University Health New Orleans School of Dentistry,Total Science,19.9,18–23
Marquette University School of Dentistry,Academic Average,20.0,17–23
Marquette University School of Dentistry,Perceptual Ability,20.0,17–24
Marquette University School of Dentistry,Total Science,19.8,17–22
Medical University of South Carolina James B. Edwards College of Dental Medicine,Academic Average,20.2,17–23
Medical University of South Carolina James B. Edwards College of Dental Medicine,Perceptual Ability,20.7,18–25
Medical University of South Carolina James B. Edwards College of Dental Medicine,Total Science,19.7,17–22
Meharry Medical College School of Dentistry,Academic Average,18.4,17–21
Meharry Medical College School of Dentistry,Perceptual Ability,17.7,15–21
Meharry Medical College School of Dentistry,Total Science,18.2,16–21
Midwestern University College of Dental Medicine-Arizona,Academic Average,19.8,18–22
Midwestern University College of Dental Medicine-Arizona,Perceptual Ability,20.2,18–23
Midwestern University College of Dental Medicine-Arizona,Total Science,19.7,17–22
Midwestern University College of Dental Medicine-Illinois,Academic Average,19.3,18–22
Midwestern University College of Dental Medicine-Illinois,Perceptual Ability,19.6,17–22
Midwestern University College of Dental Medicine-Illinois,Total Science,19.0,17–22
New York University College of Dentistry,Academic Average,21.0,19–24
New York University College of Dentistry,Perceptual Ability,19.9,17–24
New York University College of Dentistry,Total Science,21.1,19–24
Nova Southeastern University College of Dental Medicine,Academic Average,20.5,18–24
Nova Southeastern University College of Dental Medicine,Perceptual Ability,19.4,16–23
Nova Southeastern University College of Dental Medicine,Total Science,21.1,18–24
Oregon Health & Science University School of Dentistry,Academic Average,20.5,18–24
Oregon Health & Science University School of Dentistry,Perceptual Ability,20.4,17–24
Oregon Health & Science University School of Dentistry,Total Science,20.6,17–24
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Academic Average,19.6,17–23
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Perceptual Ability,20.0,17–24
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Total Science,19.4,17–22
"Rutgers, The State University of New Jersey School of Dental Medicine",Academic Average,21.3,18–25
"Rutgers, The State University of New Jersey School of Dental Medicine",Perceptual Ability,20.3,16–24
"Rutgers, The State University of New Jersey School of Dental Medicine",Total Science,21.8,19–25
Southern Illinois University School of Dental Medicine,Academic Average,19.2,17–22
Southern Illinois University School of Dental Medicine,Perceptual Ability,19.0,16–22
Southern Illinois University School of Dental Medicine,Total Science,18.8,16–22
Stony Brook University School of Dental Medicine,Academic Average,21.6,20–24
Stony Brook University School of Dental Medicine,Perceptual Ability,20.6,17–24
Stony Brook University School of Dental Medicine,Total Science,22.1,19–25
Texas A&M University College of Dentistry,Academic Average,21.1,19–25
Texas A&M University College of Dentistry,Perceptual Ability,20.4,17–24
Texas A&M University College of Dentistry,Total Science,21.1,18–25
"The Maurice H. Kornberg School of Dentistry, Temple University",Academic Average,20.6,19–23
"The Maurice H. Kornberg School of Dentistry, Temple University",Perceptual Ability,20.5,18–25
"The Maurice H. Kornberg School of Dentistry, Temple University",Total Science,20.6,19–24
The Ohio State University College of Dentistry,Academic Average,20.3,18–23
The Ohio State University College of Dentistry,Perceptual Ability,20.7,18–24
The Ohio State University College of Dentistry,Total Science,20.1,17–24
The University of Iowa College of Dentistry & Dental Clinics,Academic Average,20.2,17–24
The University of Iowa College of Dentistry & Dental Clinics,Perceptual Ability,20.2,17–24
The University of Iowa College of Dentistry & Dental Clinics,Total Science,19.7,16–23
Touro College of Dental Medicine at New York Medical College,Academic Average,20.4,18–23
Touro College of Dental Medicine at New York Medical College,Perceptual Ability,20.0,16–24
Touro College of Dental Medicine at New York Medical College,Total Science,20.5,18–24
Tufts University School of Dental Medicine,Academic Average,19.8,17–23
Tufts University School of Dental Medicine,Perceptual Ability,19.6,15–24
Tufts University School of Dental Medicine,Total Science,19.7,16–24
University at Buffalo School of Dental Medicine,Academic Average,20.2,17–24
University at Buffalo School of Dental Medicine,Perceptual Ability,19.9,17–23
University at Buffalo School of Dental Medicine,Total Science,20.0,17–24
University of Alabama at Birmingham School of Dentistry,Academic Average,20.8,19–23
University of Alabama at Birmingham School of Dentistry,Perceptual Ability,20.4,17–23
University of Alabama at Birmingham School of Dentistry,Total Science,20.5,18–23
"University of California, Los Angeles, School of Dentistry",Academic Average,22.4,19–26
"University of California, Los Angeles, School of Dentistry",Perceptual Ability,21.7,18–26
"University of California, Los Angeles, School of Dentistry",Total Science,22.4,19–26
"University of California, San Francisco, School of Dentistry",Academic Average,21.3,18–25
"University of California, San Francisco, School of Dentistry",Perceptual Ability,21.2,18–26
"University of California, San Francisco, School of Dentistry",Total Science,21.2,18–26
University of Colorado School of Dental Medicine,Academic Average,19.4,17–22
University of Colorado School of Dental Medicine,Perceptual Ability,19.4,16–23
University of Colorado School of Dental Medicine,Total Science,19.4,17–23
University of Connecticut School of Dental Medicine,Academic Average,21.7,19–25
University of Connecticut School of Dental Medicine,Perceptual Ability,20.7,17–25
University of Connecticut School of Dental Medicine,Total Science,21.4,19–24
University of Detroit Mercy School of Dentistry,Academic Average,20.5,18–23
University of Detroit Mercy School of Dentistry,Perceptual Ability,19.9,16–24
University of Detroit Mercy School of Dentistry,Total Science,20.4,18–24
University of Florida College of Dentistry,Academic Average,21.0,18–24
University of Florida College of Dentistry,Perceptual Ability,20.3,16–24
University of Florida College of Dentistry,Total Science,20.8,19–24
University of Illinois at Chicago College of Dentistry,Academic Average,20.3,18–23
University of Illinois at Chicago College of Dentistry,Perceptual Ability,20.1,16–24
University of Illinois at Chicago College of Dentistry,Total Science,20.3,17–24
University of Kentucky College of Dentistry,Academic Average,19.3,17–22
University of Kentucky College of Dentistry,Perceptual Ability,19.4,16–22
University of Kentucky College of Dentistry,Total Science,19.0,17–22
University of Louisville School of Dentistry,Academic Average,19.9,18–23
University of Louisville School of Dentistry,Perceptual Ability,19.9,17–23
University of Louisville School of Dentistry,Total Science,19.9,18–23
University of Maryland School of Dentistry,Academic Average,20.7,19–24
University of Maryland School of Dentistry,Perceptual Ability,20.0,17–24
University of Maryland School of Dentistry,Total Science,20.6,18–24
University of Michigan School of Dentistry,Academic Average,21.4,19–24
University of Michigan School of Dentistry,Perceptual Ability,20.9,18–24
University of Michigan School of Dentistry,Total Science,21.0,18–24
University of Minnesota School of Dentistry,Academic Average,20.6,18–23
University of Minnesota School of Dentistry,Perceptual Ability,20.9,18–24
University of Minnesota School of Dentistry,Total Science,20.4,18–24
University of Mississippi Medical Center School of Dentistry,Academic Average,18.7,17–21
University of Mississippi Medical Center School of Dentistry,Perceptual Ability,19.0,15–22
University of Mississippi Medical Center School of Dentistry,Total Science,18.4,16–21
University of Missouri - Kansas City School of Dentistry,Academic Average,19.3,17–23
University of Missouri - Kansas City School of Dentistry,Perceptual Ability,19.2,15–23
University of Missouri - Kansas City School of Dentistry,Total Science,18.8,16–23
University of Nebraska Medical Center College of Dentistry,Academic Average,20.0,17–24
University of Nebraska Medical Center College of Dentistry,Perceptual Ability,20.2,18–23
University of Nebraska Medical Center College of Dentistry,Total Science,19.6,17–24
"University of Nevada, Las Vegas, School of Dental Medicine",Academic Average,20.1,17–23
"University of Nevada, Las Vegas, School of Dental Medicine",Perceptual Ability,20.2,17–24
"University of Nevada, Las Vegas, School of Dental Medicine",Total Science,19.9,17–23
University of New England College of Dental Medicine,Academic Average,18.4,17–20
University of New England College of Dental Medicine,Perceptual Ability,19.0,16–22
University of New England College of Dental Medicine,Total Science,18.0,16–21
University of North Carolina at Chapel Hill School of Dentistry,Academic Average,21.0,18–24
University of North Carolina at Chapel Hill School of Dentistry,Perceptual Ability,20.6,17–25
University of North Carolina at Chapel Hill School of Dentistry,Total Science,21.0,18–25
