section,Preparation,,,,,
order,59,,,,,
table_name,dental_shadowing_and_other_admission_factors,,,,,
display_table_name,Dental Shadowing and Other Admission Factors,,,,,
content,,,,,,
Dental School,,Required,Strongly Recommended,Recommended,Number of job shadowing hours required or recommended:,Other factors considered in admission:
"University of Alabama at Birmingham 
School of Dentistry",Dental Shadowing   ,x,,,100,"Community service experience is expected, along with a letter of recommendation from a community service supervisor."
"A.T. Still University
Arizona School of Dentistry & Oral Health",Dental Shadowing   ,,,x,100,"Community service experience is expected, along with a letter of recommendation from a community service supervisor."
"Midwestern University 
College of Dental Medicine-Arizona",Dental Shadowing   ,,,x,100,"Community service experience is expected, along with a letter of recommendation from a community service supervisor."
Herman Ostrow School of Dentistry of USC,Dental Shadowing   ,,,x,10–20,"Personal background and experience, post baccalaureate experience, letters of evaluation, research experience, advanced degrees or training and scope of academic background."
"Loma Linda University 
School of Dentistry",Dental Shadowing   ,x,,,50 required; 100 recommended.,NR
"University of California, Los Angeles, School of Dentistry",Dental Shadowing   ,,,x,NR,NR
"University of California, San Francisco,  School of Dentistry ",Dental Shadowing   ,,,x,NR,NR
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Dental Shadowing   ,x ,,,40,"Work/life experience, extracurricular activities, dental experience and leadership, among other factors"
Western University of Health Sciences College of Dental Medicine ,Dental Shadowing   ,x,,,"30
(dental-related work experience [paid or volunteer])",NR
University of Colorado School of Dental Medicine ,Dental Shadowing   ,x,,,"50
(minimum)",NR
University of Connecticut School of Dental Medicine ,Dental Shadowing   ,x,,,75,NR
Howard University College of Dentistry ,Dental Shadowing   ,x,,,"100
(Should be over a period of time)","Community service, number of hours spent shadowing, leadership qualities and interview"
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Dental Shadowing   ,x,,,100,"Community service, number
of hours spent job shadowing, leadership qualities and interview."
Nova Southeastern University College of Dental Medicine ,Dental Shadowing   ,,,x,NR,"The College of Dental
Medicine selects students based on pre-professional academic
performance, Dental Admission Test scores, a personal interview,
an application and letters of evaluation."
University of Florida College of Dentistry,Dental Shadowing   ,,x,,NR,"Teaching, research, leadership, military service, athletic participation,
employment, psychomotor skills, service commitment, self-directed
learning and knowledge of the dental profession."
Dental College of Georgia at Augusta University,Dental Shadowing   ,x,,,At least 200,"Leadership roles, community
service, home county and experience related to dentistry."
