section,Application and Selection,,,
order,74,,,
table_name,tuition_deposit_information,,,
display_table_name,,,,
table_has_categories,yes,,,
filter_by,,,,
filter_display_order,,,,
content,,,,
Dental School,Deposit Details,First Deposit,Second Deposit,Third Deposit
University of Alabama at Birmingham School of Dentistry,Required to hold place?,Yes,No,No
University of Alabama at Birmingham School of Dentistry,In-state resident amount?,$200 ,,
University of Alabama at Birmingham School of Dentistry,Out-of-state resident amount?,$200 ,,
University of Alabama at Birmingham School of Dentistry,International resident amount?,$200 ,,
University of Alabama at Birmingham School of Dentistry,Due date?,As indicated in admission offer.,,
University of Alabama at Birmingham School of Dentistry,Applied to tuition?,Yes,,
University of Alabama at Birmingham School of Dentistry,Refundable?,No,,
University of Alabama at Birmingham School of Dentistry,"If yes, refundable by what date?",NA,,
A.T. Still University Arizona School of Dentistry & Oral Health,Required to hold place?,Yes,Yes,No
A.T. Still University Arizona School of Dentistry & Oral Health,In-state resident amount?,"$1,000 ","$1,000 ",
A.T. Still University Arizona School of Dentistry & Oral Health,Out-of-state resident amount?,"$1,000 ","$1,000 ",
A.T. Still University Arizona School of Dentistry & Oral Health,International resident amount?,"$1,000 ","$1,000 ",
A.T. Still University Arizona School of Dentistry & Oral Health,Due date?,As indicated in admission offer.,05/01,
A.T. Still University Arizona School of Dentistry & Oral Health,Applied to tuition?,Yes,Yes,
A.T. Still University Arizona School of Dentistry & Oral Health,Refundable?,No,No,
A.T. Still University Arizona School of Dentistry & Oral Health,"If yes, refundable by what date?",NA,NA,
Midwestern University College of Dental Medicine-Arizona,Required to hold place?,Yes,No,No
Midwestern University College of Dental Medicine-Arizona,In-state resident amount?,"$1,000 ",,
Midwestern University College of Dental Medicine-Arizona,Out-of-state resident amount?,"$1,000 ",,
Midwestern University College of Dental Medicine-Arizona,International resident amount?,"$1,000 ",,
Midwestern University College of Dental Medicine-Arizona,Due date?,As indicated in admission offer.,,
Midwestern University College of Dental Medicine-Arizona,Applied to tuition?,Yes,,
Midwestern University College of Dental Medicine-Arizona,Refundable?,Partially,,
Midwestern University College of Dental Medicine-Arizona,"If yes, refundable by what date?",NR,,
Herman Ostrow School of Dentistry of USC,Required to hold place?,Yes,Yes,Yes
Herman Ostrow School of Dentistry of USC,In-state resident amount?,$500 ,"$1,000 ","$1,500 "
Herman Ostrow School of Dentistry of USC,Out-of-state resident amount?,$500 ,"$1,000 ","$1,500 "
Herman Ostrow School of Dentistry of USC,International resident amount?,$500 ,"$1,000 ","$1,500 "
Herman Ostrow School of Dentistry of USC,Due date?,As indicated in admission offer.,As indicated in admission offer.,As indicated in admission offer.
Herman Ostrow School of Dentistry of USC,Applied to tuition?,Yes,Yes,Yes
Herman Ostrow School of Dentistry of USC,Refundable?,No,No,Yes
Herman Ostrow School of Dentistry of USC,"If yes, refundable by what date?",NA,NA,1-Aug
Loma Linda University School of Dentistry,Required to hold place?,Yes,No,No
Loma Linda University School of Dentistry,In-state resident amount?,"$1,000 ","$1,000 ",
Loma Linda University School of Dentistry,Out-of-state resident amount?,"$1,000 ","$1,000 ",
Loma Linda University School of Dentistry,International resident amount?,"$,1000","$,1000",
Loma Linda University School of Dentistry,Due date?,As indicated in admission offer.,05/01,
Loma Linda University School of Dentistry,Applied to tuition?,Yes,Yes,
Loma Linda University School of Dentistry,Refundable?,No,No,
Loma Linda University School of Dentistry,"If yes, refundable by what date?",NA,NA,
"University of California, Los Angeles, School of Dentistry",Required to hold place?,Yes,No,No
"University of California, Los Angeles, School of Dentistry",In-state resident amount?,"$1,000 ",,
"University of California, Los Angeles, School of Dentistry",Out-of-state resident amount?,"$1,000 ",,
"University of California, Los Angeles, School of Dentistry",International resident amount?,"$1,000 ",,
"University of California, Los Angeles, School of Dentistry",Due date?,As indicated in admission offer.,,
"University of California, Los Angeles, School of Dentistry",Applied to tuition?,Yes,,
"University of California, Los Angeles, School of Dentistry",Refundable?,No,,
"University of California, Los Angeles, School of Dentistry","If yes, refundable by what date?",NA,,
"University of California, San Francisco,  School of Dentistry ",Required to hold place?,Yes,No,No
"University of California, San Francisco,  School of Dentistry ",In-state resident amount?,"$1,000",,
"University of California, San Francisco,  School of Dentistry ",Out-of-state resident amount?,"$1,000",,
"University of California, San Francisco,  School of Dentistry ",International resident amount?,"$1,000",,
"University of California, San Francisco,  School of Dentistry ",Due date?,As indicated in admission offer.,,
"University of California, San Francisco,  School of Dentistry ",Applied to tuition?,Yes,,
"University of California, San Francisco,  School of Dentistry ",Refundable?,No,,
"University of California, San Francisco,  School of Dentistry ","If yes, refundable by what date?",NA,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Required to hold place?,Yes,Yes,No
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",In-state resident amount?,"$1,000","$2,000",
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Out-of-state resident amount?,"$1,000","$2,000",
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",International resident amount?,"$1,000","$2,000",
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Due date?,As indicated in admission offer.,As indicated in admission offer.,`
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Applied to tuition?,Yes,Yes,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Refundable?,No,Yes,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","If yes, refundable by what date?",NA,NR,
Western University of Health Sciences College of Dental Medicine ,Required to hold place?,Yes,Yes,No
Western University of Health Sciences College of Dental Medicine ,In-state resident amount?,$500,"$1,000",
Western University of Health Sciences College of Dental Medicine ,Out-of-state resident amount?,$500,"$1,000",
Western University of Health Sciences College of Dental Medicine ,International resident amount?,$500,"$1,000",
Western University of Health Sciences College of Dental Medicine ,Due date?,As indicated in admission offer.,As indicated in admission offer.,
Western University of Health Sciences College of Dental Medicine ,Applied to tuition?,Yes,Yes,
Western University of Health Sciences College of Dental Medicine ,Refundable?,No,No,
Western University of Health Sciences College of Dental Medicine ,"If yes, refundable by what date?",NA,NA,
University of Colorado School of Dental Medicine ,Required to hold place?,Yes,No,No
University of Colorado School of Dental Medicine ,In-state resident amount?,"$1,500",,
University of Colorado School of Dental Medicine ,Out-of-state resident amount?,"$1,500",,
University of Colorado School of Dental Medicine ,International resident amount?,"$1,500",,
University of Colorado School of Dental Medicine ,Due date?,As indicated in admission offer.,,
University of Colorado School of Dental Medicine ,Applied to tuition?,Yes,,
University of Colorado School of Dental Medicine ,Refundable?,No,,
University of Colorado School of Dental Medicine ,"If yes, refundable by what date?",NA,,
University of Connecticut School of Dental Medicine ,Required to hold place?,Yes,Yes,No
University of Connecticut School of Dental Medicine ,In-state resident amount?,"$1,000",$500,
University of Connecticut School of Dental Medicine ,Out-of-state resident amount?,"$1,000",$500,
University of Connecticut School of Dental Medicine ,International resident amount?,"$1,000",$500,
University of Connecticut School of Dental Medicine ,Due date?,As indicated in admission offer.,As indicated in admission offer.,
University of Connecticut School of Dental Medicine ,Applied to tuition?,Yes,Yes,
University of Connecticut School of Dental Medicine ,Refundable?,No,No,
University of Connecticut School of Dental Medicine ,"If yes, refundable by what date?",NA,NA,
Howard University College of Dentistry ,Required to hold place?,Yes,No,No
Howard University College of Dentistry ,In-state resident amount?,"$1,000",,
Howard University College of Dentistry ,Out-of-state resident amount?,"$1,000",,
Howard University College of Dentistry ,International resident amount?,"$1,000",,
Howard University College of Dentistry ,Due date?,As indicated in admission offer.,,
Howard University College of Dentistry ,Applied to tuition?,Yes,,
Howard University College of Dentistry ,Refundable?,No,,
Howard University College of Dentistry ,"If yes, refundable by what date?",NA,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Required to hold place?,Yes,No,No
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,In-state resident amount?,"$2,000",,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Out-of-state resident amount?,"$2,000",,
