section,Application and Selection,,
order,73,,
table_name,application_fee_information,,
display_table_name,Fees and Deposits,,
content,,,
Dental School,Fee for application?,Fee waiver available?,Amount of fee for application?
University of Alabama at Birmingham School of Dentistry,"Yes, submitted only when requested.",No,"In-State: $75
Out-of-State: $75
International: $75"
A.T. Still University Arizona School of Dentistry & Oral Health,"Yes, submitted only when requested.",Yes,"In-State: $70
Out-of-State: $70
International: $70"
Midwestern University College of Dental Medicine-Arizona,"Yes, submitted only when requested.",Yes,"In-State: $50
Out-of-State: $50
International: $50"
Herman Ostrow School of Dentistry of USC,Yes,Yes,"In-State: $85
Out-of-State: $85
International: $85"
Loma Linda University School of Dentistry,"Yes, submitted only when requested.",Yes,"In-State: $150
Out-of-State: $150
International: $150"
"University of California, Los Angeles, School of Dentistry","Yes, submitted only when requested.",Yes; contact office for details.,"In-State: $60
Out-of-State: $60
International: $60"
"University of California, San Francisco,  School of Dentistry ","Yes, submitted only when requested.",Yes; information provided with supplemental applicatin.,"In-State: $80
Out-of-State: $80
International: $100"
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Yes, at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $75
Out-of-State: $75
International: $75"
Western University of Health Sciences College of Dental Medicine ,"Yes, electronically paid with online supplemental application.",Check school website for details.,"In-State: $60
Out-of-State: $60
International: $60"
University of Colorado School of Dental Medicine ,"Yes, submitted only when requested.",No,"In-State: $50
Out-of-State: $50
International: $50"
University of Connecticut School of Dental Medicine ,"Yes, at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",Yes,"In-State: $75
Out-of-State: $75
International: $75"
Howard University College of Dentistry ,"Yes, nonrefundable, submitted only when requested.",No,"In-State: $75
Out-of-State: $75
International: $200*
*Excludes International Dentist Program applicants."
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Yes,No,"In-State: $50
Out-of-State: $50
International: NA"
Nova Southeastern University College of Dental Medicine ,"Yes, submitted only when requested.",No,"In-State: $50
Out-of-State: $50
International: $50"
University of Florida College of Dentistry,"Yes, submitted only when requested.",Check school website for details.,"In-State: $30
Out-of-State: $30
International: NA"
Dental College of Georgia at Augusta University,Yes,No,"In-State: $30
Out-of-State: $30
International: NA"
Midwestern University College of Dental Medicine-Illinois ,"Yes, submitted only when requested.",No,"In-State: $50
Out-of-State: $50
International: $50"
Southern Illinois University School of Dental Medicine ,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $20
Out-of-State: $20
International: NA"
University of Illinois at Chicago College of Dentistry ,Yes,No,"In-State: $85
Out-of-State: $85
International: NA"
Indiana University School of Dentistry ,Yes,Yes,"In-State: $75
Out-of-State: $75
International: $80"
The University of Iowa College of Dentistry & Dental Clinics ,"Yes, submitted only when requested.",Yes,"In-State: $60
Out-of-State: $60
International: $100"
University of Kentucky College of Dentistry ,"Yes, submitted only when requested.",No,"In-State: $75
Out-of-State: $75
International: $75"
University of Louisville School of Dentistry ,"Yes, submitted only after email request is sent from ULSD.",No,"In-State: $65
Out-of-State: $65
International: $65"
Louisiana State University Health New Orleans School of Dentistry ,"Yes, submitted only when requested.",No,"In-State: $200
Out-of-State: $200
International: NA"
University of New England College of Dental Medicine ,Yes,No,"In-State: $55
Out-of-State: $55
International: $55"
University of Maryland School of Dentistry,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $90
Out-of-State: $90
International: $90"
Boston University Henry M. Goldman School of Dental Medicine,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",Yes,"In-State: $75
Out-of-State: $75
International: $75"
Harvard School of Dental Medicine,"Yes, submit to school when ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application is submitted.","Yes, if ADEA AADSAS fee has been waived; copy of ADEA AADSAS® waiver must be provided.","In-State: $75
Out-of-State: $75
International: $75"
Tufts University School of Dental Medicine,"Yes, submitted via credit card when requested.",No,"In-State: $75
Out-of-State: $75
International: $75"
University of Detroit Mercy School of Dentistry,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $125
Out-of-State: $125
International: $125"
University of Michigan School of Dentistry,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.","Yes, if candidate qualifies for ADEA Fee Assistance Program.","In-State: $75
Out-of-State: $75
International: $75"
University of Minnesota School of Dentistry,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",Yes; must submit proof of significant financial hardship.,"In-State: $85
Out-of-State: $85
International: $85"
University of Mississippi Medical Center School of dentistry,Yes,No,"In-State: $245
Out-of-State: NA
International: NA"
A.T. Still University Missouri School of Dentistry & Oral Health,"Yes, submitted only when requested.",Yes,"In-State: $70
Out-of-State: $70
International: NA"
"University of Missouri - Kansas City, School of Dentistry","Yes, submitted only when requested.",No,"In-State: $35
Out-of-State: $35
International: NA"
Creighton University School of Dentistry,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $60
Out-of-State: $60
International: $60"
University of Nebraska Medical Center College of Dentistry,Yes,No,"In-State: $60
Out-of-State: $60
International: $60"
"University of Nevada, Las Vegas, School of Dental Medicine","Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $75
Out-of-State: $75
International: $75"
"Rutgers, The State University of New Jersey, School of Dental Medicine","Yes, submitted at the request of the Admissions Office.",No,"In-State: $95
Out-of-State: $95
International: $250"
Columbia University College of Dental Medicine,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.","Yes, upon documentation by college of high financial need.","In-State: $75
Out-of-State: $75
International: $75"
New York University College of Dental Medicine,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",Yes,"In-State: $80
Out-of-State: $80
International: $80"
Stony Brook University School of Dental Medicine,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $100
Out-of-State: $100
International: $100"
Touro College of Dental Medicine at New York Medical College,Yes,Yes,"In-State: $100
Out-of-State: $100
International: $100"
University at Buffalo School of Dental Medicine,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",Yes,"In-State: $75
Out-of-State: $75
International: $75"
East Carolina University School of Dental Medicine,"Yes, nonrefundable.",No,"In-State: $80
Out-of-State: NA
International: NA"
University of North Carolina at Chapel Hill School of Dentistry,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $84
Out-of-State: $84
International: $84"
Case Western Reserve University School of Dental Medicine,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.","Yes, the applicant must provide a copy of an ADEA Fee Assistance Program approval letter or a DAT partial fee approval letter.","In-State: $60
Out-of-State: $60
International: $60"
The Ohio State University College of Dentistry,"Yes, submitted only when requested.",No,"In-State: $60
Out-of-State: $60
International: $70
Transfer: $80"
University of Oklahoma College of Dentistry,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $102
Out-of-State: $102
International: $102"
Oregon Health & Science University School of Dentistry,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",Check school website for details.,"In-State: $75
Out-of-State: $75
International: $75"
"The Maurice H. Kornberg School of Dentistry, Temple University","Yes, submitted only when requested.",No,"In-State: $50
Out-of-State: $50
International: $50"
University of Pennsylvania School of Dental Medicine,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $60
Out-of-State: $60
International: $60"
University of Pittsburgh School of Dental Medicine,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.","Yes, available if applicant has an ADEA AADSAS fee waiver.","Yes, available if
applicant has an
ADEA AADSAS
fee waiver"
University of Puerto Rico School of Dental Medicine,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $20
Out-of-State: $20
International: $25"
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Yes, submitted only when requested.",No,"In-State: $95
Out-of-State: $95
International: $95"
Meharry Medical College School of Dentistry,"Yes, submitted only when requested.",No,"In-State: $65
Out-of-State: $65
International: $65"
University of Tennessee Health Science Center College of Dentistry,"Yes, submitted only when requested.",No,"In-State: $0
Out-of-State: $0
International: NA"
Texas A&M University College of Dentistry,Yes,Check school website for details.,"In-State: $0
Out-of-State: $50
International: $50"
University of Texas Health Science Center at San Antonio School of Dentistry,"Yes, through TMDSAS.",No,"In-State: NR
Out-of-State: NR
International: NR"
University of Texas School of Dentistry at Houston,"Yes, submitted at time of application through TMDSAS.",No,"In-State: $150
Out-of-State: $150
International: NA"
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Yes; for more information, see roseman.edu.",Case by case basis with appropriate ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) documentation.,"In-State: NR
Out-of-State: NR
International: NR"
University of Utah School of Dentistry,"Yes, upon invitation.",No,"In-State: $75
Out-of-State: $75
International: NA"
Virginia Commonwealth University School of Dentistry,"Yes, submitted at same time as ADEA AADSAS® (ADEA Associated American Dental Schools Application Service) application.",No,"In-State: $85
Out-of-State: $85
International: $85"
University of Washington School of Dentistry,"Yes, submitted only when requested.",Yes,"In-State: $100
Out-of-State: $100
International: NA"
West Virginia University School of Dentistry,"Yes, submitted only when requested.",No,"In-State: $50
Out-of-State: $50
International: $50"
Marquette University School of Dentistry,Yes,"Yes, on a case-by-case basis.","In-State: $45
Out-of-State: $45
International: $45"
University of Alberta School of Dentistry ,"Yes, submitted only when requested.",No,"In-province: $115
Out-of-province: $115
International: $115
(Fees are in Canadian dollars.)"
University of British Columbia Faculty of Dentistry ,Yes,No,"In-province: $208
Out-of-province: $208
International: NR
Phase 2 Fee: $180
(Fees are in Canadian dollars.)"
University of Manitoba College of Dentistry ,Yes,No,"In-province: $90
Out-of-province: $90
International: NA
(Fees are in Canadian dollars.)"
Dalhousie University Faculty of Dentistry ,"Yes, submitted only when requested.",No,"In-province: $70
Out-of-province: $70
International: $70
(Fees are in Canadian dollars.)"
University of Toronto Faculty of Dentistry ,Yes,No,"In-province: $250
Out-of-province: $250
International: $250
(Fees are in Canadian dollars.)"
Western University Schulich School of Medicine & Dentistry ,"Yes, submitted only when requested.",No,"In-state/province: $275
Out-of-state: $275
International: $275
(Fees are in Canadian dollars.)"
McGill University Faculty of Dentistry ,Yes,No,"In-province: $104.67
Out-of-province: $104.67
International: $104.67
(Fees are in Canadian dollars.)"
Université Laval Faculté de Médecine Dentaire ,"Yes, submitted only when requested.",No,"In-province: $78.50
Out-of-province: $78.50
International: NA
(Fees are in Canadian dollars.)"
Université de Montréal Faculté de Médecine Dentaire,"Yes, submitted only when requested.",No,"In-province: $94
Out-of-province: $94
International: NA
(Fees are in Canadian dollars.)"
University of Saskatchewan College of Dentistry,"Yes, submitted only when requested.",No,"In-province: $170
Out-of-province: $170
International: NA
(Fees are in Canadian dollars.)"
