section,Preparation,,
order,51,,
table_name,formal_minimum_preparation,,
display_table_name,,,
table_has_categories,yes,,
filter_by,,,
filter_display_order,,,
content,,,
Dental School,,In Semester Hours,In Quarter Hours
University of Alabama at Birmingham School of Dentistry,Formal minimum preparation:,90,120
A.T. Still University Arizona School of Dentistry & Oral Health,Formal minimum preparation:,90,135
Midwestern University College of Dental Medicine-Arizona,Formal minimum preparation:,90,120
Herman Ostrow School of Dentistry of USC,Formal minimum preparation:,60,90
Loma Linda University School of Dentistry,Formal minimum preparation:,96,144
"University of California, Los Angeles, School of Dentistry",Formal minimum preparation:,90,135
"University of California, San Francisco,  School of Dentistry ",Formal minimum preparation:,93,139
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Formal minimum preparation:,90,135
Western University of Health Sciences College of Dental Medicine ,Formal minimum preparation:,90,135
University of Colorado School of Dental Medicine ,Formal minimum preparation:,90,135
University of Connecticut School of Dental Medicine ,Formal minimum preparation:,90,180
Howard University College of Dentistry ,Formal minimum preparation:,80,120
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Formal minimum preparation:,80,120
Nova Southeastern University College of Dental Medicine ,Formal minimum preparation:,90,NR
University of Florida College of Dentistry,Formal minimum preparation:,90,120
Dental College of Georgia at Augusta University,Formal minimum preparation:,90,120
Midwestern University College of Dental Medicine-Illinois ,Formal minimum preparation:,120,180
Southern Illinois University School of Dental Medicine ,Formal minimum preparation:,90,120
University of Illinois at Chicago College of Dentistry ,Formal minimum preparation:,NA,NA
Indiana University School of Dentistry ,Formal minimum preparation:,90,135
The University of Iowa College of Dentistry & Dental Clinics ,Formal minimum preparation:,90,NR
University of Kentucky College of Dentistry ,Formal minimum preparation:,120,NR
University of Louisville School of Dentistry ,Formal minimum preparation:,90,120
Louisiana State University Health New Orleans School of Dentistry ,Formal minimum preparation:,90,NA
University of New England College of Dental Medicine ,Formal minimum preparation:,90,135
University of Maryland School of Dentistry,Formal minimum preparation:,90,135
Boston University Henry M. Goldman School of Dental Medicine,Formal minimum preparation:,120,200
Harvard School of Dental Medicine,Formal minimum preparation:,50,NR
Tufts University School of Dental Medicine,Formal minimum preparation:,37,56
University of Detroit Mercy School of Dentistry,Formal minimum preparation:,60,90
University of Michigan School of dentistry,Formal minimum preparation:,90,135
University of Minnesota School of Dentistry,Formal minimum preparation:,87,130
University of Mississippi Medical Center School of dentistry,Formal minimum preparation:,90,120
A.T. Still University Missouri School of Dentistry & Oral Health,Formal minimum preparation:,90,135
"University of Missouri - Kansas City, School of Dentistry",Formal minimum preparation:,120,180
Creighton University School of Dentistry,Formal minimum preparation:,64,96
University of Nebraska Medical Center College of Dentistry,Formal minimum preparation:,90,120
"University of Nevada, Las Vegas, School of Dental Medicine",Formal minimum preparation:,90,120
"Rutgers, The State University of New Jersey, School of Dental Medicine",Formal minimum preparation:,90,NR
Columbia University College of Dental Medicine,Formal minimum preparation:,90,120
New York University College of Dentistry,Formal minimum preparation:,90,120
Stony Brook University School of Dental Medicine,Formal minimum preparation:,NR,NR
Touro College of Dental Medicine at New York Medical College,Formal minimum preparation:,90,135
University at Buffalo School of Dental Medicine,Formal minimum preparation:,90,120
East Carolina University School of Dental Medicine,Formal minimum preparation:,NA,NA
University of North Carolina at Chapel Hill School of Dentistry,Formal minimum preparation:,96,144
Case Western Reserve University School of Dental Medicine,Formal minimum preparation:,60,90
The Ohio State University College of Dentistry,Formal minimum preparation:,90,120
University of Oklahoma College of Dentistry,Formal minimum preparation:,90,135
Oregon Health & Science University School of Dentistry,Formal minimum preparation:,90,120
"The Maurice H. Kornberg School of Dentistry, Temple University",Formal minimum preparation:,90,120
University of Pennsylvania School of Dental Medicine,Formal minimum preparation:,NR,NR
University of Pittsburgh School of Dental Medicine,Formal minimum preparation:,90,NR
University of Puerto Rico School of Dental Medicine,Formal minimum preparation:,90,120
Medical University of South Carolina James B. Edwards College of Dental Medicine,Formal minimum preparation:,120,180
Meharry Medical College School of Dentistry,Formal minimum preparation:,96,144
University of Tennessee Health Science Center College of Dentistry,Formal minimum preparation:,98,150
Texas A&M University College of Dentistry,Formal minimum preparation:,90,120
University of Texas Health Science Center at San Antonio School of Dentistry,Formal minimum preparation:,90,120
University of Texas School of Dentistry at Houston,Formal minimum preparation:,90,134
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Formal minimum preparation:,60,90
University of Utah School of Dentistry,Formal minimum preparation:,90,120
Virginia Commonwealth University School of Dentistry,Formal minimum preparation:,90,120
University of Washington School of Dentistry,Formal minimum preparation:,120,180
West Virginia University School of Dentistry,Formal minimum preparation:,90,NR
Marquette University School of Dentistry,Formal minimum preparation:,90,120
University of Alberta School of Dentistry ,Formal minimum preparation:,60,90
University of British Columbia Faculty of Dentistry ,Formal minimum preparation:,90,NR
University of Manitoba College of Dentistry ,Formal minimum preparation:,60,90
Dalhousie University Faculty of Dentistry ,Formal minimum preparation:,10,0
University of Toronto Faculty of Dentistry ,Formal minimum preparation:,6,10
Western University Schulich School of Medicine & Dentistry ,Formal minimum preparation:,8,NR
McGill University Faculty of Dentistry ,Formal minimum preparation:,8,8
Université Laval Faculté de Médecine Dentaire ,Formal minimum preparation:,4,NR
Université de Montréal Faculté de Médecine Dentaire,Formal minimum preparation:,Candidates must have completed CEGEP (college degree) or equivalent.,
University of Saskatchewan College of Dentistry,Formal minimum preparation:,90,NR
