section,2016 Applicant and Entering-Class Data,,
order,95,,
table_name,grade_point_average_first_year_first_time_enrollees,,
display_table_name,"Grade Point Average (GPA): First-Year, First-Time Enrollees",,
table_has_categories,yes,,
filter_by,,,
filter_display_order,,,
content,,,
Dental School,GPA,"Mean
Combined Graduate and Undergraduate","5th and 95th Percentiles
Combined Graduate and Undergraduate "
A.T. Still University Arizona School of Dentistry & Oral Health,Science,3.28,2.75–4.05
A.T. Still University Arizona School of Dentistry & Oral Health,Total,3.42,2.92–4.07
A.T. Still University Missouri School of Dentistry & Oral Health,Science,3.37,3.02–3.87
A.T. Still University Missouri School of Dentistry & Oral Health,Total,3.49,3.14–3.90
Boston UniversityHenry M. Goldman School of Dental Medicine,Science,3.30,2.64–3.89
Boston UniversityHenry M. Goldman School of Dental Medicine,Total,3.41,2.83–3.88
Case Western Reserve University School of Dental Medicine,Science,3.53,2.69–4.00
Case Western Reserve University School of Dental Medicine,Total,3.62,2.85–4.00
Columbia University College of Dental Medicine,Science,3.55,2.98–4.00
Columbia University College of Dental Medicine,Total,3.62,3.14–4.00
Creighton University School of Dentistry,Science,3.44,3.02–3.99
Creighton University School of Dentistry,Total,3.56,3.32–3.99
Dalhousie University Faculty of Dentistry,Science,3.70,NR
Dalhousie University Faculty of Dentistry,Total,3.70,NR
Dental College of Georgia at Augusta University,Science,3.47,2.81–3.97
Dental College of Georgia at Augusta University,Total,3.57,2.98–3.96
East Carolina University School of Dental Medicine,Science,3.31,2.56–3.99
East Carolina University School of Dental Medicine,Total,3.43,2.76–3.96
Harvard School of Dental Medicine,Science,3.85,3.62–4.16
Harvard School of Dental Medicine,Total,3.85,3.62–4.14
Herman Ostrow School of Dentistry of USC,Science,3.40,2.71–3.95
Herman Ostrow School of Dentistry of USC,Total,3.49,2.96–3.93
Howard University College of Dentistry,Science,2.94,2.22–3.53
Howard University College of Dentistry,Total,3.12,2.52–3.67
Indiana University School of Dentistry,Science,3.45,2.96–4.00
Indiana University School of Dentistry,Total,3.54,3.00–4.01
Lake Erie College of Osteopathic Medicine School of Dental Medicine,Science,3.27,2.77–3.90
Lake Erie College of Osteopathic Medicine School of Dental Medicine,Total,3.38,2.91–3.93
Loma Linda University School of Dentistry,Science,3.34,2.86–3.88
Loma Linda University School of Dentistry,Total,3.45,3.02–3.91
Louisiana State University Health New Orleans School of Dentistry,Science,3.59,2.91–4.00
Louisiana State University Health New Orleans School of Dentistry,Total,3.66,3.09–4.00
Marquette University School of Dentistry,Science,3.56,2.70–4.00
Marquette University School of Dentistry,Total,3.64,3.01–3.98
McGill University Faculty of Dentistry,Science,NR,NR
McGill University Faculty of Dentistry,Total,3.82,NR
Medical University of South Carolina James B. Edwards College of Dental Medicine,Science,3.53,2.80–4.00
Medical University of South Carolina James B. Edwards College of Dental Medicine,Total,3.60,3.01–4.00
Meharry Medical College School of Dentistry,Science,3.08,2.50–3.78
Meharry Medical College School of Dentistry,Total,3.22,2.70–3.83
Midwestern University College of Dental Medicine-Arizona,Science,3.43,2.77–4.00
Midwestern University College of Dental Medicine-Arizona,Total,3.51,2.89–4.00
Midwestern University College of Dental Medicine-Illinois,Science,3.33,2.92–3.83
Midwestern University College of Dental Medicine-Illinois,Total,3.45,3.06–3.83
New York University College of Dentistry,Science,3.38,2.86–3.97
New York University College of Dentistry,Total,3.49,3.02–3.96
Nova Southeastern University College of Dental Medicine,Science,3.44,2.68–3.98
Nova Southeastern University College of Dental Medicine,Total,3.51,2.87–3.98
Oregon Health & Science University School of Dentistry,Science,3.56,3.15–3.97
Oregon Health & Science University School of Dentistry,Total,3.63,3.29–3.95
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Science,3.17,2.46–3.91
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Total,3.32,2.78–3.94
"Rutgers, The State University of New Jersey School of Dental Medicine",Science,3.48,2.62–4.00
"Rutgers, The State University of New Jersey School of Dental Medicine",Total,3.55,2.77–4.00
Southern Illinois University School of Dental Medicine,Science,3.48,3.08–3.99
Southern Illinois University School of Dental Medicine,Total,3.58,3.15–3.99
Stony Brook University School of Dental Medicine,Science,3.52,2.91–3.97
Stony Brook University School of Dental Medicine,Total,3.59,2.85–3.98
Texas A&M University College of Dentistry,Science,3.56,2.83–4.00
Texas A&M University College of Dentistry,Total,3.64,3.06–3.99
The Maurice H. Kornberg School of Dentistry Temple University,Science,3.42,2.85–3.96
The Maurice H. Kornberg School of Dentistry Temple University,Total,3.51,2.96–3.93
The Ohio State University College of Dentistry,Science,3.53,3.13–4.00
The Ohio State University College of Dentistry,Total,3.62,3.28–4.00
The University of Iowa College of Dentistry & Dental Clinics,Science,3.68,3.22–4.00
The University of Iowa College of Dentistry & Dental Clinics,Total,3.74,3.43–3.99
Touro College of Dental Medicine at New York Medical College,Science,3.36,2.84–3.84
Touro College of Dental Medicine at New York Medical College,Total,3.45,3.03–3.84
Tufts University School of Dental Medicine,Science,3.19,2.39–3.84
Tufts University School of Dental Medicine,Total,3.33,2.64–3.84
Université de Montréal Faculté de Médecine Dentaire,Science,NR,NR
Université de Montréal Faculté de Médecine Dentaire,Total,NR,NR
Université Laval Faculté de Médecine Dentaire,Science,NR,NR
Université Laval Faculté de Médecine Dentaire,Total,NR,NR
University at Buffalo School of Dental Medicine,Science,3.53,2.90–3.98
University at Buffalo School of Dental Medicine,Total,3.61,3.08–3.97
University of Alabama at Birmingham School of Dentistry,Science,3.72,3.22–4.00
University of Alabama at Birmingham School of Dentistry,Total,3.77,3.34–4.00
University of Alberta School of Dentistry,Science,NR,NR
University of Alberta School of Dentistry,Total,3.85,NR
University of British Columbia Faculty of Dentistry,Science,NR,NR
University of British Columbia Faculty of Dentistry,Total,86.05,NR
"University of California, Los Angeles, School of Dentistry",Science,3.73,3.18–4.06
"University of California, Los Angeles, School of Dentistry",Total,3.75,3.26–4.02
"University of California, San Francisco, School of Dentistry",Science,3.49,2.77–4.02
"University of California, San Francisco, School of Dentistry",Total,3.57,2.91–4.01
