section,International Dental Graduate (IDG) Programs,,
order,125,,
table_name,international_dental_graduate_programs,,
display_table_name,,,
table_has_categories,yes,,
filter_by,,,
filter_display_order,,,
content,,,
Dental School,Program Type,Yes,No
University of Alabama at Birmingham School of Dentistry,Traditional predoctoral program open to IDGs?,,x
University of Alabama at Birmingham School of Dentistry,Advanced standing program offered for IDGs?,x,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Traditional predoctoral program open to IDGs?,x,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Advanced standing program offered for IDGs?,,x
Midwestern University College of Dental Medicine-Arizona,Traditional predoctoral program open to IDGs?,x,
Midwestern University College of Dental Medicine-Arizona,Advanced standing program offered for IDGs?,,x
Herman Ostrow School of Dentistry of USC,Traditional predoctoral program open to IDGs?,,x
Herman Ostrow School of Dentistry of USC,Advanced standing program offered for IDGs?,x,
Loma Linda University School of Dentistry,Traditional predoctoral program open to IDGs?,,x
Loma Linda University School of Dentistry,Advanced standing program offered for IDGs?,x,
"University of California, Los Angeles, School of Dentistry",Traditional predoctoral program open to IDGs?,,x
"University of California, Los Angeles, School of Dentistry",Advanced standing program offered for IDGs?,x,
"University of California, San Francisco,  School of Dentistry ",Traditional predoctoral program open to IDGs?,,x
"University of California, San Francisco,  School of Dentistry ",Advanced standing program offered for IDGs?,x,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Traditional predoctoral program open to IDGs?,x,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Advanced standing program offered for IDGs?,x,
Western University of Health Sciences College of Dental Medicine ,Traditional predoctoral program open to IDGs?,,x
Western University of Health Sciences College of Dental Medicine ,Advanced standing program offered for IDGs?,,x
University of Colorado School of Dental Medicine ,Traditional predoctoral program open to IDGs?,,x
University of Colorado School of Dental Medicine ,Advanced standing program offered for IDGs?,x,
University of Connecticut School of Dental Medicine ,Traditional predoctoral program open to IDGs?,,x
University of Connecticut School of Dental Medicine ,Advanced standing program offered for IDGs?,,x
Howard University College of Dentistry ,Traditional predoctoral program open to IDGs?,x,
Howard University College of Dentistry ,Advanced standing program offered for IDGs?,x,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Traditional predoctoral program open to IDGs?,x,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Advanced standing program offered for IDGs?,,x
Nova Southeastern University College of Dental Medicine ,Traditional predoctoral program open to IDGs?,x,
Nova Southeastern University College of Dental Medicine ,Advanced standing program offered for IDGs?,x,
University of Florida College of Dentistry,Traditional predoctoral program open to IDGs?,x,
University of Florida College of Dentistry,Advanced standing program offered for IDGs?,,x
Dental College of Georgia at Augusta University,Traditional predoctoral program open to IDGs?,,x
Dental College of Georgia at Augusta University,Advanced standing program offered for IDGs?,,x
Midwestern University College of Dental Medicine-Illinois ,Traditional predoctoral program open to IDGs?,x,
Midwestern University College of Dental Medicine-Illinois ,Advanced standing program offered for IDGs?,,x
Southern Illinois University School of Dental Medicine ,Traditional predoctoral program open to IDGs?,,x
Southern Illinois University School of Dental Medicine ,Advanced standing program offered for IDGs?,x,
University of Illinois at Chicago College of Dentistry ,Traditional predoctoral program open to IDGs?,,x
University of Illinois at Chicago College of Dentistry ,Advanced standing program offered for IDGs?,x,
Indiana University School of Dentistry ,Traditional predoctoral program open to IDGs?,x,
Indiana University School of Dentistry ,Advanced standing program offered for IDGs?,x,
The University of Iowa College of Dentistry & Dental Clinics ,Traditional predoctoral program open to IDGs?,x,
The University of Iowa College of Dentistry & Dental Clinics ,Advanced standing program offered for IDGs?,x,
University of Kentucky College of Dentistry ,Traditional predoctoral program open to IDGs?,x,
University of Kentucky College of Dentistry ,Advanced standing program offered for IDGs?,,x
University of Louisville School of Dentistry ,Traditional predoctoral program open to IDGs?,x,
University of Louisville School of Dentistry ,Advanced standing program offered for IDGs?,,x
Louisiana State University Health New Orleans School of Dentistry ,Traditional predoctoral program open to IDGs?,,x
Louisiana State University Health New Orleans School of Dentistry ,Advanced standing program offered for IDGs?,,x
University of New England College of Dental Medicine ,Traditional predoctoral program open to IDGs?,x,
University of New England College of Dental Medicine ,Advanced standing program offered for IDGs?,,x
University of Maryland School of Dentistry,Traditional predoctoral program open to IDGs?,x,
University of Maryland School of Dentistry,Advanced standing program offered for IDGs?,x,
Boston University Henry M. Goldman School of Dental Medicine,Traditional predoctoral program open to IDGs?,,x
Boston University  Henry M. Goldman School of Dental Medicine,Advanced standing program offered for IDGs?,x,
Harvard School of Dental Medicine,Traditional predoctoral program open to IDGs?,x,
Harvard School of Dental Medicine,Advanced standing program offered for IDGs?,,x
Tufts University School of Dental Medicine,Traditional predoctoral program open to IDGs?,,x
Tufts University School of Dental Medicine,Advanced standing program offered for IDGs?,x,
University of Detroit Mercy School of Dentistry,Traditional predoctoral program open to IDGs?,x,
University of Detroit Mercy School of Dentistry,Advanced standing program offered for IDGs?,x,
University of Michigan School of dentistry,Traditional predoctoral program open to IDGs?,x,
University of Michigan School of dentistry,Advanced standing program offered for IDGs?,x,
University of Minnesota School of Dentistry,Traditional predoctoral program open to IDGs?,x,
University of Minnesota School of Dentistry,Advanced standing program offered for IDGs?,x,
University of Mississippi Medical Center School of dentistry,Traditional predoctoral program open to IDGs?,,x
University of Mississippi Medical Center School of dentistry,Advanced standing program offered for IDGs?,,x
A.T. Still University Missouri School of Dentistry & Oral Health,Traditional predoctoral program open to IDGs?,,x
A.T. Still University Missouri School of Dentistry & Oral Health,Advanced standing program offered for IDGs?,,x
"University of Missouri - Kansas City, School of Dentistry",Traditional predoctoral program open to IDGs?,x,
"University of Missouri - Kansas City, School of Dentistry",Advanced standing program offered for IDGs?,,x
Creighton University School of Dentistry,Traditional predoctoral program open to IDGs?,,x
Creighton University School of Dentistry,Advanced standing program offered for IDGs?,x,
University of Nebraska Medical Center College of Dentistry,Traditional predoctoral program open to IDGs?,x,
University of Nebraska Medical Center College of Dentistry,Advanced standing program offered for IDGs?,x,
"University of Nevada, Las Vegas, School of Dental Medicine",Traditional predoctoral program open to IDGs?,x,
"University of Nevada, Las Vegas, School of Dental Medicine",Advanced standing program offered for IDGs?,,x
"Rutgers, The State University of New Jersey School of Dental Medicine",Traditional predoctoral program open to IDGs?,,x
"Rutgers, The State University of New Jersey School of Dental Medicine",Advanced standing program offered for IDGs?,x,
Columbia University College of Dental Medicine,Traditional predoctoral program open to IDGs?,,x
Columbia University College of Dental Medicine,Advanced standing program offered for IDGs?,,x
New York University College of Dentistry,Traditional predoctoral program open to IDGs?,x,
New York University College of Dentistry,Advanced standing program offered for IDGs?,x,
Stony Brook University School of Dental Medicine,Traditional predoctoral program open to IDGs?,x,
Stony Brook University School of Dental Medicine,Advanced standing program offered for IDGs?,,x
Touro College of Dental Medicine at New York Medical College,Traditional predoctoral program open to IDGs?,x,
Touro College of Dental Medicine at New York Medical College,Advanced standing program offered for IDGs?,,x
University at Buffalo School of Dental Medicine,Traditional predoctoral program open to IDGs?,x,
University at Buffalo School of Dental Medicine,Advanced standing program offered for IDGs?,x,
East Carolina University School of Dental Medicine,Traditional predoctoral program open to IDGs?,x,
East Carolina University School of Dental Medicine,Advanced standing program offered for IDGs?,,x
University of North Carolina at Chapel Hill School of Dentistry,Traditional predoctoral program open to IDGs?,x,
University of North Carolina at Chapel Hill School of Dentistry,Advanced standing program offered for IDGs?,,x
Case Western Reserve University School of Dental Medicine,Traditional predoctoral program open to IDGs?,x,
Case Western Reserve University School of Dental Medicine,Advanced standing program offered for IDGs?,x,
The Ohio State University College of Dentistry,Traditional predoctoral program open to IDGs?,x,
The Ohio State University College of Dentistry,Advanced standing program offered for IDGs?,,x
University of Oklahoma College of Dentistry,Traditional predoctoral program open to IDGs?,x,
University of Oklahoma College of Dentistry,Advanced standing program offered for IDGs?,x,
Oregon Health & Science University School of Dentistry,Traditional predoctoral program open to IDGs?,,x
Oregon Health & Science University School of Dentistry,Advanced standing program offered for IDGs?,,x
The Maurice H. Kornberg School of Dentistry Temple University,Traditional predoctoral program open to IDGs?,x,
The Maurice H. Kornberg School of Dentistry Temple University,Advanced standing program offered for IDGs?,x,
University of Pennsylvania School of Dental Medicine,Traditional predoctoral program open to IDGs?,x,
University of Pennsylvania School of Dental Medicine,Advanced standing program offered for IDGs?,x,
University of Pittsburgh School of Dental Medicine,Traditional predoctoral program open to IDGs?,x,
University of Pittsburgh School of Dental Medicine,Advanced standing program offered for IDGs?,x,
University of Puerto Rico School of Dental Medicine,Traditional predoctoral program open to IDGs?,,x
University of Puerto Rico School of Dental Medicine,Advanced standing program offered for IDGs?,x,
Medical University of South Carolina James B. Edwards College of Dental Medicine,Traditional predoctoral program open to IDGs?,x,
Medical University of South Carolina James B. Edwards College of Dental Medicine,Advanced standing program offered for IDGs?,,x
Meharry Medical College School of Dentistry,Traditional predoctoral program open to IDGs?,,x
Meharry Medical College School of Dentistry,Advanced standing program offered for IDGs?,,x
University of Tennessee Health Science Center College of Dentistry,Traditional predoctoral program open to IDGs?,x,
University of Tennessee Health Science Center College of Dentistry,Advanced standing program offered for IDGs?,"x
(see Additional Information)",
Texas A&M University College of Dentistry,Traditional predoctoral program open to IDGs?,,x
Texas A&M University College of Dentistry,Advanced standing program offered for IDGs?,,x
University of Texas Health Science Center at San Antonio School of Dentistry,Traditional predoctoral program open to IDGs?,,x
University of Texas Health Science Center at San Antonio School of Dentistry,Advanced standing program offered for IDGs?,x,
University of Texas School of Dentistry at Houston,Traditional predoctoral program open to IDGs?,,x
University of Texas School of Dentistry at Houston,Advanced standing program offered for IDGs?,x,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Traditional predoctoral program open to IDGs?,x,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Advanced standing program offered for IDGs?,,x
University of Utah School of Dentistry,Traditional predoctoral program open to IDGs?,,x
University of Utah School of Dentistry,Advanced standing program offered for IDGs?,,x
Virginia Commonwealth University School of Dentistry,Traditional predoctoral program open to IDGs?,,x
Virginia Commonwealth University School of Dentistry,Advanced standing program offered for IDGs?,x,
University of Washington School of Dentistry,Traditional predoctoral program open to IDGs?,,x
University of Washington School of Dentistry,Advanced standing program offered for IDGs?,x,
West Virginia University School of Dentistry,Traditional predoctoral program open to IDGs?,x,
West Virginia University School of Dentistry,Advanced standing program offered for IDGs?,,x
Marquette University School of Dentistry,Traditional predoctoral program open to IDGs?,,x
Marquette University School of Dentistry,Advanced standing program offered for IDGs?,x,
University of Alberta School of Dentistry ,Traditional predoctoral program open to IDGs?,x,
University of Alberta School of Dentistry ,Advanced standing program offered for IDGs?,x,
University of British Columbia Faculty of Dentistry ,Traditional predoctoral program open to IDGs?,,x
University of British Columbia Faculty of Dentistry ,Advanced standing program offered for IDGs?,,x
University of Manitoba College of Dentistry ,Traditional predoctoral program open to IDGs?,,x
University of Manitoba College of Dentistry ,Advanced standing program offered for IDGs?,x,
Dalhousie University Faculty of Dentistry ,Traditional predoctoral program open to IDGs?,x,
Dalhousie University Faculty of Dentistry ,Advanced standing program offered for IDGs?,x,
University of Toronto Faculty of Dentistry ,Traditional predoctoral program open to IDGs?,x,
University of Toronto Faculty of Dentistry ,Advanced standing program offered for IDGs?,x,
Western University Schulich School of Medicine & Dentistry ,Traditional predoctoral program open to IDGs?,,x
Western University Schulich School of Medicine & Dentistry ,Advanced standing program offered for IDGs?,x,
McGill University Faculty of Dentistry ,Traditional predoctoral program open to IDGs?,x,
McGill University Faculty of Dentistry ,Advanced standing program offered for IDGs?,x,
Université Laval Faculté de Médecine Dentaire ,Traditional predoctoral program open to IDGs?,,x
Université Laval Faculté de Médecine Dentaire ,Advanced standing program offered for IDGs?,,x
Université de Montréal Faculté de Médecine Dentaire,Traditional predoctoral program open to IDGs?,,"x
(see Additional Information)"
Université de Montréal Faculté de Médecine Dentaire,Advanced standing program offered for IDGs?,,"x
(see Additional Information)"
University of Saskatchewan College of Dentistry,Traditional predoctoral program open to IDGs?,x,
University of Saskatchewan College of Dentistry,Advanced standing program offered for IDGs?,,x
