section,Application and Selection,,,
order,76,,,
table_name,interview,,,
display_table_name,Application Process,,,
table_has_categories,yes,,,
filter_by,,,,
content,,,,
Dental School,Interview,Yes,No,Additional Information
University of Alabama at Birmingham School of Dentistry,Mandatory,x,,
University of Alabama at Birmingham School of Dentistry,By invitation,x,,
A.T. Still University Arizona School of Dentistry & Oral Health,Mandatory,x,,
A.T. Still University Arizona School of Dentistry & Oral Health,By invitation,x,,
Midwestern University College of Dental Medicine-Arizona,Mandatory,x,,
Midwestern University College of Dental Medicine-Arizona,By invitation,x,,
Herman Ostrow School of Dentistry of USC,Mandatory,x,,
Herman Ostrow School of Dentistry of USC,By invitation,x,,
Loma Linda University School of Dentistry,Mandatory,x,,
Loma Linda University School of Dentistry,By invitation,x,,
"University of California, Los Angeles, School of Dentistry",Mandatory,x,,
"University of California, Los Angeles, School of Dentistry",By invitation,x,,
"University of California, San Francisco,  School of Dentistry ",Mandatory,x,,
"University of California, San Francisco,  School of Dentistry ",By invitation,x,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Mandatory,x,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",By invitation,x,,
Western University of Health Sciences College of Dental Medicine ,Mandatory,x,,
Western University of Health Sciences College of Dental Medicine ,By invitation,x,,
University of Colorado School of Dental Medicine ,Mandatory,x,,
University of Colorado School of Dental Medicine ,By invitation,x,,
University of Connecticut School of Dental Medicine ,Mandatory,x,,
University of Connecticut School of Dental Medicine ,By invitation,x,,
Howard University College of Dentistry ,Mandatory,x,,
Howard University College of Dentistry ,By invitation,x,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Mandatory,x,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,By invitation,x,,
Nova Southeastern University College of Dental Medicine ,Mandatory,x,,
Nova Southeastern University College of Dental Medicine ,By invitation,x,,
University of Florida College of Dentistry,Mandatory,x,,
University of Florida College of Dentistry,By invitation,x,,
Dental College of Georgia at Augusta University,Mandatory,x,,
Dental College of Georgia at Augusta University,By invitation,x,,
Midwestern University College of Dental Medicine-Illinois ,Mandatory,x,,
Midwestern University College of Dental Medicine-Illinois ,By invitation,x,,
Southern Illinois University School of Dental Medicine ,Mandatory,x,,
Southern Illinois University School of Dental Medicine ,By invitation,x,,
University of Illinois at Chicago College of Dentistry ,Mandatory,x,,
University of Illinois at Chicago College of Dentistry ,By invitation,x,,
Indiana University School of Dentistry ,Mandatory,x,,
Indiana University School of Dentistry ,By invitation,x,,
The University of Iowa College of Dentistry & Dental Clinics ,Mandatory,x,,
The University of Iowa College of Dentistry & Dental Clinics ,By invitation,x,,
University of Kentucky College of Dentistry ,Mandatory,x,,
University of Kentucky College of Dentistry ,By invitation,x,,
University of Louisville School of Dentistry ,Mandatory,x,,
University of Louisville School of Dentistry ,By invitation,x,,
Louisiana State University Health New Orleans School of Dentistry ,Mandatory,x,,
Louisiana State University Health New Orleans School of Dentistry ,By invitation,x,,
University of New England College of Dental Medicine ,Mandatory,x,,
University of New England College of Dental Medicine ,By invitation,x,,
University of Maryland School of Dentistry,Mandatory,x,,
University of Maryland School of Dentistry,By invitation,x,,
Boston University Henry M. Goldman School of Dental Medicine,Mandatory,x,,
Boston University Henry M. Goldman School of Dental Medicine,By invitation,x,,
Harvard School of Dental Medicine,Mandatory,x,,
Harvard School of Dental Medicine,By invitation,x,,
Tufts University School of Dental Medicine,Mandatory,x,,
Tufts University School of Dental Medicine,By invitation,x,,
University of Detroit Mercy School of Dentistry,Mandatory,x,,
University of Detroit Mercy School of Dentistry,By invitation,x,,
University of Michigan School of Dentistry,Mandatory,x,,
University of Michigan School of Dentistry,By invitation,x,,
University of Minnesota School of Dentistry,Mandatory,x,,
University of Minnesota School of Dentistry,By invitation,x,,
University of Mississippi Medical Center School of dentistry,Mandatory,x,,
University of Mississippi Medical Center School of dentistry,By invitation,x,,
A.T. Still University Missouri School of Dentistry & Oral Health,Mandatory,x,,
A.T. Still University Missouri School of Dentistry & Oral Health,By invitation,x,,
"University of Missouri - Kansas City, School of Dentistry",Mandatory,x,,
"University of Missouri - Kansas City, School of Dentistry",By invitation,x,,
Creighton University School of Dentistry,Mandatory,,x,
Creighton University School of Dentistry,By invitation,x,,
University of Nebraska Medical Center College of Dentistry,Mandatory,x,,
University of Nebraska Medical Center College of Dentistry,By invitation,x,,
"University of Nevada, Las Vegas, School of Dental Medicine",Mandatory,x,,
"University of Nevada, Las Vegas, School of Dental Medicine",By invitation,x,,
"Rutgers, The State University of New Jersey, School of Dental Medicine",Mandatory,x,,
"Rutgers, The State University of New Jersey, School of Dental Medicine",By invitation,x,,
Columbia University College of Dental Medicine,Mandatory,x,,
Columbia University College of Dental Medicine,By invitation,x,,
