<<<<<<< HEAD
﻿section,2016 Applicant and Entering-Class Data,
order,93,
table_name,out_of_state_international_residence,
display_table_name,,
table_has_categories,yes,
filter_by,,
filter_display_order,,
content,,
Dental School,Place of Residence,"Origin of Out-of-State or Out-of-Province and International
First-Time, First-Year Enrollees"
A.T. Still University Arizona School of Dentistry & Oral Health,Out-of-state,"AK-1, CA-25, DE-1, FL-2, GA-1, HI-1, IL-2, MI-2, MN-2, MO-1, NC-1, ND-1, NJ-2, NM-2, NY-1, OK-1, OR-1, PA-2, SC-1, TX-1, UT-1, VA-1, WA-2, WI-1"
A.T. Still University Arizona School of Dentistry & Oral Health,International (noncitizens who are not permanent residents),NA
A.T. Still University Missouri School of Dentistry & Oral Health,Out-of-state,"AL-1, AZ-2, CA-6, FL-1, IL-1, IN-1, KS-5, LA-1, MN-1, OK-2, OR-1, TN-2, TX-2, UT-2, WA-1, WI-1"
A.T. Still University Missouri School of Dentistry & Oral Health,International (noncitizens who are not permanent residents),NA
Boston UniversityHenry M. Goldman School of Dental Medicine,Out-of-state,"CA-6, CO-2, CT-2, FL-9, GA-2, ID-1, KS-1, MD-1, MI-1, MO-1, NC-2, NH-2, NJ-8, NY-17, OH-2, PA-5, RI-5, VA-2, VT-1"
Boston UniversityHenry M. Goldman School of Dental Medicine,International (noncitizens who are not permanent residents),"Canada-9, China-1, France-1, Haiti-1, India-2, Romania-1, Venezuela-1"
Case Western Reserve University School of Dental Medicine,Out-of-state,"AZ-1, CA-3, FL-9, GA-3, GU-1, HI-1, ID-1, IL-3, MI-4, MN-1, MO-1, NJ-2, NY-6, PA-1, TN-1, TX-1, UT-1, VA-2, WA-2, WI-1, State Not Reported-1"
Case Western Reserve University School of Dental Medicine,International (noncitizens who are not permanent residents),"Canada-4, China-1, Iran-1, South Korea-3, Thailand-1"
Columbia University College of Dental Medicine,Out-of-state,"AR-1, CA-5, CO-2, CT-1, FL-7, ID-1, IL-2, KY-1, MA-4, MD-3, MI-1, NC-1, NE-1, NJ-15, OH-1, PA-4, RI-1, SC-1, TN-1, VA-3"
Columbia University College of Dental Medicine,International (noncitizens who are not permanent residents),"Canada-1, Vietnam-1"
Creighton University School of Dentistry,Out-of-state,"AK-1, AR-1, AZ-1, CA-2, CO-2, CT-1, FL-1, HI-6, IA-2, ID-8, IL-2, KS-3, LA-1, MN-10, ND-1, NM-5, NY-1, SD-8, UT-5, VA-1, WA-2, WI-1, WY-4"
Creighton University School of Dentistry,International (noncitizens who are not permanent residents),"India-1, Taiwan-1"
Dalhousie University Faculty of Dentistry,Out-of-province,NA
Dalhousie University Faculty of Dentistry,International (noncitizens who are not permanent residents),"Bermuda, Kuwait, Saudi Arabia, United States"
Dental College of Georgia at Augusta University,Out-of-state,"AL-1, AR-1, FL-1, NC-1, NJ-1, NY-1, TN-1"
Dental College of Georgia at Augusta University,International (noncitizens who are not permanent residents),NA
East Carolina University School of Dental Medicine,Out-of-state,NA
East Carolina University School of Dental Medicine,International (noncitizens who are not permanent residents),NA
Harvard School of Dental Medicine,Out-of-state,"CA-4, FL-3, GA-3, IL-1, MD-2, ME-1, MI-1, ND-1, NJ-2, NY-5, OH-2, OR-1, PA-1, TX-1, VA-1, WA-1, WI-1"
Harvard School of Dental Medicine,International (noncitizens who are not permanent residents),China-1
Herman Ostrow School of Dentistry of USC,Out-of-state,"CO-1, FL-1, HI-2, IL-1, KS-1, LA-1, MD-3, MI-2, MO-2, NV-3, SC-1, TX-1, VA-2, WI-1, State Not Reported-2"
Herman Ostrow School of Dentistry of USC,International (noncitizens who are not permanent residents),"Canada-2, South Korea-4, Vietnam-1"
Howard University College of Dentistry,Out-of-state,"AL-2, AZ-1, FL-6, GA-4, IN-1, MD-15, MI-1, NC-3, NJ-4, NY-5, PA-3, TN-1, TX-6, VA-13, State Not Reported-1"
Howard University College of Dentistry,International (noncitizens who are not permanent residents),Jamaica-2
