section,Application and Selection,,
order,71,,
table_name,timeline_to_respond_offer_of_acceptance,,
display_table_name,Maximum time in days for applicant's response to offer of acceptance?,,
table_has_categories,no,,
filter_by,,,
filter_display_order,,,
content,,,
Dental School,If Offer Received On or After December 1,If Offer Received On or After February 1,Additional Information
University of Alabama at Birmingham School of Dentistry,30 days,15 days,
A.T. Still University Arizona School of Dentistry & Oral Health,30 days,15 days,
Midwestern University College of Dental Medicine-Arizona,30 days,15 days,
Herman Ostrow School of Dentistry of USC,30 days,15 days,
Loma Linda University School of Dentistry,30 days,15 days,
"University of California, Los Angeles, School of Dentistry",30 days,15 days,
"University of California, San Francisco,  School of Dentistry ",30 days,15 days,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",30 days,15 days,
Western University of Health Sciences College of Dental Medicine ,30 days,15 days,Response time lifted if received on or after May 1.
University of Colorado School of Dental Medicine ,30 days,15 days,
University of Connecticut School of Dental Medicine ,30 days,15 days,
Howard University College of Dentistry ,30 days,15 days,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,30 days,15 days,
Nova Southeastern University College of Dental Medicine ,30 days,15 days,
University of Florida College of Dentistry,30 days,15 days,
Dental College of Georgia at Augusta University,NA,NA,Maximum time is 30 days.
Midwestern University College of Dental Medicine-Illinois ,30 days,15 days,
Southern Illinois University School of Dental Medicine ,30 days,15 days,
University of Illinois at Chicago College of Dentistry ,30 days,15 days,
Indiana University School of Dentistry ,30 days,15 days,
The University of Iowa College of Dentistry & Dental Clinics ,30 days,15 days,
University of Kentucky College of Dentistry ,30 days,15 days,
University of Louisville School of Dentistry ,30 days,15 days,
Louisiana State University Health New Orleans School of Dentistry ,30 days,15 days,
University of New England College of Dental Medicine ,30 days,NA,
University of Maryland School of Dentistry,30 days,15 days,
Boston University Henry M. Goldman School of Dental Medicine,30 days,15 days,
Harvard School of Dental Medicine,30 days,15 days,Response period may be lifted if received on or after April 15.
Tufts University School of Dental Medicine,30 days,15 days,
University of Detroit Mercy School of Dentistry,30 days,14 days,7 days if received on or after March 1; 3 days if received on after July 1
University of Michigan School of Dentistry,30 days,15 days,
University of Minnesota School of Dentistry,NA,NA,Varies.
University of Mississippi Medical Center School of dentistry,NA,NA,30 days from receipt of offer letter.
A.T. Still University Missouri School of Dentistry & Oral Health,30 days,15 days,48 hours if received after May 1.
"University of Missouri - Kansas City, School of Dentistry",30 days,15 days,
Creighton University School of Dentistry,30 days,15 days,
University of Nebraska Medical Center College of Dentistry,30 days,15 days,
"University of Nevada, Las Vegas, School of Dental Medicine",30 days,15 days,
"Rutgers, The State University of New Jersey, School of Dental Medicine",30 days,15 days,21 days if received on or after January 1.
Columbia University College of Dental Medicine,30 days,15 days,
New York University College of Dentistry,30 days,15 days,
Stony Brook University School of Dental Medicine,30 days,15 days,"After May 15, applicants may be asked for an immediate response."
Touro College of Dental Medicine at New York Medical College,NA,NA,Maximum time is 30 days.
University at Buffalo School of Dental Medicine,30 days,15 days,
East Carolina University School of Dental Medicine,30 days,15 days,
University of North Carolina at Chapel Hill School of Dentistry,30 days,15 days,30 days after first selection meeing; 15 days after second selection meeting
Case Western Reserve University School of Dental Medicine,30 days,15 days,
The Ohio State University College of Dentistry,30 days,NA,15 days if accepted on or after January 1.
University of Oklahoma College of Dentistry,30 days,15 days,
Oregon Health & Science University School of Dentistry,30 days,15 days,5 days if received on or after May 15.
"The Maurice H. Kornberg School of Dentistry, Temple University",30 days,15 days,
University of Pennsylvania School of Dental Medicine,45 days,15 days,
University of Pittsburgh School of Dental Medicine,30 days,NA,15 days if received on or after January 1.
University of Puerto Rico School of Dental Medicine,30 days,15 days,
Medical University of South Carolina James B. Edwards College of Dental Medicine,30 days,15 days,
Meharry Medical College School of Dentistry,30 days,15 days,
University of Tennessee Health Science Center College of Dentistry,30 days,NA,15 days if received on or after January 1; 7 days if received on or after February 1.
Texas A&M University College of Dentistry,30 days,15 days,
University of Texas Health Science Center at San Antonio School of Dentistry,30 days,NA,15 days if received on or after January 1.
University of Texas School of Dentistry at Houston,30 days,15 days,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",30 days,15 days,
University of Utah School of Dentistry,30 days,NA,15 days if received on or after January 1.
Virginia Commonwealth University School of Dentistry,30 days,15 days,
University of Washington School of Dentistry,30 days,15 days,
West Virginia University School of Dentistry,30 days,15 days,
Marquette University School of Dentistry,30 days,15 days,
University of Alberta School of Dentistry ,NA,NA,Maximum time is 14 days.
University of British Columbia Faculty of Dentistry ,NA,NA,Maximum time is 15 days.
University of Manitoba College of Dentistry ,NA,NA,Maximum time is 5 days.
Dalhousie University Faculty of Dentistry ,NA,NA,Maximum time is 10 days.
University of Toronto Faculty of Dentistry ,NA,NA,Maximum time is 14 days.
Western University Schulich School of Medicine & Dentistry ,,,Maximum time is 10 business days after offer is made.
McGill University Faculty of Dentistry ,,,Maximum time is 10 days.
Université Laval Faculté de Médecine Dentaire ,,,Maximum time is 10 working days.
Université de Montréal Faculté de Médecine Dentaire,,,Maximum time is 15 working days.
University of Saskatchewan College of Dentistry,,,Maximum time is 10 working days.
