section,Preparation,,
order,61,,
table_name,timetable_for_taking_the_dat,,
display_table_name,Timetable for Taking the DAT,,
content,,,
Dental School,For class:,Most recent DAT for consideration of application:,Oldest DAT for consideration of application:
University of Alabama at Birmingham School of Dentistry,Entering fall 2018,12/01/17,12/01/15
A.T. Still University Arizona School of Dentistry & Oral Health,Entering fall 2018,12/01/17,01/01/14
Midwestern University College of Dental Medicine-Arizona,Entering fall 2018,NA,01/01/15
Herman Ostrow School of Dentistry of USC,Entering fall 2018,02/01/18,01/01/15
Loma Linda University School of Dentistry,Entering fall 2018,08/01/18,08/15/16
"University of California, Los Angeles, School of Dentistry",Entering fall 2018,02/01/18,01/01/15
"University of California, San Francisco,  School of Dentistry ",Entering fall 2018,10/15/17,06/01/15
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Entering fall 2018,02/01/18,06/01/16
Western University of Health Sciences College of Dental Medicine ,Entering fall 2018,10/15/17,01/01/14
University of Colorado School of Dental Medicine ,Entering fall 2018,12/31/17,12/31/14
University of Connecticut School of Dental Medicine ,Entering fall 2018,10/01/17,06/01/14
Howard University College of Dentistry ,Entering fall 2018,02/15/16,02/15/14
Lake Erie College of Osteopathic Medicine School of Dental Medicine,Entering fall 2018,02/11/18,Three years
Nova Southeastern University College of Dental Medicine ,Entering fall 2018,12/30/17,12/30/14
University of Florida College of Dentistry,Entering fall 2018,NR,Varies
Dental College of Georgia at Augusta University,Entering fall 2018,09/30/17,06/01/14
Midwestern University College of Dental Medicine-Illinois ,Entering fall 2018,NA,01/01/15
Southern Illinois University School of Dental Medicine ,Entering fall 2018,04/01/17,08/01/15
University of Illinois at Chicago College of Dentistry ,Entering fall 2018,12/01/16,01/01/15
Indiana University School of Dentistry ,Entering fall 2018,Fall 2017 submission deadline,Three years prior to application submission date
The University of Iowa College of Dentistry & Dental Clinics ,Entering fall 2018,08/01/16,08/01/13
University of Kentucky College of Dentistry ,Entering fall 2018,12/01/17,06/01/14
University of Louisville School of Dentistry ,Entering fall 2018,02/01/18,06/01/15
Louisiana State University Health New Orleans School of Dentistry ,Entering fall 2018,09/01/17,09/01/14
University of New England College of Dental Medicine ,Entering fall 2018,10/01/17,NA
University of Maryland School of Dentistry,Entering fall 2018,12/01/17,12/31/15
Boston University Henry M. Goldman School of Dental Medicine,Entering fall 2018,12/01/17,06/01/15
Harvard School of Dental Medicine,Entering fall 2018,12/01/17,06/01/16
Tufts University School of Dental Medicine,Entering fall 2018,01/30/18,06/01/16
University of Detroit Mercy School of Dentistry,Entering fall 2018,12/31/16,02/01/15
University of Michigan School of Dentistry,Entering fall 2018,07/31/17,06/01/15
University of Minnesota School of Dentistry,Entering fall 2018,12/01/17,06/01/14
University of Mississippi Medical Center School of dentistry,Entering fall 2018,10/31/17,10/31/14
A.T. Still University Missouri School of Dentistry & Oral Health,Entering fall 2018,12/01/17,01/01/14
"University of Missouri - Kansas City, School of Dentistry",Entering fall 2018,10/01/17,10/01/14
Creighton University School of Dentistry,Entering fall 2018,02/28/18,02/28/13
University of Nebraska Medical Center College of Dentistry,Entering fall 2018,11/15/17,08/01/12
"University of Nevada, Las Vegas, School of Dental Medicine",Entering fall 2018,02/01/18,01/01/14
"Rutgers, The State University of New Jersey, School of Dental Medicine",Entering fall 2018,11/01/17,01/01/15
Columbia University College of Dental Medicine,Entering fall 2018,12/01/17,01/01/15
New York University College of Dental Medicine,Entering fall 2018,02/01/18,02/01/15
Stony Brook University School of Dental Medicine,Entering fall 2018,After 06/01/2014,After 06/01/2014
Touro College of Dental Medicine at New York Medical College,Entering fall 2018,01/31/18,01/01/15
University at Buffalo School of Dental Medicine,Entering fall 2018,12/01/17,01/01/15
East Carolina University School of Dental Medicine,Entering fall 2018,12/01/17,06/01/15
University of North Carolina at Chapel Hill School of Dentistry,Entering fall 2018,11/01/17,11/01/15
Case Western Reserve University School of Dental Medicine,Entering fall 2018,01/31/18,01/01/15
The Ohio State University College of Dentistry,Entering fall 2018,NA,Two years prior to submitting application 
University of Oklahoma College of Dentistry,Entering fall 2018,10/01/17,06/01/13
Oregon Health & Science University School of Dentistry,Entering fall 2018,NR,NR
"The Maurice H. Kornberg School of Dentistry, Temple University",Entering fall 2018,01/15/18,06/01/15
University of Pennsylvania School of Dental Medicine,Entering fall 2018,12/01/17,01/01/15
University of Pittsburgh School of Dental Medicine,Entering fall 2018,09/30/17,09/30/14
University of Puerto Rico School of Dental Medicine,Entering fall 2018,NR,NR
Medical University of South Carolina James B. Edwards College of Dental Medicine,Entering fall 2018,12/01/17,12/01/13
Meharry Medical College School of Dentistry,Entering fall 2018,12/15/17,01/15/15
University of Tennessee Health Science Center College of Dentistry,Entering fall 2018,09/30/16,01/01/13
Texas A&M University College of Dentistry,Entering fall 2018,12/01/17,01/01/13
University of Texas Health Science Center at San Antonio School of Dentistry,Entering fall 2018,12/01/17,12/01/12
University of Texas School of Dentistry at Houston,Entering fall 2018,12/01/17,12/01/13
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Entering fall 2018,Within three years of the date of application.,Within three years of the date of application.
University of Utah School of Dentistry,Entering fall 2018,09/01/17,09/01/14
Virginia Commonwealth University School of Dentistry,Entering fall 2018,12/01/17,12/01/14
University of Washington School of Dentistry,Entering fall 2018,09/30/17,NA
West Virginia University School of Dentistry,Entering fall 2018,11/01/17,11/01/12
Marquette University School of Dentistry,Entering fall 2018,01/01/18,01/01/15
University of Alberta School of Dentistry ,Entering fall 2018,11/01/17,11/01/12
