section,Application and Selection,Application and Selection,Application and Selection
order,77,78,79
field,in_state_applicants_preference,reciprocity_admissions_agreement_availability,in_state_first_year_enrollment_percentage
type,string,string,decimal
content,,,
Dental School,"In addition to in-state applicants, preference given to applicants from these states:",Reciprocity Admissions Agreement available to legal residents of these state(s)?,"Generally and over time, percentage of first-year enrollment that is in-state: "
University of Alabama at Birmingham School of Dentistry,None,Arkansas,80%
A.T. Still University Arizona School of Dentistry & Oral Health,NA,NA,25%
Midwestern University College of Dental Medicine-Arizona,NA,NA,80%
Herman Ostrow School of Dentistry of USC,NA,NA,60%
Loma Linda University School of Dentistry,NA,NA,50%
"University of California, Los Angeles, School of Dentistry","AK, AR, HI, MT, NM, ND, WY",None,85%
,,,
