section,Preparation,Preparation,Preparation
order,56,57,58
field,limits_on_community_college_credit_hours,maximim_number_of_community_college_credit_hours,comments_regarding_community_college_coursework
type,string,string,text
content,,,
Dental School,Limits on community college credit hours?,Maximum number of community college credit hours?,"Comments regarding
community college coursework
or AP credits?"
,,,
"University of Alabama at Birmingham 
School of Dentistry",Yes,60,Applicants are strongly encouraged to take prerequisite courses for which they have earned AP/International Baccalaureate (IB) or other credit at the university level.
"A.T. Still University
Arizona School of Dentistry & Oral Health",No,NA,"No longer allowing prerequisite credits
for AP or College Level Examination Program."
"Midwestern University 
College of Dental Medicine-Arizona",No,NA,We accept AP credit.
Herman Ostrow School of Dentistry of USC,Yes,60,Credit must have been accepted by undergraduate college and included on transcript.
"Loma Linda University 
School of Dentistry",Yes,64,Must provide official Advanced Placement transcript and receive determination from LLUSD.
"University of California, Los Angeles, School of Dentistry",Yes,70,Maximum AP credit of 3 semester/4 quarter hours toward prerequisites.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
