section,International Dental Graduate (IDG) Programs
order,121
field,international_dental_program_description
type,string
content,
Dental School,Advanced standing program description
University of Alabama at Birmingham School of Dentistry,Program awarding a dental degree.
"A.T. Still University, Arizona School of Dentistry & Oral Health",NA
"Midwestern University 
College of Dental Medicine-Arizona",NA
Herman Ostrow School of Dentistry of USC,Special two-year program is offered. Applications received through ADEA CAAPID®.
Loma Linda University School of Dentistry,Program awarding a dental degree.
"University of California, Los Angeles, School of Dentistry",Program awarding a dental degree.
