section,2016 Applicant and Entering-Class Data
order,90
field,mean_age_of_first_time_first_year_enrollees
type,integer
content,
Dental School,"Mean Age of First-Time, First-Year Enrollees"
University of Alabama at Birmingham School of Dentistry,23
"A.T. Still University, Arizona School of Dentistry & Oral Health",25
"Midwestern University 
College of Dental Medicine-Arizona",26
Herman Ostrow School of Dentistry of USC,24
"Loma Linda University 
School of Dentistry",25
"University of California, Los Angeles, School of Dentistry",24
