section,International Dental Graduate (IDG) Programs
order,130
field,predental_programs_offered
type,text
content,
Dental School,Prdental Programs Offered
University of Alabama at Birmingham School of Dentistry,"• Summer enrichment programs
• Summer Health Professions Education Program"
"A.T. Still University, Arizona School of Dentistry & Oral Health",• Summer enrichment programs
"Midwestern University 
College of Dental Medicine-Arizona","• Pastbaccalaureate program in the College of Health Sciences
• Predental simulation courses"
Herman Ostrow School of Dentistry of USC,"• Dental Explorers Program (two-week experience for predental and high school students)
• Summer enrichment programs
For more information, visit dentistry.usc.edu/community-programs/initiatives"
"Loma Linda University 
School of Dentistry","• Summer enrichment programs
• Careers in Dentistry
• Minorities in Dentistry"
"University of California, Los Angeles, School of Dentistry","• Summer Health Professions Education Program
• Postbaccalaureate programs"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
