section,Application and Selection,,,
order,70,,,
table_name,application_and_acceptance_timetable,,,
display_table_name,Timetables,,,
content,,,,
Dental School,For class:,Earliest application filing date?,Latest application filing date?,Earliest date for acceptance offers:
University of Alabama at Birmingham School of Dentistry,Entering fall 2018,06/01/17,10/31/17,12/01/17
A.T. Still University Arizona School of Dentistry & Oral Health,Entering fall 2018,06/01/17,11/15/17,12/01/17
Midwestern University  College of Dental Medicine-Arizona,Entering fall 2018,06/01/17,12/31/17,12/01/17
Herman Ostrow School of Dentistry of USC,Entering fall 2018,06/01/17,02/01/18,12/01/17
Loma Linda University School of Dentistry,Entering fall 2018,06/01/17,12/01/17,12/01/17
"University of California, Los Angeles, School of Dentistry",Entering fall 2018,06/01/17,01/01/18,12/01/17
