section,Application and Selection,,,
order,75,,,
table_name,application_process,,,
display_table_name,Application Process,,,
content,,,,
Dental School,,Yes,No,Additional Information
University of Alabama at Birmingham School of Dentistry,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
University of Alabama at Birmingham School of Dentistry,Accepts direct applicants?,,x,
University of Alabama at Birmingham School of Dentistry,Requires a secondary or supplemental application?,x,,
University of Alabama at Birmingham School of Dentistry,Has a secondary or supplemental application website?,,x,
A.T. Still University Arizona School of Dentistry & Oral Health,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
A.T. Still University Arizona School of Dentistry & Oral Health,Accepts direct applicants?,,x,
A.T. Still University Arizona School of Dentistry & Oral Health,Requires a secondary or supplemental application?,x,,
A.T. Still University Arizona School of Dentistry & Oral Health,Has a secondary or supplemental application website?,,x,Invitation will be sent by email.
Midwestern University College of Dental Medicine-Arizona,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Midwestern University College of Dental Medicine-Arizona,Accepts direct applicants?,,x,
Midwestern University College of Dental Medicine-Arizona,Requires a secondary or supplemental application?,x,,
Midwestern University College of Dental Medicine-Arizona,Has a secondary or supplemental application website?,x,,Sent from admissions office if qualified.
Herman Ostrow School of Dentistry of USC,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Herman Ostrow School of Dentistry of USC,Accepts direct applicants?,,x,
Herman Ostrow School of Dentistry of USC,Requires a secondary or supplemental application?,,x,
Herman Ostrow School of Dentistry of USC,Has a secondary or supplemental application website?,,x,
Loma Linda University School of Dentistry,Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
Loma Linda University School of Dentistry,Accepts direct applicants?,,x,
Loma Linda University School of Dentistry,Requires a secondary or supplemental application?,x,,
Loma Linda University School of Dentistry,Has a secondary or supplemental application website?,,x,Information is emailed to applicant.
"University of California, Los Angeles, School of Dentistry",Participates in ADEA AADSAS® (ADEA Associated American Dental Schools Application Service)?,x,,
"University of California, Los Angeles, School of Dentistry",Accepts direct applicants?,,x,
"University of California, Los Angeles, School of Dentistry",Requires a secondary or supplemental application?,x,,
"University of California, Los Angeles, School of Dentistry",Has a secondary or supplemental application website?,x,,dentistry.ucla.edu
