section,Preparation,,,
order,50,,,
table_name,baccalaureate,,,
display_table_name,,,,
content,,,,
Dental School,,Preferred,Strongly Preferred,Required
"University of Alabama at Birmingham 
School of Dentistry",Baccalaureate is:,x,,
A.T. Still University Arizona School of Dentistry & Oral Health,Baccalaureate is:,x,,
"Midwestern University 
College of Dental Medicine-Arizona",Baccalaureate is:,x,,
Herman Ostrow School of Dentistry of USC,Baccalaureate is:,x,,
"Loma Linda University 
School of Dentistry",Baccalaureate is:,x,,
"University of California, Los Angeles, School of Dentistry",Baccalaureate is:,x,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
