section,Curriculum,,,,,
order,47,,,,,
table_name,combined_degree_programs_offered,,,,,
display_table_name,Combined Degree Programs Offered,,,,,
content,,,,,,
Dental School,Ph.D.,M.B.A,M.P.H.,M.S.,B.A./B.S.,Other Degree(s)
University of Alabama at Birmingham School of Dentistry,x,x,x,–,–,
"A.T. Still University, Arizona School of Dentistry & Oral Health",–,–,x,–,–,
"Midwestern University 
College of Dental Medicine-Arizona",–,–,–,–,–,
Herman Ostrow School of Dentistry of USC,x,–,–,x,x,
"Loma Linda University 
School of Dentistry",x,–,x,x,x,
"University of California, Los Angeles, School of Dentistry",x,x,x,–,–,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
