section,Preparation,,,
order,55,,,
table_name,community_college_coursework_and_advanced_placement_credit,,,
display_table_name,Community College Coursework and Advanced Placement (AP) Credit,,,
content,,,,
Dental School,Prerequisites: AP Credit Accepted,Prerequisites: Community College Coursework Accepted,Electives: AP Credit Accepted,Electives: Community College Coursework Accepted
"University of Alabama at Birmingham 
School of Dentistry",x,x,x,x
"A.T. Still University
Arizona School of Dentistry & Oral Health",,x,x,x
"Midwestern University 
College of Dental Medicine-Arizona",x,x,x,x
Herman Ostrow School of Dentistry of USC,x,"x
(very limited number)",x,x
"Loma Linda University 
School of Dentistry","x
(English only)","x
(discouraged)",x,"x
(discouraged)"
"University of California, Los Angeles, School of Dentistry",x,x,,x
