section,Costs and Financial Aid,,,,
order,100,,,,
table_name,costs_based_on_2016_17_school_year,,,,
display_table_name,Costs Based on 2016–17 Sschool Year,,,,
content,,,,,
Dental School,Type of Cost,First Year,Second Year,Third Year,Fourth Year
University of Alabama at Birmingham School of Dentistry,"Tuition, resident","$26,430","$26,430","$26,936","$26,484"
University of Alabama at Birmingham School of Dentistry,"Tuition, nonresident","$60,414","$60,414","$62,392","$68,726"
University of Alabama at Birmingham School of Dentistry,"Tuition, regional or international",NA,NA,NA,NA
University of Alabama at Birmingham School of Dentistry,Fees,"$1,816","$1,390","$1,887","$1,936"
University of Alabama at Birmingham School of Dentistry,"Instruments, books and supplies","$12,121","$9,440","$6,316","$1,524"
University of Alabama at Birmingham School of Dentistry,Estimated living expenses,"$22,119","$22,539","$22,119","$24,744"
University of Alabama at Birmingham School of Dentistry,"Total, resident","$62,486","$59,799","$57,258","$54,688"
University of Alabama at Birmingham School of Dentistry,"Total, nonresident","$96,470","$93,783","$92,714","$96,930"
University of Alabama at Birmingham School of Dentistry,"Total, regional or international",NA,NA,NA,NA
University of Alabama at Birmingham School of Dentistry,Notes: ,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health","Tuition, resident","$73,347","$71,291","$67,697","$64,523"
"A.T. Still University, Arizona School of Dentistry & Oral Health","Tuition, nonresident","$73,347","$71,291","$67,697","$64,523"
"A.T. Still University, Arizona School of Dentistry & Oral Health","Tuition, regional or international",NA,NA,NA,NA
"A.T. Still University, Arizona School of Dentistry & Oral Health",Fees,"$1,050","$1,050","$1,050","$1,050"
"A.T. Still University, Arizona School of Dentistry & Oral Health","Instruments, books and supplies","$11,983","$12,193","$7,701","$8,157"
"A.T. Still University, Arizona School of Dentistry & Oral Health",Estimated living expenses,"$31,141","$31,141","$31,141","$31,141"
"A.T. Still University, Arizona School of Dentistry & Oral Health","Total, resident","$117,521","$115,675","$107,589","$104,871"
"A.T. Still University, Arizona School of Dentistry & Oral Health","Total, nonresident","$117,521","$115,675","$107,589","$104,871"
"A.T. Still University, Arizona School of Dentistry & Oral Health","Total, regional or international",NA,NA,NA,NA
"A.T. Still University, Arizona School of Dentistry & Oral Health",Notes: ,,,,
"Midwestern University 
College of Dental Medicine-Arizona","Tuition, resident","$71,191","$71,191","$71,191","$71,191"
Midwestern University College of Dental Medicine-Arizona,"Tuition, nonresident","$71,191","$71,191","$71,191","$71,191"
Midwestern University College of Dental Medicine-Arizona,"Tuition, regional or international",NA,NA,NA,NA
Midwestern University College of Dental Medicine-Arizona,Fees,"$15,622","$13,137","$13,137","$13,137"
Midwestern University College of Dental Medicine-Arizona,"Instruments, books and supplies","$2,295","$1,947",$150,$150
"Midwestern University 
College of Dental Medicine-Arizona",Estimated living expenses,"$22,302","$22,302","$30,028","$30,028"
Midwestern University College of Dental Medicine-Arizona,"Total, resident","$111,410","$108,604","$114,506","$114,506"
Midwestern University College of Dental Medicine-Arizona,"Total, nonresident","$111,410","$108,604","$114,506","$114,506"
Midwestern University College of Dental Medicine-Arizona,"Total, regional or international",NA,NA,NA,NA
Midwestern University College of Dental Medicine-Arizona,Notes: ,"Estimated living expenses include rent, utilities, meals, travel and personal
expenses for off-campus students.",,,
Herman Ostrow School of Dentistry of USC,"Tuition, resident","$87,804","$87,804","$87,804","$87,804"
Herman Ostrow School of Dentistry of USC,"Tuition, nonresident","$87,804","$87,804","$87,804","$87,804"
Herman Ostrow School of Dentistry of USC,"Tuition, regional or international",NA,NA,NA,NA
Herman Ostrow School of Dentistry of USC,Fees,"$3,517","$3,062","$3,062","$2,779"
Herman Ostrow School of Dentistry of USC,"Instruments, books and supplies","$15,353","$7,458","$4,224","$2,816"
Herman Ostrow School of Dentistry of USC,Estimated living expenses,"$27,984","$27,984","$27,984","$27,984"
Herman Ostrow School of Dentistry of USC,"Total, resident","$134,658","$126,308","$123,074","$85,119"
Herman Ostrow School of Dentistry of USC,"Total, nonresident","$134,658","$126,308","$123,074","$85,119"
Herman Ostrow School of Dentistry of USC,"Total, regional or international",NA,NA,NA,NA
Herman Ostrow School of Dentistry of USC,Notes: ,,,,
"Loma Linda University 
School of Dentistry","Tuition, resident","$63,858","$78,480","$78,480","$78,480"
"Loma Linda University 
School of Dentistry","Tuition, nonresident","$63,858","$78,480","$78,480","$78,480"
"Loma Linda University 
School of Dentistry","Tuition, regional or international",NA,NA,NA,NA
"Loma Linda University 
School of Dentistry",Fees,"$4,567","$5,447","$4,642","$4,621"
"Loma Linda University 
School of Dentistry","Instruments, books and supplies","$16,678","$8,295","$1,548",$676
"Loma Linda University 
School of Dentistry",Estimated living expenses,"$16,350","$19,620","$19,620","$19,620"
"Loma Linda University 
School of Dentistry","Total, resident","$101,453","$111,842","$104,290","$103,397"
"Loma Linda University 
School of Dentistry","Total, nonresident","$101,453","$111,842","$104,290","$103,397"
"Loma Linda University 
School of Dentistry","Total, regional or international",NA,NA,NA,NA
"Loma Linda University 
School of Dentistry",Notes: ,The fees do not include National Board Dental Examination (NBDE) I for the second year and NBDE II for the fourth year.,,,
"University of California, Los Angeles, School of Dentistry","Tuition, resident","$41,748","$45,693","$45,693","$45,693"
"University of California, Los Angeles, School of Dentistry","Tuition, nonresident","$50,798","$54,743","$54,743","$54,743"
"University of California, Los Angeles, School of Dentistry","Tuition, regional or international",NA,NA,NA,NA
"University of California, Los Angeles, School of Dentistry",Fees,NA,NA,NA,NA
"University of California, Los Angeles, School of Dentistry","Instruments, books and supplies","$19,186","$13,810","$3,970","$4,305"
"University of California, Los Angeles, School of Dentistry",Estimated living expenses,"$18,705","$24,940","$24,940","$24,940"
"University of California, Los Angeles, School of Dentistry","Total, resident","$79,639","$84,443","$7,460","$74,938"
"University of California, Los Angeles, School of Dentistry","Total, nonresident","$88,689","$93,493","$83,653","$83,988"
"University of California, Los Angeles, School of Dentistry ","Total, regional or international",NA,NA,NA,NA
"University of California, Los Angeles, School of Dentistry",Notes: ,"Residents pay tuition, student services fee, professional degree supplemental 
tuition and other charges, as well as UCLA campus-based fees that are assessed to all full-time students.",,,
"University of California, Los Angeles, School of Dentistry",Notes: ,"Nonresidents pay the same fees as residents, as well as a nonresident supplemental tuition fee. Estimated living expenses for off-campus students include room and board, personal expenses and transportation.",,,
"University of California, Los Angeles, School of Dentistry",Notes: ,Tuition/fees are subject to change without prior notification.,,,
