section,2016 Applicant and Entering-Class Data,,
order,94,,
table_name,dat_scores_first_time_first_year_enrollees,,
display_table_name,"DAT Scores: First-Year, First-Time Enrollees",,
content,,,
Dental School,Score Type,Mean,5th and 95th Percentiles
"A.T. Still University
Arizona School of Dentistry & Oral Health",Academic Average,19.5,17–22
"A.T. Still University
Arizona School of Dentistry & Oral Health",Perceptual Ability,19.8,17–24
"A.T. Still University
Arizona School of Dentistry & Oral Health",Total Science,19.4,17–23
Herman Ostrow School of Dentistry of USC,Academic Average,20.3,17–24
Herman Ostrow School of Dentistry of USC,Perceptual Ability,20.8,18–24
Herman Ostrow School of Dentistry of USC,Total Science,20.4,16–24
"Loma Linda University 
School of Dentistry",Academic Average,20.0,18–23
"Loma Linda University 
School of Dentistry",Perceptual Ability,21.3,18–24
"Loma Linda University 
School of Dentistry",Total Science,19.9,18–23
"Midwestern University 
College of Dental Medicine-Arizona",Academic Average,19.6,17–23
"Midwestern University 
College of Dental Medicine-Arizona",Perceptual Ability,20.6,17–24
"Midwestern University 
College of Dental Medicine-Arizona",Total Science,19.4,17–22
"University of Alabama at Birmingham 
School of Dentistry",Academic Average,20.7,18–23
"University of Alabama at Birmingham 
School of Dentistry",Perceptual Ability,21.1,18–25
"University of Alabama at Birmingham 
School of Dentistry",Total Science,20.5,18–23
"University of California, Los Angeles, School of Dentistry",Academic Average,22.8,20–26
"University of California, Los Angeles, School of Dentistry",Perceptual Ability,22.1,18–27
"University of California, Los Angeles, School of Dentistry",Total Science,22.8,20–26
