section,Preparation,,,,
order,59,,,,
table_name,dental_shadowing_and_other_admission_factors,,,,
display_table_name,Dental Shadowing and Other Admission Factors,,,,
content,,,,,
Dental School,,Required,Recommended,Number of job shadowing hours required or recommended:,Other factors considered in admission:
"University of Alabama at Birmingham 
School of Dentistry",Dental Shadowing ,x,,100,"Community service experience is expected, along with a letter of recommendation from a community service supervisor."
"A.T. Still University
Arizona School of Dentistry & Oral Health",Dental Shadowing ,,x,100,"Community service experience is expected, along with a letter of recommendation from a community service supervisor."
"Midwestern University 
College of Dental Medicine-Arizona",Dental Shadowing ,,x,100,"Community service experience is expected, along with a letter of recommendation from a community service supervisor."
Herman Ostrow School of Dentistry of USC,Dental Shadowing ,,x,10–20,"Personal background and experience, post baccalaureate experience, letters of evaluation, research experience, advanced degrees or training and scope of academic background."
"Loma Linda University 
School of Dentistry",Dental Shadowing ,x,,50 required; 100 recommended.,NR
"University of California, Los Angeles, School of Dentistry",Dental Shadowing ,,x,NR,NR
