section,Application and Selection,,,
order,74,,,
table_name,tuition_deposit_information,,,
display_table_name,,,,
content,,,,
Dental School,Deposit Details,First Deposit,Second Deposit,Third Depost
University of Alabama at Birmingham School of Dentistry,Required to hold place?,Yes,No,No
University of Alabama at Birmingham School of Dentistry,In-state resident amount?,$200 ,,
University of Alabama at Birmingham School of Dentistry,Out-of-state resident amount?,$200 ,,
University of Alabama at Birmingham School of Dentistry,International resident amount?,$200 ,,
University of Alabama at Birmingham School of Dentistry,Due date?,As indicated in admission offer.,,
University of Alabama at Birmingham School of Dentistry,Applied to tuition?,Yes,,
University of Alabama at Birmingham School of Dentistry,Refundable?,No,,
University of Alabama at Birmingham School of Dentistry,"If yes, refundable by what date?",NA,,
A.T. Still University Arizona School of Dentistry & Oral Health,Required to hold place?,Yes,Yes,No
A.T. Still University Arizona School of Dentistry & Oral Health,In-state resident amount?,"$1,000 ","$1,000 ","$1,000 "
A.T. Still University Arizona School of Dentistry & Oral Health,Out-of-state resident amount?,"$1,000 ","$1,000 ","$1,000 "
A.T. Still University Arizona School of Dentistry & Oral Health,International resident amount?,"$1,000 ","$1,000 ","$1,000 "
A.T. Still University Arizona School of Dentistry & Oral Health,Due date?,As indicated in admission offer.,1-May,
A.T. Still University Arizona School of Dentistry & Oral Health,Applied to tuition?,Yes,Yes,
A.T. Still University Arizona School of Dentistry & Oral Health,Refundable?,No,No,
A.T. Still University Arizona School of Dentistry & Oral Health,"If yes, refundable by what date?",NA,NA,
Midwestern University College of Dental Medicine-Arizona,Required to hold place?,Yes,No,No
Midwestern University College of Dental Medicine-Arizona,In-state resident amount?,"$1,000 ",,
Midwestern University College of Dental Medicine-Arizona,Out-of-state resident amount?,"$1,000 ",,
Midwestern University College of Dental Medicine-Arizona,International resident amount?,"$1,000 ",,
Midwestern University College of Dental Medicine-Arizona,Due date?,As indicated in admission offer.,,
Midwestern University College of Dental Medicine-Arizona,Applied to tuition?,Yes,,
Midwestern University College of Dental Medicine-Arizona,Refundable?,Partially,,
Midwestern University College of Dental Medicine-Arizona,"If yes, refundable by what date?",NR,,
Herman Ostrow School of Dentistry of USC,Required to hold place?,Yes,Yes,Yes
Herman Ostrow School of Dentistry of USC,In-state resident amount?,$500 ,"$1,000 ","$1,500 "
Herman Ostrow School of Dentistry of USC,Out-of-state resident amount?,$500 ,"$1,000 ","$1,500 "
Herman Ostrow School of Dentistry of USC,International resident amount?,$500 ,"$1,000 ","$1,500 "
Herman Ostrow School of Dentistry of USC,Due date?,As indicated in admission offer.,As indicated in admission offer.,As indicated in admission offer.
Herman Ostrow School of Dentistry of USC,Applied to tuition?,Yes,Yes,Yes
Herman Ostrow School of Dentistry of USC,Refundable?,No,No,Yes
Herman Ostrow School of Dentistry of USC,"If yes, refundable by what date?",NA,NA,1-Aug
Loma Linda University School of Dentistry,Required to hold place?,Yes,No,No
Loma Linda University School of Dentistry,In-state resident amount?,"$1,000 ","$1,000 ",
Loma Linda University School of Dentistry,Out-of-state resident amount?,"$1,000 ","$1,000 ",
Loma Linda University School of Dentistry,International resident amount?,"$,1000","$,1000",
Loma Linda University School of Dentistry,Due date?,As indicated in admission offer.,05/01,
Loma Linda University School of Dentistry,Applied to tuition?,Yes,Yes,
Loma Linda University School of Dentistry,Refundable?,No,No,
Loma Linda University School of Dentistry,"If yes, refundable by what date?",NA,NA,
"University of California, Los Angeles, School of Dentistry",Required to hold place?,Yes,No,No
"University of California, Los Angeles, School of Dentistry",In-state resident amount?,"$1,000 ",,
"University of California, Los Angeles, School of Dentistry",Out-of-state resident amount?,"$1,000 ",,
"University of California, Los Angeles, School of Dentistry",International resident amount?,"$1,000 ",,
"University of California, Los Angeles, School of Dentistry",Due date?,As indicated in admission offer.,,
"University of California, Los Angeles, School of Dentistry",Applied to tuition?,Yes,,
"University of California, Los Angeles, School of Dentistry",Refundable?,No,,
"University of California, Los Angeles, School of Dentistry","If yes, refundable by what date?",NA,,
