section,Preparation,,,
order,53,,,
table_name,enrollees_without_baccalaureate,,,
display_table_name,,,,
content,,,,
Dental School,,Four years of predental education:,Three years of predental education:,Two years of predental education:
"University of Alabama at Birmingham 
School of Dentistry","Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
A.T. Still University Arizona School of Dentistry & Oral Health,"Of first-time, first-year enrollees without baccalaureates, the number with:",2,0,0
"Midwestern University 
College of Dental Medicine-Arizona","Of first-time, first-year enrollees without baccalaureates, the number with:",2,0,0
Herman Ostrow School of Dentistry of USC,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
"Loma Linda University 
School of Dentistry","Of first-time, first-year enrollees without baccalaureates, the number with:",3,0,0
"University of California, Los Angeles, School of Dentistry","Of first-time, first-year enrollees without baccalaureates, the number with:",0,2,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
