section,Application and Selection,,
order,73,,
table_name,application_fee_information,,
display_table_name,Fees and Deposits,,
content,,,
Dental School,Fee for application?,Fee waiver available?,Amount of fee for application?
"University of Alabama at Birmingham 
School of Dentistry","Yes, submitted only when requested.",No,"In-State: $75
Out-of-State: $75
International: $75"
A.T. Still University Arizona School of Dentistry & Oral Health,"Yes, submitted only when requested.",Yes,"In-State: $70
Out-of-State: $70
International: $70"
"Midwestern University 
College of Dental Medicine-Arizona","Yes, submitted only when requested.",Yes,"In-State: $50
Out-of-State: $50
International: $50"
Herman Ostrow School of Dentistry of USC,Yes,Yes,"In-State: $85
Out-of-State: $85
International: $85"
"Loma Linda University 
School of Dentistry","Yes, submitted only when requested.",Yes,"In-State: $150
Out-of-State: $150
International: $150"
"University of California, Los Angeles, School of Dentistry","Yes, submitted only when requested.",Yes; contact office for details.,"In-State: $60
Out-of-State: $60
International: $60"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
