section,Preparation,,
order,52,,
table_name,number_of_first_year_first_time_enrollees_whose_highest_degree_is,,
display_table_name,,,
content,,,
Dental School,,Baccalaureate,Master's degree and/or beyond
"University of Alabama at Birmingham 
School of Dentistry","Number of first-year, first-time enrollees whose highest degree is:",54,5
A.T. Still University Arizona School of Dentistry & Oral Health,"Number of first-year, first-time enrollees whose highest degree is:",65,9
"Midwestern University 
College of Dental Medicine-Arizona","Number of first-year, first-time enrollees whose highest degree is:",118,22
Herman Ostrow School of Dentistry of USC,"Number of first-year, first-time enrollees whose highest degree is:",133,9
"Loma Linda University 
School of Dentistry","Number of first-year, first-time enrollees whose highest degree is:",95,5
"University of California, Los Angeles, School of Dentistry","Number of first-year, first-time enrollees whose highest degree is:",80,5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
