section,Preparation,,
order,51,,
table_name,formal_minimum_preparation,,
display_table_name,,,
content,,,
Dental School,,In semester hours:,"In quarter
hours: "
"University of Alabama at Birmingham 
School of Dentistry",Formal Minimum Preparation,90,120
A.T. Still University Arizona School of Dentistry & Oral Health,Formal Minimum Preparation,90,135
"Midwestern University 
College of Dental Medicine-Arizona",Formal Minimum Preparation,90,120
Herman Ostrow School of Dentistry of USC,Formal Minimum Preparation,60,90
"Loma Linda University 
School of Dentistry",Formal Minimum Preparation,96,144
"University of California, Los Angeles, School of Dentistry",Formal Minimum Preparation,90,135
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
