section,2016 Applicant and Entering-Class Data,,
order,95,,
table_name,grade_point_average_first_year_first_time_enrollees,,
display_table_name,"Grade Point Average (GPA): First-Year, First-Time Enrollees",,
content,,,
Dental School,Subject Matter,"Mean
Combined Graduate and Undergraduate","5th and 95th Percentiles
Combined Graduate and Undergraduate "
"A.T. Still University
Arizona School of Dentistry & Oral Health",Science GPA,3.28,2.75–4.05
"A.T. Still University
Arizona School of Dentistry & Oral Health",Total GPA,3.42,2.92–4.07
Herman Ostrow School of Dentistry of USC,Science GPA,3.40,2.71–3.95
Herman Ostrow School of Dentistry of USC,Total GPA,3.49,2.96–3.93
"Loma Linda University 
School of Dentistry",Science GPA,3.34,2.86–3.88
"Loma Linda University 
School of Dentistry",Total GPA,3.45,3.02–3.91
"Midwestern University 
College of Dental Medicine-Arizona",Science GPA,3.43,2.77–4.00
"Midwestern University 
College of Dental Medicine-Arizona",Total GPA,3.51,2.89–4.00
"University of Alabama at Birmingham 
School of Dentistry",Science GPA,3.72,3.22–4.00
"University of Alabama at Birmingham 
School of Dentistry",Total GPA,3.77,3.34–4.00
"University of California, Los Angeles, School of Dentistry",Science GPA,3.73,3.18–4.06
"University of California, Los Angeles, School of Dentistry",Total GPA,3.75,3.26–4.02
