section,Predental Programs,
order,130,
table_name,predental_programs,
display_table_name,Predental Programs,
content,,
Dental School,Predental Programs Offered,Comments
University of Alabama at Birmingham School of Dentistry,Summer enrichment programs,
University of Alabama at Birmingham School of Dentistry,Summer Health Professions Education Program,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Summer enrichment programs,
"Midwestern University 
College of Dental Medicine-Arizona",Postbaccalaureate program in the College of Health Sciences,
"Midwestern University 
College of Dental Medicine-Arizona",Predental simulation courses,
Herman Ostrow School of Dentistry of USC,Dental Explorers Program,"Two-week experience for predental and high school students. For more information, visit dentistry.usc.edu/community-programs/initiatives"
Herman Ostrow School of Dentistry of USC,Summer enrichment programs,
"Loma Linda University 
School of Dentistry",Summer enrichment programs,
"Loma Linda University 
School of Dentistry",Careers in Dentistry,
"Loma Linda University 
School of Dentistry",Minorities in Dentistry,
"University of California, Los Angeles, School of Dentistry",Summer Health Professions Education Program,
"University of California, Los Angeles, School of Dentistry",Postbaccalaureate programs,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
