section,Preparation,,,,
order,54,,,,
table_name,prerequisites,,,,
display_table_name,Prerequisites,,,,
content,,,,,
Dental School,Prerequisite Course,Required,Recommended,Lab Required,"Credits
(Semester/Quarter)"
University of Alabama at Birmingham School of Dentistry,#5#BCP (biology – chemistry – physics),,,,
University of Alabama at Birmingham School of Dentistry,Biology,x,,x,12/18
University of Alabama at Birmingham School of Dentistry,"Chemistry, general/inorganic",x,,x,8/12
University of Alabama at Birmingham School of Dentistry,"Chemistry, organic",x,,x,8/12
University of Alabama at Birmingham School of Dentistry,Physics,x,,x,8/12
University of Alabama at Birmingham School of Dentistry,#5#Additional biological sciences ,,,,
University of Alabama at Birmingham School of Dentistry,Anatomy,,x,,
University of Alabama at Birmingham School of Dentistry,Biochemistry,,x,,
University of Alabama at Birmingham School of Dentistry,Cell biology,,x,,
University of Alabama at Birmingham School of Dentistry,Histology,,x,,
University of Alabama at Birmingham School of Dentistry,Immunology,,x,,
University of Alabama at Birmingham School of Dentistry,Microbiology,,x,,
University of Alabama at Birmingham School of Dentistry,Molecular biology/genetics,,x,,
University of Alabama at Birmingham School of Dentistry,Physiology,,x,,
University of Alabama at Birmingham School of Dentistry,Zoology,,x,,
University of Alabama at Birmingham School of Dentistry,#5#Nonscience,,,,
University of Alabama at Birmingham School of Dentistry,Art,,,,
University of Alabama at Birmingham School of Dentistry,Business,,,,
University of Alabama at Birmingham School of Dentistry,Communications,,,,
University of Alabama at Birmingham School of Dentistry,Economics,,,,
University of Alabama at Birmingham School of Dentistry,Ethics,,,,
University of Alabama at Birmingham School of Dentistry,Foreign languages,,,,
University of Alabama at Birmingham School of Dentistry,Humanities,,,,
University of Alabama at Birmingham School of Dentistry,Sociology,,,,
University of Alabama at Birmingham School of Dentistry,#5#Behavioral Science,,,,
University of Alabama at Birmingham School of Dentistry,Psychology,,,,
University of Alabama at Birmingham School of Dentistry,#5#English,,,,
University of Alabama at Birmingham School of Dentistry,Basic composition,,,,
University of Alabama at Birmingham School of Dentistry,Composition,,,,
University of Alabama at Birmingham School of Dentistry,Creative writing,,,,
University of Alabama at Birmingham School of Dentistry,English,x,,,6/9
University of Alabama at Birmingham School of Dentistry,Literature,,,,
University of Alabama at Birmingham School of Dentistry,Technical writing,,,,
University of Alabama at Birmingham School of Dentistry,#5#Other science,,,,
University of Alabama at Birmingham School of Dentistry,Algebra,,,,
University of Alabama at Birmingham School of Dentistry,Biostatistics,,,,
University of Alabama at Birmingham School of Dentistry,Calculus,,,,
University of Alabama at Birmingham School of Dentistry,Computer science,,,,
University of Alabama at Birmingham School of Dentistry,Genetics,,,,
University of Alabama at Birmingham School of Dentistry,Mathematics,x,,,6/9
University of Alabama at Birmingham School of Dentistry,Statistics,,,,
University of Alabama at Birmingham School of Dentistry,Trigonometry,,,,
University of Alabama at Birmingham School of Dentistry,#5#Notes: 30/45 semester/quarter credits of nonscience courses required.,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",#5#BCP (biology – chemistry – physics),,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Biology,x,,x,8/12
"A.T. Still University, Arizona School of Dentistry & Oral Health","Chemistry, general/inorganic",x,,x,8/12
"A.T. Still University, Arizona School of Dentistry & Oral Health","Chemistry, organic",x,,x,8/12
"A.T. Still University, Arizona School of Dentistry & Oral Health",Physics,x,,x,8/12
"A.T. Still University, Arizona School of Dentistry & Oral Health",#5#Additional biological sciences,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Anatomy,x,,,3/4
"A.T. Still University, Arizona School of Dentistry & Oral Health",Biochemistry,x,,,3/4
"A.T. Still University, Arizona School of Dentistry & Oral Health",Cell biology,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Histology,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Immunology,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Microbiology,,x,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Molecular biology/genetics,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Physiology,x,,,3/4
"A.T. Still University, Arizona School of Dentistry & Oral Health",Zoology,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",#5#Nonscience,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Art,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Business,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Communications,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Economics,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Ethics,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Foreign languages,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Humanities,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Sociology,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",#5#Behavioral Science,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Psychology,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",#5#English,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Basic composition,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Composition,x,,,3/4
"A.T. Still University, Arizona School of Dentistry & Oral Health",Creative writing,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",English,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Literature,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Technical writing,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",#5#Other science,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Algebra,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Biostatistics,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Calculus,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Computer science,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Genetics,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Mathematics,,,,
