section,Application and Selection,,,
order,76,,,
table_name,residency_requirements,,,
display_table_name,Residency Requirements,,,
content,,,,
Dental School,,Yes,No,Additional Information
University of Alabama at Birmingham School of Dentistry,Preference given to applicants who are in-state residents?,x,,
University of Alabama at Birmingham School of Dentistry,Applications accepted from Canadian citizens who are not permanent U.S. residents?,x,,
University of Alabama at Birmingham School of Dentistry,"Applications accepted from non-U.S., non-Canadian citizens who are not permanent U.S. residents?",x,,
A.T. Still University Arizona School of Dentistry & Oral Health,Preference given to applicants who are in-state residents?,,x,
A.T. Still University Arizona School of Dentistry & Oral Health,Applications accepted from Canadian citizens who are not permanent U.S. residents?,,x,
A.T. Still University Arizona School of Dentistry & Oral Health,"Applications accepted from non-U.S., non-Canadian citizens who are not permanent U.S. residents?",,x,
Midwestern University College of Dental Medicine-Arizona,Preference given to applicants who are in-state residents?,,x,
Midwestern University College of Dental Medicine-Arizona,Applications accepted from Canadian citizens who are not permanent U.S. residents?,x,,
Midwestern University College of Dental Medicine-Arizona,"Applications accepted from non-U.S., non-Canadian citizens who are not permanent U.S. residents?",x,,
Herman Ostrow School of Dentistry of USC,Preference given to applicants who are in-state residents?,,x,
Herman Ostrow School of Dentistry of USC,Applications accepted from Canadian citizens who are not permanent U.S. residents?,x,,
Herman Ostrow School of Dentistry of USC,"Applications accepted from non-U.S., non-Canadian citizens who are not permanent U.S. residents?",x,,
Loma Linda University School of Dentistry,Preference given to applicants who are in-state residents?,,x,
Loma Linda University School of Dentistry,Applications accepted from Canadian citizens who are not permanent U.S. residents?,x,,
Loma Linda University School of Dentistry,"Applications accepted from non-U.S., non-Canadian citizens who are not permanent U.S. residents?",x,,
"University of California, Los Angeles, School of Dentistry",Preference given to applicants who are in-state residents?,x,,
"University of California, Los Angeles, School of Dentistry",Applications accepted from Canadian citizens who are not permanent U.S. residents?,x,,
"University of California, Los Angeles, School of Dentistry","Applications accepted from non-U.S., non-Canadian citizens who are not permanent U.S. residents?",x,,
