section,Application and Selection,
order,71,
table_name,timeline_to_respond_offer_of_acceptance,
display_table_name,Maximum time in days for applicant's response to offer of acceptance?,
content,,
Dental School,If received on or after December 1,If received on or after February 1
University of Alabama at Birmingham School of Dentistry,30 days,15 days
A.T. Still University Arizona School of Dentistry & Oral Health,30 days,15 days
Midwestern University College of Dental Medicine-Arizona,30 days,15 days
Herman Ostrow School of Dentistry of USC,30 days,15 days
Loma Linda University School of Dentistry,30 days,15 days
"University of California, Los Angeles, School of Dentistry",30 days,15 days
