section,Preparation,,
order,61,,
table_name,timetable_for_taking_the_dat,,
display_table_name,Timetable for Taking the DAT,,
content,,,
Dental School,For class:,Most recent DAT for consideration of application:,Oldest DAT for consideration of application:
University of Alabama at Birmingham School of Dentistry,Entering fall 2018,12/01/17,12/01/15
University of Alabama at Birmingham School of Dentistry,Entering fall 2019,12/01/18,12/01/16
A.T. Still University Arizona School of Dentistry & Oral Health,Entering fall 2018,12/01/17,01/01/14
A.T. Still University Arizona School of Dentistry & Oral Health,Entering fall 2019,12/01/18,01/01/15
Midwestern University College of Dental Medicine-Arizona,Entering fall 2018,10/15/17,08/01/15
Midwestern University College of Dental Medicine-Arizona,Entering fall 2019,10/15/18,08/01/16
Herman Ostrow School of Dentistry of USC,Entering fall 2018,02/01/18,01/01/15
Herman Ostrow School of Dentistry of USC,Entering fall 2019,02/01/19,01/01/16
Loma Linda University School of Dentistry,Entering fall 2018,08/01/18,08/15/16
Loma Linda University School of Dentistry,Entering fall 2019,08/01/19,08/15/17
"University of California, Los Angeles, School of Dentistry",Entering fall 2018,12/31/17,01/01/15
"University of California, Los Angeles, School of Dentistry",Entering fall 2019,12/31/18,01/01/16
